# Manually created: Land types from SAGE, HYDE, and desired protection/suitability merged and reconciled; missing zeroes backfilled; 2015 scaled to AGLU land cover years
GCAM_region_ID,year,GLU,prot_frac,non_prot_frac,Land_Type
1,2015,GLU007,0.930830307019386,0.069169692980614,Forest
1,2015,GLU007,0.965677849036775,0.0343221509632251,Grassland
1,2015,GLU007,0.774919439664616,0.225080560335384,RockIceDesert
1,2015,GLU007,0.99639373348585,0.00360626651414997,Shrubland
1,2015,GLU007,0.956304117338494,0.0436958826615064,Tundra
1,2015,GLU007,0.907992011658586,0.0920079883414135,Pasture
1,2015,GLU023,0.37998344466349,0.62001655533651,Forest
1,2015,GLU023,0.258789512769657,0.741210487230343,Grassland
1,2015,GLU023,0.270400212066537,0.729599787933463,Pasture
1,2015,GLU027,0.839668314799042,0.160331685200958,Forest
1,2015,GLU027,0.929760664701462,0.0702393352985382,Tundra
1,2015,GLU027,0.44244016571838,0.557559834281619,Pasture
1,2015,GLU096,0.458956135942884,0.541043864057116,Forest
1,2015,GLU096,0.256974753179607,0.743025246820393,Grassland
1,2015,GLU096,0.24241200368345,0.75758799631655,Shrubland
1,2015,GLU096,0.244187370426554,0.755812629573446,Pasture
1,2015,GLU101,0.513275287613957,0.486724712386043,Forest
1,2015,GLU101,0.516305679491963,0.483694320508037,Grassland
1,2015,GLU101,0.493331535783337,0.506668464216663,Pasture
1,2015,GLU217,0.631964208363504,0.368035791636496,Forest
1,2015,GLU217,0.409852160594028,0.590147839405972,Grassland
1,2015,GLU217,1,0,RockIceDesert
1,2015,GLU217,0.832946224719121,0.167053775280879,Shrubland
1,2015,GLU217,0.999829037073447,0.000170962926552609,Tundra
1,2015,GLU217,0.606744949785353,0.393255050214647,Pasture
1,2015,GLU218,0.28878935216922,0.71121064783078,Forest
1,2015,GLU218,0.269143061790228,0.730856938209772,Grassland
1,2015,GLU218,0.266187426749345,0.733812573250655,Pasture
1,2015,GLU219,0.275455989154214,0.724544010845786,Forest
1,2015,GLU219,0.310862920552754,0.689137079447246,Grassland
1,2015,GLU219,0.277164105073977,0.722835894926023,Pasture
1,2015,GLU220,0.516762949197078,0.483237050802922,Forest
1,2015,GLU220,0.591705121111863,0.408294878888137,Grassland
1,2015,GLU220,0.89649646259902,0.10350353740098,Shrubland
1,2015,GLU220,1,0,Tundra
1,2015,GLU220,0.768192202869744,0.231807797130256,Pasture
1,2015,GLU221,0.342347910642086,0.657652089357914,Forest
1,2015,GLU221,0.389869081449275,0.610130918550725,Grassland
1,2015,GLU221,0.640732155811999,0.359267844188001,Shrubland
1,2015,GLU221,0.585023766961299,0.414976233038701,Pasture
1,2015,GLU222,0.580693416491233,0.419306583508767,Forest
1,2015,GLU222,0.665893336944758,0.334106663055242,Grassland
1,2015,GLU222,0.995746487164787,0.00425351283521291,RockIceDesert
1,2015,GLU222,0.926970327048565,0.0730296729514354,Shrubland
1,2015,GLU222,0.843332976562722,0.156667023437278,Tundra
1,2015,GLU222,0.889005009886137,0.110994990113863,Pasture
1,2015,GLU223,0.398663754695246,0.601336245304754,Forest
1,2015,GLU223,0.247313741982022,0.752686258017978,Grassland
1,2015,GLU223,0.363546745651936,0.636453254348064,Shrubland
1,2015,GLU223,0.797495294514682,0.202504705485318,Tundra
1,2015,GLU223,0.276722019863963,0.723277980136037,Pasture
1,2015,GLU224,0.283004401224502,0.716995598775498,Forest
1,2015,GLU224,0.240720849608094,0.759279150391906,Grassland
1,2015,GLU224,0.247358024081124,0.752641975918876,Shrubland
1,2015,GLU224,0.250439185971423,0.749560814028577,Pasture
1,2015,GLU225,0.255378977243262,0.744621022756738,Forest
1,2015,GLU225,0.275744647859651,0.724255352140349,Grassland
1,2015,GLU225,0.286217734169958,0.713782265830042,Shrubland
1,2015,GLU225,0.268951780655205,0.731048219344795,Pasture
1,2015,GLU226,0.28359597554912,0.71640402445088,Forest
1,2015,GLU226,0.352579876399904,0.647420123600096,Grassland
1,2015,GLU226,1,0,Shrubland
1,2015,GLU226,0.289577259287509,0.710422740712491,Pasture
1,2015,GLU227,0.358690532356807,0.641309467643193,Forest
1,2015,GLU227,0.384730667143566,0.615269332856434,Grassland
1,2015,GLU227,0.331017007820401,0.668982992179599,Pasture
1,2015,GLU228,0.270420475862874,0.729579524137126,Forest
1,2015,GLU228,0.251804440224369,0.748195559775631,Grassland
1,2015,GLU228,0.263956435177394,0.736043564822606,Pasture
1,2015,GLU229,0.524340703295835,0.475659296704165,Forest
1,2015,GLU229,0.530466094630658,0.469533905369342,Grassland
1,2015,GLU229,0.757216187366278,0.242783812633722,Shrubland
1,2015,GLU229,0.854406542432608,0.145593457567392,Tundra
1,2015,GLU229,0.580201912781112,0.419798087218888,Pasture
1,2015,GLU230,0.305559485199148,0.694440514800852,Forest
1,2015,GLU230,0.304862790729544,0.695137209270456,Grassland
1,2015,GLU230,0.291326971679106,0.708673028320894,Pasture
1,2015,GLU231,0.400574981614822,0.599425018385177,Forest
1,2015,GLU231,0.288188452925701,0.711811547074299,Grassland
1,2015,GLU231,0.88667092861869,0.11332907138131,RockIceDesert
1,2015,GLU231,0.350387854332644,0.649612145667356,Shrubland
1,2015,GLU231,0.728880154932109,0.271119845067891,Tundra
1,2015,GLU231,0.326435186808132,0.673564813191868,Pasture
1,2015,GLU232,0.320767394062046,0.679232605937954,Forest
1,2015,GLU232,0.471918044930914,0.528081955069086,Grassland
1,2015,GLU232,0.332079589943481,0.667920410056519,Pasture
1,2015,GLU233,0.344478155349757,0.655521844650243,Forest
