"","region","year","scenario","alloc_thous_km2","tot_cost_usd","cost_prot_usd_per_thous_km2","area_current","costperarea_current","totcost_current","alloc_norm","costperarea_norm","totcost_norm"
"1","Africa_Eastern",2015,"BIODIV reference",470.882234627426,0,0,220.080887169917,0,0,2.13958713399712,NA,NA
"2","Africa_Eastern",2015,"BIODIV30 reference",460.664024627426,0,0,220.080887169917,0,0,2.09315779553252,NA,NA
"3","Africa_Eastern",2015,"CURRENT reference",220.080887169917,0,0,220.080887169917,0,0,1,NA,NA
"4","Africa_Eastern",2015,"UNIFORM30 reference",817.874516,0,0,220.080887169917,0,0,3.71624508841854,NA,NA
"5","Africa_Eastern",2020,"BIODIV reference",470.881132618848,17680495.8483755,37547.6837435465,220.080657160597,36315.912938754,7992429.984948,2.13958436281494,1.03391821119491,2.21215523710222
"6","Africa_Eastern",2020,"BIODIV30 reference",460.663914618861,17252166.108971,37450.6566750402,220.080657160597,36315.912938754,7992429.984948,2.09315948326484,1.0312464604208,2.15856330821311
"7","Africa_Eastern",2020,"CURRENT reference",220.080657160597,7992429.984948,36315.912938754,220.080657160597,36315.912938754,7992429.984948,1,1,1
"8","Africa_Eastern",2020,"UNIFORM30 reference",817.8741059,37957220.010532,46409.6121111003,220.080657160597,36315.912938754,7992429.984948,3.71624710890964,1.27794149604249,4.74914639002358
"9","Africa_Eastern",2025,"BIODIV reference",470.881132608256,44556351.333628,94623.3523667131,220.080657149175,90932.04937668,20012385.182741,2.13958436287785,1.04059408113351,2.2264388240965
"10","Africa_Eastern",2025,"BIODIV30 reference",460.663914608294,43434740.091319,94287.2639118085,220.080657149175,90932.04937668,20012385.182741,2.09315948332545,1.03689804153901,2.17039296888898
"11","Africa_Eastern",2025,"CURRENT reference",220.080657149175,20012385.182741,90932.04937668,220.080657149175,90932.04937668,20012385.182741,1,1,1
"12","Africa_Eastern",2025,"UNIFORM30 reference",817.8741059,95930593.162832,117292.615661513,220.080657149175,90932.04937668,20012385.182741,3.7162471091025,1.28989301863896,4.79356120156852
"13","Africa_Eastern",2030,"BIODIV reference",470.881132596,79652183.928443,169155.607253395,220.08065713558,161569.006405458,35558213.102456,2.13958436295433,1.04695579317297,2.24005024377733
"14","Africa_Eastern",2030,"BIODIV30 reference",460.663914596069,77636413.3813515,168531.5713288,220.08065713558,161569.006405458,35558213.102456,2.09315948339921,1.04309344396083,2.18336093429816
"15","Africa_Eastern",2030,"CURRENT reference",220.08065713558,35558213.102456,161569.006405458,220.08065713558,161569.006405458,35558213.102456,1,1,1
"16","Africa_Eastern",2030,"UNIFORM30 reference",817.8741059,173071759.132326,211611.735698461,220.08065713558,161569.006405458,35558213.102456,3.71624710933206,1.30972975823977,4.86727942806473
"17","Africa_Eastern",2035,"BIODIV reference",470.881132583674,123353914.11402,261964.01932095,220.080657121584,248897.820210878,54777595.82814,2.13958436303439,1.05249623760868,2.25190449214005
"18","Africa_Eastern",2035,"BIODIV30 reference",460.663914583779,120194165.405345,260915.087117132,220.080657121584,248897.820210878,54777595.82814,2.09315948347648,1.04828192909071,2.19422126123323
"19","Africa_Eastern",2035,"CURRENT reference",220.080657121584,54777595.82814,248897.820210878,220.080657121584,248897.820210878,54777595.82814,1,1,1
"20","Africa_Eastern",2035,"UNIFORM30 reference",817.8741059,269931102.16264,330039.917165007,220.080657121584,248897.820210878,54777595.82814,3.71624710956839,1.32600565519369,4.92776468338489
"21","Africa_Eastern",2040,"BIODIV reference",470.881132571538,177198706.984236,376313.032583262,220.080657107453,355621.320364994,78265373.867348,2.13958436311662,1.05818467857054,2.26407539155912
"22","Africa_Eastern",2040,"BIODIV30 reference",460.663914571679,172611824.683134,374702.29211165,220.080657107453,355621.320364994,78265373.867348,2.0931594835559,1.05365530876234,2.20546860193492
"23","Africa_Eastern",2040,"CURRENT reference",220.080657107453,78265373.867348,355621.320364994,220.080657107453,355621.320364994,78265373.867348,1,1,1
"24","Africa_Eastern",2040,"UNIFORM30 reference",817.8741059,390235268.402798,477133.663466919,220.080657107453,355621.320364994,78265373.867348,3.71624710980701,1.34169026473781,4.9860525685881
"25","Africa_Eastern",2045,"BIODIV reference",470.881132560011,244644012.305453,519545.157767123,220.080657093625,488447.557426898,107497859.394288,2.13958436319868,1.06366620094089,2.27580357119606
"26","Africa_Eastern",2045,"BIODIV30 reference",460.663914560187,238210732.206715,517103.086822294,220.080657093625,488447.557426898,107497859.394288,2.0931594836352,1.05866654251759,2.21595791347797
"27","Africa_Eastern",2045,"CURRENT reference",220.080657093625,107497859.394288,488447.557426898,220.080657093625,488447.557426898,107497859.394288,1,1,1
"28","Africa_Eastern",2045,"UNIFORM30 reference",817.8741059,540520998.309598,660885.329918596,220.080657093625,488447.557426898,107497859.394288,3.7162471100405,1.35303231609978,5.02820243449721
"29","Africa_Eastern",2050,"BIODIV reference",470.881132549867,324522874.153661,689182.156006843,220.080757080968,645264.383890138,142010274.123926,2.13958339109416,1.06806167086417,2.28520701164526
"30","Africa_Eastern",2050,"BIODIV30 reference",460.663914550071,315827955.515945,685593.000755036,220.080757080968,645264.383890138,142010274.123926,2.0931585326226,1.06249936905206,2.22397962023745
