"","Units","scenario","region","sector","year","value"
"1","1975$/kg","Baseline","Africa_Eastern","Beef",1975,9.16157
"2","1975$/kg","Baseline","Africa_Eastern","Beef",1990,2.76138
"3","1975$/kg","Baseline","Africa_Eastern","Beef",2005,2.36553
"4","1975$/kg","Baseline","Africa_Eastern","Beef",2010,2.13728
"5","1975$/kg","Baseline","Africa_Eastern","Beef",2015,1.8176
"6","1975$/kg","Baseline","Africa_Eastern","Beef",2020,1.96731
"7","1975$/kg","Baseline","Africa_Eastern","Beef",2025,2.58026
"8","1975$/kg","Baseline","Africa_Eastern","Beef",2030,3.22118
"9","1975$/kg","Baseline","Africa_Eastern","Beef",2035,4.44691
"10","1975$/kg","Baseline","Africa_Eastern","Beef",2040,6.06882
"11","1975$/kg","Baseline","Africa_Eastern","Beef",2045,7.73615
"12","1975$/kg","Baseline","Africa_Eastern","Beef",2050,9.51905
"13","1975$/kg","Baseline","Africa_Eastern","Beef",2055,10.9958
"14","1975$/kg","Baseline","Africa_Eastern","Beef",2060,12.5457
"15","1975$/kg","Baseline","Africa_Eastern","Beef",2065,14.117
"16","1975$/kg","Baseline","Africa_Eastern","Beef",2070,15.7069
"17","1975$/kg","Baseline","Africa_Eastern","Beef",2075,17.0404
"18","1975$/kg","Baseline","Africa_Eastern","Beef",2080,18.4475
"19","1975$/kg","Baseline","Africa_Eastern","Beef",2085,18.5753
"20","1975$/kg","Baseline","Africa_Eastern","Beef",2090,18.6048
"21","1975$/kg","Baseline","Africa_Eastern","Beef",2095,18.6734
"22","1975$/kg","Baseline","Africa_Eastern","Beef",2100,18.7599
"23","1975$/kg","Baseline","Africa_Eastern","Dairy",1975,0.570253
"24","1975$/kg","Baseline","Africa_Eastern","Dairy",1990,0.233547
"25","1975$/kg","Baseline","Africa_Eastern","Dairy",2005,0.221121
"26","1975$/kg","Baseline","Africa_Eastern","Dairy",2010,0.214626
"27","1975$/kg","Baseline","Africa_Eastern","Dairy",2015,0.216479
"28","1975$/kg","Baseline","Africa_Eastern","Dairy",2020,0.231276
"29","1975$/kg","Baseline","Africa_Eastern","Dairy",2025,0.275008
"30","1975$/kg","Baseline","Africa_Eastern","Dairy",2030,0.317345
"31","1975$/kg","Baseline","Africa_Eastern","Dairy",2035,0.391705
"32","1975$/kg","Baseline","Africa_Eastern","Dairy",2040,0.485316
"33","1975$/kg","Baseline","Africa_Eastern","Dairy",2045,0.576665
"34","1975$/kg","Baseline","Africa_Eastern","Dairy",2050,0.671193
"35","1975$/kg","Baseline","Africa_Eastern","Dairy",2055,0.746699
"36","1975$/kg","Baseline","Africa_Eastern","Dairy",2060,0.824723
"37","1975$/kg","Baseline","Africa_Eastern","Dairy",2065,0.901485
"38","1975$/kg","Baseline","Africa_Eastern","Dairy",2070,0.978621
"39","1975$/kg","Baseline","Africa_Eastern","Dairy",2075,1.04452
"40","1975$/kg","Baseline","Africa_Eastern","Dairy",2080,1.11614
"41","1975$/kg","Baseline","Africa_Eastern","Dairy",2085,1.12525
"42","1975$/kg","Baseline","Africa_Eastern","Dairy",2090,1.12912
"43","1975$/kg","Baseline","Africa_Eastern","Dairy",2095,1.135
"44","1975$/kg","Baseline","Africa_Eastern","Dairy",2100,1.14592
"45","1975$/kg","Baseline","Africa_Eastern","Pork",1975,0.993444
"46","1975$/kg","Baseline","Africa_Eastern","Pork",1990,0.916601
"47","1975$/kg","Baseline","Africa_Eastern","Pork",2005,0.767628
"48","1975$/kg","Baseline","Africa_Eastern","Pork",2010,0.569469
"49","1975$/kg","Baseline","Africa_Eastern","Pork",2015,0.580146
"50","1975$/kg","Baseline","Africa_Eastern","Pork",2020,0.621355
"51","1975$/kg","Baseline","Africa_Eastern","Pork",2025,0.657769
"52","1975$/kg","Baseline","Africa_Eastern","Pork",2030,0.694801
"53","1975$/kg","Baseline","Africa_Eastern","Pork",2035,0.745085
