"","Scenario","Year","min","low_1.5*IQR","Q25","median","Q75","hi_1.5*IQR","max"
"1","a) CURRENT reference",2015,0,0,0,0,0,0,0
"2","a) CURRENT reference",2020,0,0,0,0.00862324131262703,0.0190514495467133,0.0470778033452794,0.121348835054889
"3","a) CURRENT reference",2025,0,0,0,0.0244374397056514,0.0590553496853126,0.145328462215006,0.595183871569908
"4","a) CURRENT reference",2030,0,0,0,0.0379695567028663,0.08954674203175,0.222164517152832,1.01813874010999
"5","a) CURRENT reference",2035,0,0,0,0.0534240032507995,0.119258576970252,0.292714818443258,1.43750376933128
"6","a) CURRENT reference",2040,0,0,0,0.0663310403665075,0.150872403939786,0.371062987759158,1.73475682428455
"7","a) CURRENT reference",2045,0,0,0,0.0843585682354256,0.186108652091842,0.460081986010779,2.0276992001838
"8","a) CURRENT reference",2050,0,0,0,0.0988986895216546,0.218061231721433,0.536664452351668,2.27591505004236
"9","a) CURRENT reference",2055,0,0,0,0.113905852106567,0.249384316458387,0.608678526458528,2.45948507344811
"10","a) CURRENT reference",2060,0,0,0,0.122101132360937,0.274419160898632,0.661274468006377,2.57912723826482
"11","a) CURRENT reference",2065,0,0,0,0.127919277715568,0.296524710023387,0.714806281199628,2.67642624316136
"12","a) CURRENT reference",2070,0,0,0,0.134875507540023,0.325631560162667,0.796579361577419,2.73001536451228
"13","a) CURRENT reference",2075,0,0,0,0.137930590597806,0.339152431542447,0.846104754907106,2.75824586091527
"14","a) CURRENT reference",2080,0,0,0,0.140573570278777,0.358311692478941,0.890021143908341,2.76714866242587
"15","a) CURRENT reference",2085,0,0,0,0.140891188730775,0.357102104722926,0.887291166940201,2.7572981433351
"16","a) CURRENT reference",2090,0,0,0,0.141899590528752,0.37118238452188,0.927587972193781,2.83142341006994
"17","a) CURRENT reference",2095,0,0,0,0.143913365400493,0.370325157381097,0.913294174704963,2.95008569178748
"18","a) CURRENT reference",2100,0,0,0,0.143454923487808,0.366700209732405,0.915608605221494,2.76761843061657
"19","b) BIODIV reference",2015,0,0,0,0,0,0,0
"20","b) BIODIV reference",2020,0,0,0.00489365365619364,0.0152884777044343,0.0302892142907978,0.0681874029811386,0.126582982074204
"21","b) BIODIV reference",2025,0,0,0.0154173169976848,0.0435815581477838,0.0923501592197557,0.206649868219075,0.639827113338407
"22","b) BIODIV reference",2030,0,0,0.0241198204430602,0.0700637795222894,0.136123918607684,0.302127659574468,1.09760055139932
"23","b) BIODIV reference",2035,0,0,0.0321650992193461,0.0964163608454578,0.190531321283187,0.41958329075488,1.55143378182393
"24","b) BIODIV reference",2040,0,0,0.0397078649505834,0.123410932673474,0.239821722942985,0.536417960695198,1.86299162849471
"25","b) BIODIV reference",2045,0,0,0.0506887032594208,0.145556787308225,0.291271783123965,0.644047468753945,2.17617495440904
"26","b) BIODIV reference",2050,0,0,0.0587342860117647,0.166919333431647,0.34386427839692,0.767988663130278,2.4412774084232
"27","b) BIODIV reference",2055,0,0,0.0679801613499623,0.185865147642846,0.401568657652007,0.901096433019581,2.63739751008745
"28","b) BIODIV reference",2060,0,0,0.0736891070368766,0.203866754007398,0.441528649575235,0.966429140208669,2.76660300684941
"29","b) BIODIV reference",2065,0,0,0.0775772741125708,0.214126215862327,0.482327685682312,1.05755440453661,2.87438434255683
"30","b) BIODIV reference",2070,0,0,0.0805436557219207,0.22291561486694,0.517146938964216,1.15014499686089,2.93185049037205
"31","b) BIODIV reference",2075,0,0,0.0767968604403054,0.23262176325524,0.548279063125288,1.25463242548357,2.96260823365546
"32","b) BIODIV reference",2080,0,0,0.071233261309144,0.234375,0.57861207996412,1.31061143424599,2.97237259660258
"33","b) BIODIV reference",2085,0,0,0.0636621704338428,0.23904704079846,0.590987453874539,1.38127076445413,2.96128717278615
"34","b) BIODIV reference",2090,0,0,0.0564416187392545,0.243463221080476,0.594259973064599,1.39684385282501,2.93773782685487
"35","b) BIODIV reference",2095,0,0,0.0705953897833893,0.254301459194234,0.600556708917783,1.39209598742866,2.91217817090507
"36","b) BIODIV reference",2100,0,0,0.0839070703260084,0.261051053708147,0.59027667417635,1.2396638766096,2.87605002800075
"37","c) BIODIV30 reference",2015,0,0,0,0,0,0,0
"38","c) BIODIV30 reference",2020,0,0,0.00476502176212738,0.0145288959003575,0.0288124976972109,0.063752455410529,0.126342118671546
"39","c) BIODIV30 reference",2025,0,0,0.0139478344703281,0.0415378709544089,0.0856481668783934,0.181718840114653,0.637001191826654
"40","c) BIODIV30 reference",2030,0,0,0.0219265050042324,0.0673180416667791,0.129270413832226,0.27960217331246,1.09184532100343
"41","c) BIODIV30 reference",2035,0,0,0.0290718997326416,0.0925141712672989,0.175257056781715,0.392309430794563,1.5426602145288
"42","c) BIODIV30 reference",2040,0,0,0.0378986038452567,0.119125833288799,0.219629462570374,0.476260668493274,1.85397969586881
"43","c) BIODIV30 reference",2045,0,0,0.0461550326305492,0.142956226880395,0.268630677055847,0.594944010082505,2.16560646745452
"44","c) BIODIV30 reference",2050,0,0,0.0528983093521604,0.162510596215055,0.312825724766789,0.68431867125913,2.42973248517396
"45","c) BIODIV30 reference",2055,0,0,0.0605217930803352,0.180546809271677,0.355614436755589,0.796771281620657,2.62527821254721
"46","c) BIODIV30 reference",2060,0,0,0.0663436344019729,0.200452294282961,0.400228028902314,0.891012698346303,2.75330624201261
"47","c) BIODIV30 reference",2065,0,0,0.0712180178791615,0.206544612794613,0.437196453544045,0.975898891316332,2.85976651685071
"48","c) BIODIV30 reference",2070,0,0,0.0736884057356545,0.215522317230712,0.483772802278533,1.01031103110311,2.91680188394767
"49","c) BIODIV30 reference",2075,0,0,0.0723108154025319,0.223408200807026,0.497891935448613,1.13374848272045,2.94664062836547
"50","c) BIODIV30 reference",2080,0,0,0.062702889044231,0.228463243197813,0.519064195498644,1.19672312169319,2.95620396031074
"51","c) BIODIV30 reference",2085,0,0,0.0563646094899792,0.231959207832885,0.544890909227149,1.27619694374565,2.94511853649431
"52","c) BIODIV30 reference",2090,0,0,0.0535331643210335,0.236404666189854,0.565070695960216,1.29467742841481,2.92240203328499
"53","c) BIODIV30 reference",2095,0,0,0.0599154095104368,0.240754082884071,0.564048317968616,1.30742632073095,2.89689981476429
"54","c) BIODIV30 reference",2100,0,0,0.0769455575813846,0.250828338936803,0.559446705157978,1.19125764623509,2.86171938944013
"55","d) UNIFORM30 reference",2015,0,0,0,0,0,0,0
"56","d) UNIFORM30 reference",2020,0,0,0.00671225281833303,0.0170074494011096,0.0313625219481013,0.0671536628983437,0.131687433415165
"57","d) UNIFORM30 reference",2025,0,0,0.019309294986966,0.0469751689780818,0.0932815032414911,0.199761082232913,0.677195904711305
"58","d) UNIFORM30 reference",2030,0,0,0.0291354427319827,0.0748619000561642,0.147572637119444,0.314732980776196,1.16053474246493
"59","d) UNIFORM30 reference",2035,0,0,0.0389877238486616,0.103914443083636,0.199903724068605,0.435747391632807,1.63910052986028
"60","d) UNIFORM30 reference",2040,0,0,0.0478959369140408,0.133141504486244,0.252784017971759,0.559541022712568,1.96581037032782
"61","d) UNIFORM30 reference",2045,0,0,0.0582257118837037,0.164370967920779,0.308591682382601,0.669036859126294,2.29535761979294
"62","d) UNIFORM30 reference",2050,0,0,0.0678579986991202,0.192016742488864,0.359844185955331,0.794289499423366,2.57547996151692
"63","d) UNIFORM30 reference",2055,0,0,0.0782034165211735,0.213207523964987,0.426263806159717,0.893950453278054,2.78443732858517
"64","d) UNIFORM30 reference",2060,0,0,0.0868782308034644,0.231906117578525,0.465723438001489,1.0214894316721,2.92131072213208
"65","d) UNIFORM30 reference",2065,0,0,0.0907423708920188,0.245899207943463,0.50123394855446,1.0419594540021,2.7164569683983
"66","d) UNIFORM30 reference",2070,0,0,0.0965624378864119,0.259337000064037,0.53147033990089,1.17756705096664,2.79292493528904
"67","d) UNIFORM30 reference",2075,0,0,0.0947239116242312,0.266717640165211,0.560150353573634,1.23338061339185,2.83352454275664
"68","d) UNIFORM30 reference",2080,0,0,0.0933865137026362,0.276862205978507,0.577523847708782,1.30032131827335,2.84856176756682
"69","d) UNIFORM30 reference",2085,0,0,0.083883252337511,0.272021424167694,0.58471990887809,1.3356690863847,2.93731659562417
"70","d) UNIFORM30 reference",2090,0,0,0.0869202741497908,0.279403799386432,0.588775239165175,1.33698354964847,2.79554181797495
"71","d) UNIFORM30 reference",2095,0,0,0.0924408014571949,0.286289447196511,0.607273325369207,1.34878243201937,2.75326399226313
"72","d) UNIFORM30 reference",2100,0,0,0.101133344178732,0.28888632274117,0.615443533421062,1.33471582089194,2.69776359173698
"73","e) CURRENT mitigation",2015,0,0,0,0,0,0,0
"74","e) CURRENT mitigation",2020,0,0,0,0.00861994940320887,0.0203431719117909,0.048800693618528,0.122154801056093
"75","e) CURRENT mitigation",2025,0,0,0,0.0510218542174894,0.125949379641864,0.314028282631147,2.07773874637769
"76","e) CURRENT mitigation",2030,0,0,0,0.0797351331702477,0.201173915882968,0.501075385323835,2.97408964854724
"77","e) CURRENT mitigation",2035,0,0,0,0.10882449068526,0.306447018609951,0.761775865589636,2.72457976426399
"78","e) CURRENT mitigation",2040,0,0,0,0.132900688046946,0.465104989567222,1.15871042259033,2.94982007088936
"79","e) CURRENT mitigation",2045,0,0,0,0.148827777006791,0.589594828066656,1.47044631338692,2.99630838538788
"80","e) CURRENT mitigation",2050,0,0,0,0.15849420709357,0.70864385059629,1.74700530111133,2.91797020820539
"81","e) CURRENT mitigation",2055,0,0,0,0.163044682831686,0.737213553394972,1.81709007843241,2.91397353354445
"82","e) CURRENT mitigation",2060,0,0,0,0.160398431999722,0.767479197438556,1.89745233367392,2.99276268689878
"83","e) CURRENT mitigation",2065,0,0,0,0.161007288905101,0.763579587975158,1.90139361191663,2.89600866808002
"84","e) CURRENT mitigation",2070,0,0,0,0.156006243641307,0.770928923805902,1.9253827301127,2.9473828892129
"85","e) CURRENT mitigation",2075,0,0,0,0.153865262939303,0.76944400204518,1.91342497079367,2.95596211903874
"86","e) CURRENT mitigation",2080,0,0,0,0.148559254294237,0.764752704585392,1.89643130881693,2.96067134672799
"87","e) CURRENT mitigation",2085,0,0,0,0.14786988474094,0.752133145889745,1.8802192842439,2.9596142585273
"88","e) CURRENT mitigation",2090,0,0,0,0.151100275463759,0.737616575312235,1.84061670123021,2.95279999011259
"89","e) CURRENT mitigation",2095,0,0,0,0.147741342788838,0.729999218904091,1.81701062532911,2.94199196807091
"90","e) CURRENT mitigation",2100,0,0,0,0.146020509083338,0.726927664026376,1.81143418261411,2.97816055343644
"91","f) BIODIV mitigation",2015,0,0,0,0,0,0,0
"92","f) BIODIV mitigation",2020,0,0,0.00564480827905214,0.0162689515058286,0.03373989713446,0.0716855656918748,0.127517614144048
"93","f) BIODIV mitigation",2025,0,0,0.0209353619318469,0.0933260795482699,0.186384302707276,0.433308190883816,2.25837137799311
"94","f) BIODIV mitigation",2030,0,0,0.0341622923265798,0.148357779087724,0.305160993964265,0.705992322923926,2.32268986440053
"95","f) BIODIV mitigation",2035,0,0,0.0444082803291721,0.221469730623863,0.468813012033858,1.09062190621906,2.90329326277176
"96","f) BIODIV mitigation",2040,0,0,0.0446645738085898,0.302736967786427,0.662230250770184,1.58621402580218,2.85138789799406
"97","f) BIODIV mitigation",2045,0,0,0.0378375609028255,0.348623897378478,0.831366796453751,2.01071878020223,2.92847012618641
"98","f) BIODIV mitigation",2050,0,0,0.0353949622858824,0.38626145842916,0.998789653966328,2.42012641644983,2.95105175266674
"99","f) BIODIV mitigation",2055,0,0,0.0405003948363691,0.40740257647521,1.05075368475599,2.55360589577119,2.94075321817427
"100","f) BIODIV mitigation",2060,0,0,0.0301598179719027,0.405876046759135,1.09300242836589,2.68252283736866,2.98696910889829
"101","f) BIODIV mitigation",2065,0,0,0.0256561119020518,0.405810861144524,1.10129895702076,2.69446087127932,2.98514029428438
"102","f) BIODIV mitigation",2070,0,0,0.0216519089849904,0.391145466214425,1.10242678235772,2.71775883131104,2.96198506027661
"103","f) BIODIV mitigation",2075,0,0,0.0221988492990574,0.384495512500801,1.09409394262159,2.66007163670471,2.99001113129064
"104","f) BIODIV mitigation",2080,0,0,0.0178927200822573,0.378531548718244,1.09528661867227,2.70913214410791,2.99657310821952
"105","f) BIODIV mitigation",2085,0,0,0.0165951181860197,0.373373866049025,1.08911483135557,2.65645373697303,2.99459449805628
"106","f) BIODIV mitigation",2090,0,0,0.0168620882188721,0.376519615879069,1.08201026221371,2.66729047100396,2.97733076565816
"107","f) BIODIV mitigation",2095,0,0,0.0230011266217192,0.376518886511251,1.07364809062058,2.64527520323098,2.9903182001401
"108","f) BIODIV mitigation",2100,0,0,0.0258238076625711,0.369751060934751,1.05615259301339,2.58179764150303,2.96645809080326
"109","g) BIODIV30 mitigation",2015,0,0,0,0,0,0,0
"110","g) BIODIV30 mitigation",2020,0,0,0.00546225533647972,0.0153530085818335,0.0304764705264595,0.0652086617240739,0.127297895091476
"111","g) BIODIV30 mitigation",2025,0,0,0.0199027853917279,0.0919625576820781,0.179366778822472,0.417376978726452,2.24197560771087
"112","g) BIODIV30 mitigation",2030,0,0,0.0325981417898766,0.14402974340353,0.289881423158402,0.673870918393364,2.28707674171083
"113","g) BIODIV30 mitigation",2035,0,0,0.0409773034800739,0.215607403176404,0.450180864115787,1.0620741253228,2.89760632703715
"114","g) BIODIV30 mitigation",2040,0,0,0.0425819820725949,0.296599704599451,0.640635613688657,1.51362507209282,2.83785141395859
"115","g) BIODIV30 mitigation",2045,0,0,0.0362845419422104,0.335264049509895,0.803260975028887,1.94007393727299,2.96203971052921
"116","g) BIODIV30 mitigation",2050,0,0,0.0350653793111507,0.371629412805417,0.969465796028795,2.36999201158996,2.99238704848718
"117","g) BIODIV30 mitigation",2055,0,0,0.0349972165805658,0.389640261839834,1.01708793616129,2.4858762848205,2.91702218731038
"118","g) BIODIV30 mitigation",2060,0,0,0.0279738625933972,0.392169709451406,1.05735744491722,2.57473002159827,2.99073291417235
"119","g) BIODIV30 mitigation",2065,0,0,0.0219557010663462,0.394363515186137,1.07491832475994,2.64474361934533,2.99293095070003
"120","g) BIODIV30 mitigation",2070,0,0,0.0186854749611781,0.38568945929563,1.06044314695955,2.62242605308759,2.98453649511679
"121","g) BIODIV30 mitigation",2075,0,0,0.0184270534452087,0.37269244140955,1.0784876717441,2.6364092669519,2.99398451994671
"122","g) BIODIV30 mitigation",2080,0,0,0.0145000504528249,0.362846716908696,1.08158412842874,2.63989028291563,2.98619378116885
"123","g) BIODIV30 mitigation",2085,0,0,0.0160620691417101,0.366686147734611,1.07232612550963,2.64753714157615,2.9690093055568
"124","g) BIODIV30 mitigation",2090,0,0,0.016236204827127,0.368493074756214,1.07368882224678,2.64550397004642,2.9980869836808
"125","g) BIODIV30 mitigation",2095,0,0,0.0192081812914037,0.366004003227733,1.06058620527627,2.60348202014088,2.97668897042953
"126","g) BIODIV30 mitigation",2100,0,0,0.0191121329686733,0.361365584836153,1.03624194974113,2.54933964190891,2.95732352452542
"127","h) UNIFORM30 mitigation",2015,0,0,0,0,0,0,0
"128","h) UNIFORM30 mitigation",2020,0,0,0.00721450009492763,0.0169235452628731,0.0339246603267311,0.0734159878901463,0.132706470887952
"129","h) UNIFORM30 mitigation",2025,0,0,0.0313896151173181,0.107944652824069,0.200930117002197,0.452685939952407,2.22152447148487
"130","h) UNIFORM30 mitigation",2030,0,0,0.0516707775295228,0.170676259155977,0.327843383031458,0.736521732054068,2.17787115628545
"131","h) UNIFORM30 mitigation",2035,0,0,0.0717245012014474,0.261774587963975,0.488337901585403,1.10587867851194,2.98058115288895
"132","h) UNIFORM30 mitigation",2040,0,0,0.0842931645483767,0.35579131039067,0.684872378882299,1.52999072178011,2.81393806501888
"133","h) UNIFORM30 mitigation",2045,0,0,0.0880516294278224,0.424020031264905,0.880430515780009,2.06546328294411,2.95220995377851
"134","h) UNIFORM30 mitigation",2050,0,0,0.0829165568942528,0.453501292700369,1.06773705118059,2.54495998177106,2.89449410033518
"135","h) UNIFORM30 mitigation",2055,0,0,0.083749824230385,0.467174236101215,1.14502477072449,2.68719027629598,2.99375483672361
"136","h) UNIFORM30 mitigation",2060,0,0,0.0868782416429714,0.480839678638913,1.17091846568725,2.75608795301533,2.98824331858795
"137","h) UNIFORM30 mitigation",2065,0,0,0.088904651199216,0.476768008384288,1.20113726052953,2.86744275862069,2.99273655062411
"138","h) UNIFORM30 mitigation",2070,0,0,0.0855635147046646,0.460602877906183,1.21308813376772,2.88918809448567,2.9796863221342
"139","h) UNIFORM30 mitigation",2075,0,0,0.0750272612093312,0.44855572681387,1.22410839565835,2.94689642006509,2.98023219558181
"140","h) UNIFORM30 mitigation",2080,0,0,0.0747884251049527,0.438839761129585,1.22022823231005,2.910600630094,2.99593861285399
"141","h) UNIFORM30 mitigation",2085,0,0,0.0752482646890713,0.433717671997631,1.2084180930012,2.89874998256862,2.99435990429764
"142","h) UNIFORM30 mitigation",2090,0,0,0.0750608785535352,0.433904097557544,1.20362365617963,2.88928027180294,2.9992369245999
"143","h) UNIFORM30 mitigation",2095,0,0,0.0751919184203491,0.437406198184646,1.18649799038018,2.83972423711499,2.96827356784358
"144","h) UNIFORM30 mitigation",2100,0,0,0.0758677195092258,0.439381263055644,1.17360297756028,2.8152159772852,2.97372725503128
