"","Units","scenario","region","sector","year","value"
"155","1975$/GJ","Baseline","Canada","biomass",1975,1
"156","1975$/GJ","Baseline","Canada","biomass",1990,1.30374
"157","1975$/GJ","Baseline","Canada","biomass",2005,1.34147
"158","1975$/GJ","Baseline","Canada","biomass",2010,1.31346
"159","1975$/GJ","Baseline","Canada","biomass",2015,1.2543
"160","1975$/GJ","Baseline","Canada","biomass",2020,1.49311
"161","1975$/GJ","Baseline","Canada","biomass",2025,1.66272
"162","1975$/GJ","Baseline","Canada","biomass",2030,2.49017
"163","1975$/GJ","Baseline","Canada","biomass",2035,3.40043
"164","1975$/GJ","Baseline","Canada","biomass",2040,4.35148
"165","1975$/GJ","Baseline","Canada","biomass",2045,5.24191
"166","1975$/GJ","Baseline","Canada","biomass",2050,6.29462
"167","1975$/GJ","Baseline","Canada","biomass",2055,6.70363
"168","1975$/GJ","Baseline","Canada","biomass",2060,7.2038
"169","1975$/GJ","Baseline","Canada","biomass",2065,7.66608
"170","1975$/GJ","Baseline","Canada","biomass",2070,8.05459
"171","1975$/GJ","Baseline","Canada","biomass",2075,8.28565
"172","1975$/GJ","Baseline","Canada","biomass",2080,8.58187
"173","1975$/GJ","Baseline","Canada","biomass",2085,8.32428
"174","1975$/GJ","Baseline","Canada","biomass",2090,8.14141
"175","1975$/GJ","Baseline","Canada","biomass",2095,8.03328
"176","1975$/GJ","Baseline","Canada","biomass",2100,7.95739
"177","1975$/GJ","Baseline","Central America and Caribbean","biomass",1975,1
"178","1975$/GJ","Baseline","Central America and Caribbean","biomass",1990,1.51663
"179","1975$/GJ","Baseline","Central America and Caribbean","biomass",2005,1.37903
"180","1975$/GJ","Baseline","Central America and Caribbean","biomass",2010,1.44784
"181","1975$/GJ","Baseline","Central America and Caribbean","biomass",2015,1.41775
"182","1975$/GJ","Baseline","Central America and Caribbean","biomass",2020,1.49306
"183","1975$/GJ","Baseline","Central America and Caribbean","biomass",2025,2.35943
"184","1975$/GJ","Baseline","Central America and Caribbean","biomass",2030,3.1828
"185","1975$/GJ","Baseline","Central America and Caribbean","biomass",2035,4.04507
"186","1975$/GJ","Baseline","Central America and Caribbean","biomass",2040,4.94776
"187","1975$/GJ","Baseline","Central America and Caribbean","biomass",2045,5.90421
"188","1975$/GJ","Baseline","Central America and Caribbean","biomass",2050,6.87102
"189","1975$/GJ","Baseline","Central America and Caribbean","biomass",2055,7.27573
"190","1975$/GJ","Baseline","Central America and Caribbean","biomass",2060,7.79815
"191","1975$/GJ","Baseline","Central America and Caribbean","biomass",2065,8.28316
"192","1975$/GJ","Baseline","Central America and Caribbean","biomass",2070,8.69793
"193","1975$/GJ","Baseline","Central America and Caribbean","biomass",2075,8.95752
"194","1975$/GJ","Baseline","Central America and Caribbean","biomass",2080,9.2763
"195","1975$/GJ","Baseline","Central America and Caribbean","biomass",2085,9.03955
"196","1975$/GJ","Baseline","Central America and Caribbean","biomass",2090,8.83692
"197","1975$/GJ","Baseline","Central America and Caribbean","biomass",2095,8.70618
"198","1975$/GJ","Baseline","Central America and Caribbean","biomass",2100,8.6063
"199","1975$/GJ","Baseline","Central Asia","biomass",1975,1
"200","1975$/GJ","Baseline","Central Asia","biomass",1990,1.02295
"201","1975$/GJ","Baseline","Central Asia","biomass",2005,1.08285
"202","1975$/GJ","Baseline","Central Asia","biomass",2010,1.1489
"203","1975$/GJ","Baseline","Central Asia","biomass",2015,1.18407
"204","1975$/GJ","Baseline","Central Asia","biomass",2020,1.40548
"205","1975$/GJ","Baseline","Central Asia","biomass",2025,2.43709
"206","1975$/GJ","Baseline","Central Asia","biomass",2030,3.53577
"207","1975$/GJ","Baseline","Central Asia","biomass",2035,4.60465
"208","1975$/GJ","Baseline","Central Asia","biomass",2040,5.74726
"209","1975$/GJ","Baseline","Central Asia","biomass",2045,6.93467
"210","1975$/GJ","Baseline","Central Asia","biomass",2050,8.10497
"211","1975$/GJ","Baseline","Central Asia","biomass",2055,8.60914
"212","1975$/GJ","Baseline","Central Asia","biomass",2060,9.20354
"213","1975$/GJ","Baseline","Central Asia","biomass",2065,9.75851
"214","1975$/GJ","Baseline","Central Asia","biomass",2070,10.2188
"215","1975$/GJ","Baseline","Central Asia","biomass",2075,10.5509
"216","1975$/GJ","Baseline","Central Asia","biomass",2080,10.99
"217","1975$/GJ","Baseline","Central Asia","biomass",2085,10.6785
"218","1975$/GJ","Baseline","Central Asia","biomass",2090,10.4415
"219","1975$/GJ","Baseline","Central Asia","biomass",2095,10.2777
"220","1975$/GJ","Baseline","Central Asia","biomass",2100,10.1446
"221","1975$/GJ","Baseline","China","biomass",1975,1
"222","1975$/GJ","Baseline","China","biomass",1990,0.8019
"223","1975$/GJ","Baseline","China","biomass",2005,0.844552
"224","1975$/GJ","Baseline","China","biomass",2010,0.916708
"225","1975$/GJ","Baseline","China","biomass",2015,0.958048
"226","1975$/GJ","Baseline","China","biomass",2020,1.2255
"227","1975$/GJ","Baseline","China","biomass",2025,1.81314
"228","1975$/GJ","Baseline","China","biomass",2030,2.72552
"229","1975$/GJ","Baseline","China","biomass",2035,3.65082
"230","1975$/GJ","Baseline","China","biomass",2040,4.67304
"231","1975$/GJ","Baseline","China","biomass",2045,5.82346
"232","1975$/GJ","Baseline","China","biomass",2050,7.16325
"233","1975$/GJ","Baseline","China","biomass",2055,7.44674
"234","1975$/GJ","Baseline","China","biomass",2060,7.80177
"235","1975$/GJ","Baseline","China","biomass",2065,8.11761
"236","1975$/GJ","Baseline","China","biomass",2070,8.36845
"237","1975$/GJ","Baseline","China","biomass",2075,8.51179
"238","1975$/GJ","Baseline","China","biomass",2080,8.72356
"239","1975$/GJ","Baseline","China","biomass",2085,8.40435
"240","1975$/GJ","Baseline","China","biomass",2090,8.14453
"241","1975$/GJ","Baseline","China","biomass",2095,7.95445
"242","1975$/GJ","Baseline","China","biomass",2100,7.80702
"243","1975$/GJ","Baseline","Colombia","biomass",1975,1
"244","1975$/GJ","Baseline","Colombia","biomass",1990,1.27001
"245","1975$/GJ","Baseline","Colombia","biomass",2005,1.20258
"246","1975$/GJ","Baseline","Colombia","biomass",2010,1.21961
"247","1975$/GJ","Baseline","Colombia","biomass",2015,1.20857
"248","1975$/GJ","Baseline","Colombia","biomass",2020,1.30274
"249","1975$/GJ","Baseline","Colombia","biomass",2025,1.65402
"250","1975$/GJ","Baseline","Colombia","biomass",2030,2.49314
"251","1975$/GJ","Baseline","Colombia","biomass",2035,3.28314
"252","1975$/GJ","Baseline","Colombia","biomass",2040,3.99983
"253","1975$/GJ","Baseline","Colombia","biomass",2045,4.75404
"254","1975$/GJ","Baseline","Colombia","biomass",2050,5.62641
"255","1975$/GJ","Baseline","Colombia","biomass",2055,5.88901
"256","1975$/GJ","Baseline","Colombia","biomass",2060,6.25477
"257","1975$/GJ","Baseline","Colombia","biomass",2065,6.60693
"258","1975$/GJ","Baseline","Colombia","biomass",2070,6.91821
"259","1975$/GJ","Baseline","Colombia","biomass",2075,7.15663
"260","1975$/GJ","Baseline","Colombia","biomass",2080,7.40145
"261","1975$/GJ","Baseline","Colombia","biomass",2085,7.18776
"262","1975$/GJ","Baseline","Colombia","biomass",2090,7.03516
"263","1975$/GJ","Baseline","Colombia","biomass",2095,6.93556
"264","1975$/GJ","Baseline","Colombia","biomass",2100,6.8568
"265","1975$/GJ","Baseline","EU-12","biomass",1975,1
"266","1975$/GJ","Baseline","EU-12","biomass",1990,0.998035
"267","1975$/GJ","Baseline","EU-12","biomass",2005,1.34223
"268","1975$/GJ","Baseline","EU-12","biomass",2010,1.4268
"269","1975$/GJ","Baseline","EU-12","biomass",2015,1.3817
"270","1975$/GJ","Baseline","EU-12","biomass",2020,2.20583
"271","1975$/GJ","Baseline","EU-12","biomass",2025,1.77488
"272","1975$/GJ","Baseline","EU-12","biomass",2030,2.59488
"273","1975$/GJ","Baseline","EU-12","biomass",2035,3.50362
"274","1975$/GJ","Baseline","EU-12","biomass",2040,4.46544
"275","1975$/GJ","Baseline","EU-12","biomass",2045,5.36046
"276","1975$/GJ","Baseline","EU-12","biomass",2050,6.3944
"277","1975$/GJ","Baseline","EU-12","biomass",2055,6.77942
"278","1975$/GJ","Baseline","EU-12","biomass",2060,7.25733
"279","1975$/GJ","Baseline","EU-12","biomass",2065,7.7004
"280","1975$/GJ","Baseline","EU-12","biomass",2070,8.07555
"281","1975$/GJ","Baseline","EU-12","biomass",2075,8.2968
"282","1975$/GJ","Baseline","EU-12","biomass",2080,8.58646
"283","1975$/GJ","Baseline","EU-12","biomass",2085,8.33034
"284","1975$/GJ","Baseline","EU-12","biomass",2090,8.13932
"285","1975$/GJ","Baseline","EU-12","biomass",2095,8.01444
"286","1975$/GJ","Baseline","EU-12","biomass",2100,7.92178
"287","1975$/GJ","Baseline","EU-15","biomass",1975,1
"288","1975$/GJ","Baseline","EU-15","biomass",1990,1.23608
"289","1975$/GJ","Baseline","EU-15","biomass",2005,1.4003
"290","1975$/GJ","Baseline","EU-15","biomass",2010,1.7497
"291","1975$/GJ","Baseline","EU-15","biomass",2015,2.00835
"292","1975$/GJ","Baseline","EU-15","biomass",2020,2.56455
"293","1975$/GJ","Baseline","EU-15","biomass",2025,1.52973
"294","1975$/GJ","Baseline","EU-15","biomass",2030,2.30226
"295","1975$/GJ","Baseline","EU-15","biomass",2035,3.14403
"296","1975$/GJ","Baseline","EU-15","biomass",2040,4.0201
"297","1975$/GJ","Baseline","EU-15","biomass",2045,4.81576
"298","1975$/GJ","Baseline","EU-15","biomass",2050,5.72005
"299","1975$/GJ","Baseline","EU-15","biomass",2055,6.04112
"300","1975$/GJ","Baseline","EU-15","biomass",2060,6.44243
"301","1975$/GJ","Baseline","EU-15","biomass",2065,6.81781
"302","1975$/GJ","Baseline","EU-15","biomass",2070,7.13789
"303","1975$/GJ","Baseline","EU-15","biomass",2075,7.33017
"304","1975$/GJ","Baseline","EU-15","biomass",2080,7.58457
"305","1975$/GJ","Baseline","EU-15","biomass",2085,7.37477
"306","1975$/GJ","Baseline","EU-15","biomass",2090,7.21998
"307","1975$/GJ","Baseline","EU-15","biomass",2095,7.11884
"308","1975$/GJ","Baseline","EU-15","biomass",2100,7.04276
"309","1975$/GJ","Baseline","Europe_Eastern","biomass",1975,1
"310","1975$/GJ","Baseline","Europe_Eastern","biomass",1990,0.994819
"311","1975$/GJ","Baseline","Europe_Eastern","biomass",2005,1.19072
"312","1975$/GJ","Baseline","Europe_Eastern","biomass",2010,1.23856
"313","1975$/GJ","Baseline","Europe_Eastern","biomass",2015,1.20635
"314","1975$/GJ","Baseline","Europe_Eastern","biomass",2020,1.36661
"315","1975$/GJ","Baseline","Europe_Eastern","biomass",2025,1.88905
"316","1975$/GJ","Baseline","Europe_Eastern","biomass",2030,2.81613
"317","1975$/GJ","Baseline","Europe_Eastern","biomass",2035,3.82509
"318","1975$/GJ","Baseline","Europe_Eastern","biomass",2040,4.96727
"319","1975$/GJ","Baseline","Europe_Eastern","biomass",2045,6.17995
"320","1975$/GJ","Baseline","Europe_Eastern","biomass",2050,7.59871
"321","1975$/GJ","Baseline","Europe_Eastern","biomass",2055,8.11652
"322","1975$/GJ","Baseline","Europe_Eastern","biomass",2060,8.71968
"323","1975$/GJ","Baseline","Europe_Eastern","biomass",2065,9.2935
"324","1975$/GJ","Baseline","Europe_Eastern","biomass",2070,9.78276
"325","1975$/GJ","Baseline","Europe_Eastern","biomass",2075,10.0117
"326","1975$/GJ","Baseline","Europe_Eastern","biomass",2080,10.3861
"327","1975$/GJ","Baseline","Europe_Eastern","biomass",2085,10.0625
"328","1975$/GJ","Baseline","Europe_Eastern","biomass",2090,9.80528
"329","1975$/GJ","Baseline","Europe_Eastern","biomass",2095,9.61751
"330","1975$/GJ","Baseline","Europe_Eastern","biomass",2100,9.45685
"331","1975$/GJ","Baseline","Europe_Non_EU","biomass",1975,1
"332","1975$/GJ","Baseline","Europe_Non_EU","biomass",1990,1.58075
"333","1975$/GJ","Baseline","Europe_Non_EU","biomass",2005,1.42759
"334","1975$/GJ","Baseline","Europe_Non_EU","biomass",2010,1.37576
"335","1975$/GJ","Baseline","Europe_Non_EU","biomass",2015,1.3034
"336","1975$/GJ","Baseline","Europe_Non_EU","biomass",2020,1.41157
"337","1975$/GJ","Baseline","Europe_Non_EU","biomass",2025,1.78088
"338","1975$/GJ","Baseline","Europe_Non_EU","biomass",2030,2.65247
"339","1975$/GJ","Baseline","Europe_Non_EU","biomass",2035,3.5904
"340","1975$/GJ","Baseline","Europe_Non_EU","biomass",2040,4.59529
"341","1975$/GJ","Baseline","Europe_Non_EU","biomass",2045,5.65945
"342","1975$/GJ","Baseline","Europe_Non_EU","biomass",2050,6.93624
"343","1975$/GJ","Baseline","Europe_Non_EU","biomass",2055,7.51107
"344","1975$/GJ","Baseline","Europe_Non_EU","biomass",2060,8.05004
"345","1975$/GJ","Baseline","Europe_Non_EU","biomass",2065,8.54112
"346","1975$/GJ","Baseline","Europe_Non_EU","biomass",2070,8.95522
"347","1975$/GJ","Baseline","Europe_Non_EU","biomass",2075,9.22389
"348","1975$/GJ","Baseline","Europe_Non_EU","biomass",2080,9.59476
"349","1975$/GJ","Baseline","Europe_Non_EU","biomass",2085,9.33034
"350","1975$/GJ","Baseline","Europe_Non_EU","biomass",2090,9.1283
"351","1975$/GJ","Baseline","Europe_Non_EU","biomass",2095,8.98956
"352","1975$/GJ","Baseline","Europe_Non_EU","biomass",2100,8.87545
"353","1975$/GJ","Baseline","European Free Trade Association","biomass",1975,1
"354","1975$/GJ","Baseline","European Free Trade Association","biomass",1990,1.77282
"355","1975$/GJ","Baseline","European Free Trade Association","biomass",2005,2.23383
"356","1975$/GJ","Baseline","European Free Trade Association","biomass",2010,2.62446
"357","1975$/GJ","Baseline","European Free Trade Association","biomass",2015,2.65909
"358","1975$/GJ","Baseline","European Free Trade Association","biomass",2020,3.00237
"359","1975$/GJ","Baseline","European Free Trade Association","biomass",2025,1.01056
"360","1975$/GJ","Baseline","European Free Trade Association","biomass",2030,1.59883
"361","1975$/GJ","Baseline","European Free Trade Association","biomass",2035,2.2755
"362","1975$/GJ","Baseline","European Free Trade Association","biomass",2040,2.88176
"363","1975$/GJ","Baseline","European Free Trade Association","biomass",2045,3.51884
"364","1975$/GJ","Baseline","European Free Trade Association","biomass",2050,4.20659
"365","1975$/GJ","Baseline","European Free Trade Association","biomass",2055,4.43904
"366","1975$/GJ","Baseline","European Free Trade Association","biomass",2060,4.73155
"367","1975$/GJ","Baseline","European Free Trade Association","biomass",2065,4.99083
"368","1975$/GJ","Baseline","European Free Trade Association","biomass",2070,5.21103
"369","1975$/GJ","Baseline","European Free Trade Association","biomass",2075,5.3905
"370","1975$/GJ","Baseline","European Free Trade Association","biomass",2080,5.57432
"371","1975$/GJ","Baseline","European Free Trade Association","biomass",2085,5.41691
"372","1975$/GJ","Baseline","European Free Trade Association","biomass",2090,5.28643
"373","1975$/GJ","Baseline","European Free Trade Association","biomass",2095,5.2072
"374","1975$/GJ","Baseline","European Free Trade Association","biomass",2100,5.15239
"375","1975$/GJ","Baseline","India","biomass",1975,1
"376","1975$/GJ","Baseline","India","biomass",1990,1.18768
"377","1975$/GJ","Baseline","India","biomass",2005,1.20528
"378","1975$/GJ","Baseline","India","biomass",2010,1.23334
"379","1975$/GJ","Baseline","India","biomass",2015,1.25707
"380","1975$/GJ","Baseline","India","biomass",2020,1.47539
"381","1975$/GJ","Baseline","India","biomass",2025,2.46319
"382","1975$/GJ","Baseline","India","biomass",2030,3.5148
"383","1975$/GJ","Baseline","India","biomass",2035,4.63671
"384","1975$/GJ","Baseline","India","biomass",2040,5.91861
"385","1975$/GJ","Baseline","India","biomass",2045,7.22354
"386","1975$/GJ","Baseline","India","biomass",2050,8.65098
"387","1975$/GJ","Baseline","India","biomass",2055,9.10911
"388","1975$/GJ","Baseline","India","biomass",2060,9.71279
"389","1975$/GJ","Baseline","India","biomass",2065,10.2687
"390","1975$/GJ","Baseline","India","biomass",2070,10.7459
"391","1975$/GJ","Baseline","India","biomass",2075,11.0422
"392","1975$/GJ","Baseline","India","biomass",2080,11.4174
"393","1975$/GJ","Baseline","India","biomass",2085,11.0271
"394","1975$/GJ","Baseline","India","biomass",2090,10.7261
"395","1975$/GJ","Baseline","India","biomass",2095,10.521
"396","1975$/GJ","Baseline","India","biomass",2100,10.3532
"397","1975$/GJ","Baseline","Indonesia","biomass",1975,1
"398","1975$/GJ","Baseline","Indonesia","biomass",1990,1.00173
"399","1975$/GJ","Baseline","Indonesia","biomass",2005,0.922792
"400","1975$/GJ","Baseline","Indonesia","biomass",2010,0.931356
"401","1975$/GJ","Baseline","Indonesia","biomass",2015,0.936257
"402","1975$/GJ","Baseline","Indonesia","biomass",2020,1.14836
"403","1975$/GJ","Baseline","Indonesia","biomass",2025,1.46361
"404","1975$/GJ","Baseline","Indonesia","biomass",2030,2.18125
"405","1975$/GJ","Baseline","Indonesia","biomass",2035,2.92753
"406","1975$/GJ","Baseline","Indonesia","biomass",2040,3.69716
