"","Units","scenario","region","sector","year","value"
"1","1975$/GJ","Baseline","Africa_Eastern","biomass",1975,1
"2","1975$/GJ","Baseline","Africa_Eastern","biomass",1990,1.57541
"3","1975$/GJ","Baseline","Africa_Eastern","biomass",2005,1.7817
"4","1975$/GJ","Baseline","Africa_Eastern","biomass",2010,1.76898
"5","1975$/GJ","Baseline","Africa_Eastern","biomass",2015,1.79648
"6","1975$/GJ","Baseline","Africa_Eastern","biomass",2020,2.04099
"7","1975$/GJ","Baseline","Africa_Eastern","biomass",2025,2.88483
"8","1975$/GJ","Baseline","Africa_Eastern","biomass",2030,3.77045
"9","1975$/GJ","Baseline","Africa_Eastern","biomass",2035,4.92544
"10","1975$/GJ","Baseline","Africa_Eastern","biomass",2040,6.24601
"11","1975$/GJ","Baseline","Africa_Eastern","biomass",2045,7.58079
"12","1975$/GJ","Baseline","Africa_Eastern","biomass",2050,9.10551
"13","1975$/GJ","Baseline","Africa_Eastern","biomass",2055,9.83756
"14","1975$/GJ","Baseline","Africa_Eastern","biomass",2060,10.7082
"15","1975$/GJ","Baseline","Africa_Eastern","biomass",2065,11.4877
"16","1975$/GJ","Baseline","Africa_Eastern","biomass",2070,12.1638
"17","1975$/GJ","Baseline","Africa_Eastern","biomass",2075,12.5778
"18","1975$/GJ","Baseline","Africa_Eastern","biomass",2080,13.1261
"19","1975$/GJ","Baseline","Africa_Eastern","biomass",2085,12.8104
"20","1975$/GJ","Baseline","Africa_Eastern","biomass",2090,12.5815
"21","1975$/GJ","Baseline","Africa_Eastern","biomass",2095,12.4693
"22","1975$/GJ","Baseline","Africa_Eastern","biomass",2100,12.3957
"23","1975$/GJ","Baseline","Africa_Northern","biomass",1975,1
"24","1975$/GJ","Baseline","Africa_Northern","biomass",1990,0.94597
"25","1975$/GJ","Baseline","Africa_Northern","biomass",2005,0.97414
"26","1975$/GJ","Baseline","Africa_Northern","biomass",2010,1.06586
"27","1975$/GJ","Baseline","Africa_Northern","biomass",2015,1.11163
"28","1975$/GJ","Baseline","Africa_Northern","biomass",2020,1.34076
"29","1975$/GJ","Baseline","Africa_Northern","biomass",2025,3.52531
"30","1975$/GJ","Baseline","Africa_Northern","biomass",2030,4.70953
"31","1975$/GJ","Baseline","Africa_Northern","biomass",2035,5.86109
"32","1975$/GJ","Baseline","Africa_Northern","biomass",2040,7.19821
"33","1975$/GJ","Baseline","Africa_Northern","biomass",2045,8.57283
"34","1975$/GJ","Baseline","Africa_Northern","biomass",2050,9.76343
"35","1975$/GJ","Baseline","Africa_Northern","biomass",2055,10.3838
"36","1975$/GJ","Baseline","Africa_Northern","biomass",2060,11.1685
"37","1975$/GJ","Baseline","Africa_Northern","biomass",2065,11.9431
"38","1975$/GJ","Baseline","Africa_Northern","biomass",2070,12.773
"39","1975$/GJ","Baseline","Africa_Northern","biomass",2075,13.2025
"40","1975$/GJ","Baseline","Africa_Northern","biomass",2080,13.6651
"41","1975$/GJ","Baseline","Africa_Northern","biomass",2085,13.2485
"42","1975$/GJ","Baseline","Africa_Northern","biomass",2090,12.9368
"43","1975$/GJ","Baseline","Africa_Northern","biomass",2095,12.7229
"44","1975$/GJ","Baseline","Africa_Northern","biomass",2100,12.5412
"45","1975$/GJ","Baseline","Africa_Southern","biomass",1975,1
"46","1975$/GJ","Baseline","Africa_Southern","biomass",1990,1.89196
"47","1975$/GJ","Baseline","Africa_Southern","biomass",2005,1.75847
"48","1975$/GJ","Baseline","Africa_Southern","biomass",2010,1.96331
"49","1975$/GJ","Baseline","Africa_Southern","biomass",2015,2.06051
"50","1975$/GJ","Baseline","Africa_Southern","biomass",2020,2.52681
"51","1975$/GJ","Baseline","Africa_Southern","biomass",2025,3.41022
"52","1975$/GJ","Baseline","Africa_Southern","biomass",2030,4.11797
"53","1975$/GJ","Baseline","Africa_Southern","biomass",2035,5.3217
"54","1975$/GJ","Baseline","Africa_Southern","biomass",2040,6.46233
"55","1975$/GJ","Baseline","Africa_Southern","biomass",2045,7.85128
"56","1975$/GJ","Baseline","Africa_Southern","biomass",2050,9.77757
"57","1975$/GJ","Baseline","Africa_Southern","biomass",2055,10.8231
"58","1975$/GJ","Baseline","Africa_Southern","biomass",2060,11.7921
"59","1975$/GJ","Baseline","Africa_Southern","biomass",2065,12.5954
"60","1975$/GJ","Baseline","Africa_Southern","biomass",2070,13.3404
"61","1975$/GJ","Baseline","Africa_Southern","biomass",2075,13.7779
"62","1975$/GJ","Baseline","Africa_Southern","biomass",2080,14.2759
"63","1975$/GJ","Baseline","Africa_Southern","biomass",2085,13.8508
"64","1975$/GJ","Baseline","Africa_Southern","biomass",2090,13.4951
"65","1975$/GJ","Baseline","Africa_Southern","biomass",2095,13.2545
"66","1975$/GJ","Baseline","Africa_Southern","biomass",2100,13.0512
"67","1975$/GJ","Baseline","Africa_Western","biomass",1975,1
"68","1975$/GJ","Baseline","Africa_Western","biomass",1990,1.22076
"69","1975$/GJ","Baseline","Africa_Western","biomass",2005,1.33928
"70","1975$/GJ","Baseline","Africa_Western","biomass",2010,1.43318
"71","1975$/GJ","Baseline","Africa_Western","biomass",2015,1.56288
"72","1975$/GJ","Baseline","Africa_Western","biomass",2020,1.92781
"73","1975$/GJ","Baseline","Africa_Western","biomass",2025,2.40722
"74","1975$/GJ","Baseline","Africa_Western","biomass",2030,3.23402
"75","1975$/GJ","Baseline","Africa_Western","biomass",2035,4.16574
"76","1975$/GJ","Baseline","Africa_Western","biomass",2040,5.39311
"77","1975$/GJ","Baseline","Africa_Western","biomass",2045,6.75293
"78","1975$/GJ","Baseline","Africa_Western","biomass",2050,8.31162
"79","1975$/GJ","Baseline","Africa_Western","biomass",2055,9.08227
"80","1975$/GJ","Baseline","Africa_Western","biomass",2060,9.8838
"81","1975$/GJ","Baseline","Africa_Western","biomass",2065,10.6246
"82","1975$/GJ","Baseline","Africa_Western","biomass",2070,11.2376
"83","1975$/GJ","Baseline","Africa_Western","biomass",2075,11.5967
"84","1975$/GJ","Baseline","Africa_Western","biomass",2080,12.0687
"85","1975$/GJ","Baseline","Africa_Western","biomass",2085,11.7645
"86","1975$/GJ","Baseline","Africa_Western","biomass",2090,11.455
"87","1975$/GJ","Baseline","Africa_Western","biomass",2095,11.272
"88","1975$/GJ","Baseline","Africa_Western","biomass",2100,11.1436
"89","1975$/GJ","Baseline","Argentina","biomass",1975,1
"90","1975$/GJ","Baseline","Argentina","biomass",1990,1.22529
"91","1975$/GJ","Baseline","Argentina","biomass",2005,1.11868
"92","1975$/GJ","Baseline","Argentina","biomass",2010,1.17996
"93","1975$/GJ","Baseline","Argentina","biomass",2015,1.17511
"94","1975$/GJ","Baseline","Argentina","biomass",2020,1.34607
"95","1975$/GJ","Baseline","Argentina","biomass",2025,1.87532
"96","1975$/GJ","Baseline","Argentina","biomass",2030,2.79082
"97","1975$/GJ","Baseline","Argentina","biomass",2035,3.75415
"98","1975$/GJ","Baseline","Argentina","biomass",2040,4.7676
"99","1975$/GJ","Baseline","Argentina","biomass",2045,5.72996
"100","1975$/GJ","Baseline","Argentina","biomass",2050,6.83823
"101","1975$/GJ","Baseline","Argentina","biomass",2055,7.26808
"102","1975$/GJ","Baseline","Argentina","biomass",2060,7.79887
"103","1975$/GJ","Baseline","Argentina","biomass",2065,8.30672
"104","1975$/GJ","Baseline","Argentina","biomass",2070,8.73716
"105","1975$/GJ","Baseline","Argentina","biomass",2075,9.00031
"106","1975$/GJ","Baseline","Argentina","biomass",2080,9.32021
"107","1975$/GJ","Baseline","Argentina","biomass",2085,9.0307
"108","1975$/GJ","Baseline","Argentina","biomass",2090,8.8273
"109","1975$/GJ","Baseline","Argentina","biomass",2095,8.70557
"110","1975$/GJ","Baseline","Argentina","biomass",2100,8.61869
"111","1975$/GJ","Baseline","Australia_NZ","biomass",1975,1
"112","1975$/GJ","Baseline","Australia_NZ","biomass",1990,1.48389
"113","1975$/GJ","Baseline","Australia_NZ","biomass",2005,1.50983
"114","1975$/GJ","Baseline","Australia_NZ","biomass",2010,1.48634
"115","1975$/GJ","Baseline","Australia_NZ","biomass",2015,1.42489
"116","1975$/GJ","Baseline","Australia_NZ","biomass",2020,1.70125
"117","1975$/GJ","Baseline","Australia_NZ","biomass",2025,2.14883
"118","1975$/GJ","Baseline","Australia_NZ","biomass",2030,3.12207
"119","1975$/GJ","Baseline","Australia_NZ","biomass",2035,4.21771
"120","1975$/GJ","Baseline","Australia_NZ","biomass",2040,5.39805
"121","1975$/GJ","Baseline","Australia_NZ","biomass",2045,6.43492
"122","1975$/GJ","Baseline","Australia_NZ","biomass",2050,7.61594
"123","1975$/GJ","Baseline","Australia_NZ","biomass",2055,8.08711
"124","1975$/GJ","Baseline","Australia_NZ","biomass",2060,8.69957
"125","1975$/GJ","Baseline","Australia_NZ","biomass",2065,9.26981
"126","1975$/GJ","Baseline","Australia_NZ","biomass",2070,9.72884
"127","1975$/GJ","Baseline","Australia_NZ","biomass",2075,10.0026
"128","1975$/GJ","Baseline","Australia_NZ","biomass",2080,10.3595
"129","1975$/GJ","Baseline","Australia_NZ","biomass",2085,10.0042
"130","1975$/GJ","Baseline","Australia_NZ","biomass",2090,9.78133
"131","1975$/GJ","Baseline","Australia_NZ","biomass",2095,9.65658
"132","1975$/GJ","Baseline","Australia_NZ","biomass",2100,9.56176
"133","1975$/GJ","Baseline","Brazil","biomass",1975,1
"134","1975$/GJ","Baseline","Brazil","biomass",1990,1.58053
"135","1975$/GJ","Baseline","Brazil","biomass",2005,1.4717
"136","1975$/GJ","Baseline","Brazil","biomass",2010,1.48618
"137","1975$/GJ","Baseline","Brazil","biomass",2015,1.44474
"138","1975$/GJ","Baseline","Brazil","biomass",2020,1.55276
"139","1975$/GJ","Baseline","Brazil","biomass",2025,2.00834
"140","1975$/GJ","Baseline","Brazil","biomass",2030,2.90095
"141","1975$/GJ","Baseline","Brazil","biomass",2035,3.8482
"142","1975$/GJ","Baseline","Brazil","biomass",2040,4.89639
"143","1975$/GJ","Baseline","Brazil","biomass",2045,5.91249
"144","1975$/GJ","Baseline","Brazil","biomass",2050,7.07621
"145","1975$/GJ","Baseline","Brazil","biomass",2055,7.46391
"146","1975$/GJ","Baseline","Brazil","biomass",2060,7.98266
"147","1975$/GJ","Baseline","Brazil","biomass",2065,8.47929
"148","1975$/GJ","Baseline","Brazil","biomass",2070,8.88546
"149","1975$/GJ","Baseline","Brazil","biomass",2075,9.15293
"150","1975$/GJ","Baseline","Brazil","biomass",2080,9.53884
"151","1975$/GJ","Baseline","Brazil","biomass",2085,9.26967
"152","1975$/GJ","Baseline","Brazil","biomass",2090,9.06612
"153","1975$/GJ","Baseline","Brazil","biomass",2095,8.93377
"154","1975$/GJ","Baseline","Brazil","biomass",2100,8.83438
