"","Units","scenario","year","market","value"
"1","1990$/tC","Baseline",1975,"Africa_EasternCO2",0
"2","1990$/tC","Baseline",1975,"Africa_EasternCO2_LUC",0
"3","1990$/tC","Baseline",1975,"Africa_NorthernCO2",0
"4","1990$/tC","Baseline",1975,"Africa_NorthernCO2_LUC",0
"5","1990$/tC","Baseline",1975,"Africa_SouthernCO2",0
"6","1990$/tC","Baseline",1975,"Africa_SouthernCO2_LUC",0
"7","1990$/tC","Baseline",1975,"Africa_WesternCO2",0
"8","1990$/tC","Baseline",1975,"Africa_WesternCO2_LUC",0
"9","1990$/tC","Baseline",1975,"ArgentinaCO2",0
"10","1990$/tC","Baseline",1975,"ArgentinaCO2_LUC",0
"11","1990$/tC","Baseline",1975,"Australia_NZCO2",0
"12","1990$/tC","Baseline",1975,"Australia_NZCO2_LUC",0
"13","1990$/tC","Baseline",1975,"BrazilCO2",0
"14","1990$/tC","Baseline",1975,"BrazilCO2_LUC",0
"15","1990$/tC","Baseline",1975,"CanadaCO2",0
"16","1990$/tC","Baseline",1975,"CanadaCO2_LUC",0
"17","1990$/tC","Baseline",1975,"Central America and CaribbeanCO2",0
"18","1990$/tC","Baseline",1975,"Central America and CaribbeanCO2_LUC",0
"19","1990$/tC","Baseline",1975,"Central AsiaCO2",0
"20","1990$/tC","Baseline",1975,"Central AsiaCO2_LUC",0
"21","1990$/tC","Baseline",1975,"ChinaCO2",0
"22","1990$/tC","Baseline",1975,"ChinaCO2_LUC",0
"23","1990$/tC","Baseline",1975,"ColombiaCO2",0
"24","1990$/tC","Baseline",1975,"ColombiaCO2_LUC",0
"25","1990$/tC","Baseline",1975,"EU-12CO2",0
"26","1990$/tC","Baseline",1975,"EU-15CO2",0
"27","1990$/tC","Baseline",1975,"EUCO2_LUC",0
"28","1990$/tC","Baseline",1975,"Europe_EasternCO2",0
"29","1990$/tC","Baseline",1975,"Europe_EasternCO2_LUC",0
"30","1990$/tC","Baseline",1975,"Europe_Non_EUCO2",0
"31","1990$/tC","Baseline",1975,"Europe_Non_EUCO2_LUC",0
"32","1990$/tC","Baseline",1975,"European Free Trade AssociationCO2",0
"33","1990$/tC","Baseline",1975,"European Free Trade AssociationCO2_LUC",0
"34","1990$/tC","Baseline",1975,"IndiaCO2",0
"35","1990$/tC","Baseline",1975,"IndiaCO2_LUC",0
"36","1990$/tC","Baseline",1975,"IndonesiaCO2",0
"37","1990$/tC","Baseline",1975,"IndonesiaCO2_LUC",0
"38","1990$/tC","Baseline",1975,"JapanCO2",0
"39","1990$/tC","Baseline",1975,"JapanCO2_LUC",0
"40","1990$/tC","Baseline",1975,"MexicoCO2",0
"41","1990$/tC","Baseline",1975,"MexicoCO2_LUC",0
"42","1990$/tC","Baseline",1975,"Middle EastCO2",0
"43","1990$/tC","Baseline",1975,"Middle EastCO2_LUC",0
"44","1990$/tC","Baseline",1975,"PakistanCO2",0
"45","1990$/tC","Baseline",1975,"PakistanCO2_LUC",0
"46","1990$/tC","Baseline",1975,"RussiaCO2",0
"47","1990$/tC","Baseline",1975,"RussiaCO2_LUC",0
"48","1990$/tC","Baseline",1975,"South AfricaCO2",0
"49","1990$/tC","Baseline",1975,"South AfricaCO2_LUC",0
"50","1990$/tC","Baseline",1975,"South America_NorthernCO2",0
"51","1990$/tC","Baseline",1975,"South America_NorthernCO2_LUC",0
"52","1990$/tC","Baseline",1975,"South America_SouthernCO2",0
"53","1990$/tC","Baseline",1975,"South America_SouthernCO2_LUC",0
"54","1990$/tC","Baseline",1975,"South AsiaCO2",0
"55","1990$/tC","Baseline",1975,"South AsiaCO2_LUC",0
"56","1990$/tC","Baseline",1975,"South KoreaCO2",0
"57","1990$/tC","Baseline",1975,"South KoreaCO2_LUC",0
"58","1990$/tC","Baseline",1975,"Southeast AsiaCO2",0
"59","1990$/tC","Baseline",1975,"Southeast AsiaCO2_LUC",0
"60","1990$/tC","Baseline",1975,"TaiwanCO2",0
"61","1990$/tC","Baseline",1975,"USACO2",0
"62","1990$/tC","Baseline",1975,"USACO2_LUC",0
"63","1990$/tC","Baseline",1990,"Africa_EasternCO2",0
"64","1990$/tC","Baseline",1990,"Africa_EasternCO2_LUC",0
"65","1990$/tC","Baseline",1990,"Africa_NorthernCO2",0
"66","1990$/tC","Baseline",1990,"Africa_NorthernCO2_LUC",0
"67","1990$/tC","Baseline",1990,"Africa_SouthernCO2",0
"68","1990$/tC","Baseline",1990,"Africa_SouthernCO2_LUC",0
"69","1990$/tC","Baseline",1990,"Africa_WesternCO2",0
"70","1990$/tC","Baseline",1990,"Africa_WesternCO2_LUC",0
"71","1990$/tC","Baseline",1990,"ArgentinaCO2",0
"72","1990$/tC","Baseline",1990,"ArgentinaCO2_LUC",0
"73","1990$/tC","Baseline",1990,"Australia_NZCO2",0
"74","1990$/tC","Baseline",1990,"Australia_NZCO2_LUC",0
"75","1990$/tC","Baseline",1990,"BrazilCO2",0
"76","1990$/tC","Baseline",1990,"BrazilCO2_LUC",0
"77","1990$/tC","Baseline",1990,"CanadaCO2",0
"78","1990$/tC","Baseline",1990,"CanadaCO2_LUC",0
"79","1990$/tC","Baseline",1990,"Central America and CaribbeanCO2",0
"80","1990$/tC","Baseline",1990,"Central America and CaribbeanCO2_LUC",0
"81","1990$/tC","Baseline",1990,"Central AsiaCO2",0
"82","1990$/tC","Baseline",1990,"Central AsiaCO2_LUC",0
"83","1990$/tC","Baseline",1990,"ChinaCO2",0
"84","1990$/tC","Baseline",1990,"ChinaCO2_LUC",0
"85","1990$/tC","Baseline",1990,"ColombiaCO2",0
"86","1990$/tC","Baseline",1990,"ColombiaCO2_LUC",0
"87","1990$/tC","Baseline",1990,"EU-12CO2",0
"88","1990$/tC","Baseline",1990,"EU-15CO2",0
"89","1990$/tC","Baseline",1990,"EUCO2_LUC",0
