Units,scenario,region,fuel,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
EJ,30percnz,Africa_Eastern,d biomass,1.2989909399405,5.237154709443599,6.0023908123473,6.4158557541705,6.7888601380059,7.19787496398,7.6128600222354,8.13840172267707,8.708857828591096,9.31323237536297,9.9128565164,10.392224482200001,10.91193292385,11.6257021226,12.4580013966,13.309085334,14.123403095799999
EJ,30percnz,Africa_Northern,d biomass,0.213937134,3.3872689379999996,4.841144474,5.8778817100000005,6.903469638000001,8.064928556,7.8808096171,7.959442339300001,8.12540415365,8.384103853500001,8.9633835147,9.19050331443,9.18787747857,9.25112698283,9.339358814199999,9.41707985609,9.46482647959
EJ,30percnz,Africa_Southern,d biomass,0.8104500099999999,4.5839283814,4.446478996,4.292546963,4.74957046,5.0696516989000004,5.2466506515999995,5.4939896999,5.7986141268,6.1154337322000005,6.3616789694,6.672025626,6.8072193751,7.00873700076,7.25263803227,7.455519063110001,7.703747138580001
EJ,30percnz,Africa_Western,d biomass,2.6507585199999997,11.807338940000001,12.90120767,14.69942827,16.026083063,17.345008854,18.433701970999998,19.982356833,21.582296465000002,22.907047959,23.668999540399998,24.366714978,24.818388361820002,25.24429808438,26.18923133998,27.04426204123,27.92216334435
EJ,30percnz,Argentina,d biomass,0.137002196,0.37513146599999997,0.774702734,1.17600917,1.603917385,1.5498098109999998,1.4911159894000001,1.4543056745,1.40530269061,1.342017658,1.2420762749999998,1.141407013,1.070782873,1.045627614,1.035882353,1.0363748529,1.0305494089
EJ,30percnz,Australia_NZ,d biomass,0.36509505999999997,0.52203489,0.9808782800000001,1.89860656,2.90128927,2.77133689,2.738364635,2.726136243,2.6831533260000002,2.6217557446,2.568963974,2.570855335,2.5817391290000002,2.616309803,2.648018538,2.6691821990999998,2.6729684482
EJ,30percnz,Brazil,d biomass,3.2243235,3.9629327,4.4624072,4.1827119,3.82684434,3.1387067699999998,2.15265403,1.72780721,1.45475417,1.31448648,1.20576958,1.1563036740000001,1.199558014,1.2290282407000002,1.2488838447,1.2765039261000002,1.30830402
EJ,30percnz,Canada,d biomass,1.0769416,1.9198421,2.6456708,3.3828777399999996,4.24630247,3.99286135,3.79578724,3.646178274,3.507225458,3.371743815,3.224277109,3.100752435,3.040023476,3.0469791699999997,3.074822599,3.0964843555000003,3.0945325522
EJ,30percnz,Central America and Caribbean,d biomass,0.33903301999999996,1.72818662,2.292229265,2.7460544970000003,3.246035975,3.7981377629999997,3.864507075,3.887336286,3.9362067836,3.9626357292,3.9330715,3.88350178,3.8588825,3.7806889100000003,3.82642022,3.86860645,3.91334887
EJ,30percnz,Central Asia,d biomass,0.04043174,1.460673843,2.730020975,3.8178216679,4.8222440763,5.962608957,5.8422686898,5.8464319413600006,5.8090852842,5.760134726,5.6588335680999995,5.6698249483,5.7301561796,5.7206716786000005,5.7180084650000005,5.7209852020000005,5.712095974
