Units,scenario,region,sector,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1975$/kg,30percnz,Africa_Eastern,Beef,1.97939,2.62202,3.30189,4.58834,6.29932,8.08687,10.0441,11.6407,13.3769,15.196,16.9343,18.3637,19.8775,19.9655,19.9804,20.0401,20.1172
1975$/kg,30percnz,Africa_Northern,Beef,1.72569,1.76758,1.80679,1.87938,1.99574,2.1227,2.26888,2.38898,2.52523,2.67164,2.81785,2.93775,3.06615,3.06434,3.05934,3.05816,3.05723
1975$/kg,30percnz,Africa_Southern,Beef,1.37764,1.86992,2.22661,3.05504,3.74184,4.76622,6.30624,7.61743,8.90077,10.2318,11.7042,12.9363,14.3137,14.6151,14.7831,14.989,15.1045
1975$/kg,30percnz,Africa_Western,Beef,2.3888,3.15211,3.82771,4.68398,6.51448,8.59888,10.881,12.5412,14.2061,16.0915,18.0011,19.6036,21.4156,21.7493,21.7783,21.885,21.9841
1975$/kg,30percnz,Argentina,Beef,1.34442,1.45426,1.55587,1.71859,1.97605,2.24198,2.5581,2.81059,3.10079,3.41611,3.71805,3.96411,4.21903,4.19767,4.17588,4.16912,4.1666
1975$/kg,30percnz,Australia_NZ,Beef,0.799333,0.856302,0.90599,0.992437,1.13237,1.27743,1.43962,1.58016,1.75063,1.93283,2.10404,2.24266,2.38876,2.38354,2.38375,2.39385,2.40463
1975$/kg,30percnz,Brazil,Beef,0.646485,0.712157,0.777111,0.902,1.09598,1.26807,1.49139,1.65381,1.83471,2.02431,2.19815,2.34054,2.50037,2.47297,2.44127,2.41479,2.38789
1975$/kg,30percnz,Canada,Beef,1.03654,1.11907,1.18502,1.3083,1.51096,1.71989,1.97301,2.17087,2.3995,2.64355,2.88034,3.07755,3.29265,3.29373,3.29047,3.29544,3.30183
1975$/kg,30percnz,Central America and Caribbean,Beef,1.10622,1.21907,1.31541,1.44646,1.64818,1.87529,2.15035,2.35023,2.57702,2.82263,3.05907,3.26065,3.48203,3.50513,3.52141,3.53777,3.5494
1975$/kg,30percnz,Central Asia,Beef,0.92768,0.956056,0.981912,1.02101,1.07409,1.13125,1.20004,1.25696,1.32586,1.40441,1.48142,1.54633,1.61794,1.62128,1.6208,1.62158,1.62182
1975$/kg,30percnz,China,Beef,2.23015,2.44435,2.62428,2.87405,3.27365,3.70408,4.18413,4.40948,4.63757,4.86285,5.05396,5.17292,5.29792,5.1199,4.92754,4.74646,4.59022
1975$/kg,30percnz,Colombia,Beef,0.896456,0.961724,1.02601,1.11789,1.24495,1.39278,1.58485,1.72661,1.89287,2.0713,2.24141,2.3974,2.54649,2.54038,2.53095,2.52088,2.50534
1975$/kg,30percnz,EU-12,Beef,0.811465,0.89015,0.945938,1.04958,1.22043,1.39058,1.58771,1.73959,1.91573,2.10121,2.27904,2.42121,2.57635,2.56628,2.55387,2.54856,2.54715
1975$/kg,30percnz,EU-15,Beef,1.16895,1.2621,1.31391,1.40898,1.57855,1.75294,1.96246,2.1347,2.33502,2.5485,2.75483,2.92435,3.10922,3.10867,3.10299,3.10341,3.10602
1975$/kg,30percnz,Europe_Eastern,Beef,0.764623,0.86149,0.935213,1.04958,1.22374,1.39962,1.60055,1.73256,1.88502,2.04293,2.19044,2.3084,2.43862,2.4309,2.4183500000000002,2.40944,2.39963
1975$/kg,30percnz,Europe_Non_EU,Beef,2.04456,2.15878,2.25961,2.43826,2.75779,3.13364,3.59836,3.94199,4.27439,4.61152,4.92708,5.18195,5.47812,5.45025,5.41709,5.38683,5.34966
1975$/kg,30percnz,European Free Trade Association,Beef,2.39256,2.56372,2.62808,2.76607,3.07121,3.40051,3.76091,4.03043,4.3394,4.65247,4.95095,5.21208,5.48242,5.47077,5.43914,5.4255,5.41953
1975$/kg,30percnz,India,Beef,2.17048,2.59293,3.02436,3.65682,4.60506,5.69928,6.97729,7.9442,9.11487,10.4925,11.7948,12.8889,14.0261,14.0181,13.9088,13.8085,13.6767
1975$/kg,30percnz,Indonesia,Beef,1.20895,1.34781,1.47616,1.65634,1.91186,2.15546,2.40854,2.57651,2.77195,3.04662,3.32634,3.57629,3.85984,3.89111,3.90691,3.91701,3.91579
1975$/kg,30percnz,Japan,Beef,5.19878,5.2846,5.34325,5.45604,5.64712,5.82217,6.04526,6.21358,6.40844,6.61634,6.81553,6.98392,7.16808,7.15503,7.13812,7.12923,7.1229
1975$/kg,30percnz,Mexico,Beef,1.02885,1.09815,1.15677,1.23451,1.37258,1.54958,1.76653,1.92882,2.11681,2.31987,2.5077,2.66558,2.84192,2.85914,2.86532,2.87272,2.87966
1975$/kg,30percnz,Middle East,Beef,2.11895,2.20431,2.28086,2.40291,2.58728,2.77044,3.00696,3.21285,3.47193,3.75623,4.01588,4.22251,4.45415,4.46319,4.46325,4.46955,4.47367
1975$/kg,30percnz,Pakistan,Beef,0.573821,0.606305,0.637006,0.673529,0.722077,0.793697,0.921261,1.0545,1.17943,1.30893,1.43286,1.54153,1.65644,1.68801,1.70688,1.72322,1.73348
1975$/kg,30percnz,Russia,Beef,1.01488,1.06771,1.11939,1.23733,1.44065,1.66267,1.91538,2.09523,2.28792,2.47226,2.64828,2.78847,2.95557,2.9401,2.91941,2.90188,2.88366
1975$/kg,30percnz,South Africa,Beef,0.775755,0.811123,0.850644,0.927177,1.08271,1.29642,1.52645,1.63398,1.79285,1.98433,2.17595,2.34889,2.54235,2.53887,2.52294,2.50178,2.48501
1975$/kg,30percnz,South America_Northern,Beef,3.1803,3.34052,3.52413,3.80113,4.18956,4.6239,5.15572,5.61859,6.15966,6.77126,7.28643,7.78114,8.33653,8.40998,8.42876,8.43396,8.42877
