Units,scenario,region,sector,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1975$/kg,30percnz,South America_Southern,Beef,1.36807,1.48378,1.58019,1.7405,1.99569,2.25164,2.584,2.85219,3.15226,3.46417,3.76947,4.02534,4.29864,4.32399,4.30019,4.29544,4.30139
1975$/kg,30percnz,South Asia,Beef,1.45895,1.65351,1.84108,2.11537,2.49194,2.89038,3.35054,3.76531,4.31397,5.12192,5.9423,6.67535,7.45906,7.63298,7.73748,7.82246,7.86746
1975$/kg,30percnz,South Korea,Beef,6.19334,6.53898,6.79467,7.2727,8.14133,9.14089,10.3908,11.0348,11.8025,12.6116,13.3855,14.1012,14.8862,14.6895,14.4471,14.2336,14.0555
1975$/kg,30percnz,Southeast Asia,Beef,1.34124,1.49542,1.62537,1.8247,2.09839,2.36651,2.66094,2.86876,3.11483,3.43161,3.75371,4.0421,4.36196,4.40032,4.41836,4.43366,4.44242
1975$/kg,30percnz,Taiwan,Beef,2.12402,2.22433,2.33833,2.59396,3.0108,3.43722,3.93465,4.26583,4.61888,5.02586,5.44621,5.82224,6.23543,6.25774,6.24193,6.21443,6.19963
1975$/kg,30percnz,USA,Beef,1.07617,1.12693,1.16865,1.244,1.37857,1.53413,1.72786,1.86313,2.02003,2.18946,2.35397,2.49374,2.64953,2.65634,2.6564,2.65803,2.66113
1975$/kg,allansce1nz,Africa_Eastern,Beef,1.97143,2.59927,3.25612,4.5226,6.21532,7.98335,9.91086,11.4814,13.1547,14.9218,16.6246,18.0263,19.5281,19.6356,19.6508,19.713,19.7902
1975$/kg,allansce1nz,Africa_Northern,Beef,1.72559,1.76725,1.80599,1.87769,1.99225,2.11659,2.25906,2.3767,2.50904,2.65085,2.79385,2.91121,3.03837,3.03817,3.03346,3.0327,3.03188
1975$/kg,allansce1nz,Africa_Southern,Beef,1.37738,1.86985,2.22557,3.05373,3.73493,4.74985,6.28672,7.59668,8.85437,10.1554,11.6054,12.815,14.1784,14.4917,14.6559,14.8589,14.9675
1975$/kg,allansce1nz,Africa_Western,Beef,2.38608,3.13572,3.79937,4.64268,6.45598,8.52303,10.7787,12.4119,13.9962,15.8162,17.6736,19.2314,21.0126,21.3635,21.3911,21.4967,21.5909
1975$/kg,allansce1nz,Argentina,Beef,1.34288,1.44872,1.54617,1.70256,1.94973,2.20362,2.50434,2.74752,3.02491,3.32807,3.62121,3.86028,4.10988,4.0923,4.07252,4.06791,4.06706
1975$/kg,allansce1nz,Australia_NZ,Beef,0.799441,0.856963,0.907072,0.994342,1.13529,1.28089,1.4434,1.58447,1.75397,1.93512,2.10652,2.24592,2.39408,2.39133,2.39229,2.4029,2.41363
1975$/kg,allansce1nz,Brazil,Beef,0.646447,0.70964,0.771755,0.891008,1.07836,1.24418,1.45993,1.6175,1.7913,1.97442,2.14378,2.28333,2.44188,2.41674,2.38594,2.36062,2.3348
1975$/kg,allansce1nz,Canada,Beef,1.03777,1.12232,1.18937,1.31101,1.50869,1.71168,1.95687,2.14824,2.36757,2.60162,2.83069,3.02265,3.23442,3.24001,3.23832,3.24399,3.25008
1975$/kg,allansce1nz,Central America and Caribbean,Beef,1.10709,1.22377,1.32281,1.45631,1.65936,1.8861,2.15967,2.35861,2.58082,2.82294,3.05828,3.25995,3.48411,3.51031,3.52805,3.5455,3.55759
1975$/kg,allansce1nz,Central Asia,Beef,0.927257,0.954514,0.978916,1.01558,1.06434,1.11601,1.17881,1.23162,1.29529,1.36888,1.44219,1.50464,1.57442,1.57896,1.57904,1.5803,1.58091
1975$/kg,allansce1nz,China,Beef,2.22241,2.42017,2.58519,2.81562,3.18701,3.59056,4.04379,4.25725,4.46737,4.67827,4.86297,4.98233,5.10994,4.95004,4.77202,4.60364,4.45921
1975$/kg,allansce1nz,Colombia,Beef,0.896244,0.960582,1.0233,1.11175,1.23166,1.36934,1.54748,1.68125,1.83504,2.00079,2.15965,2.30382,2.44433,2.44245,2.43522,2.42695,2.41311
1975$/kg,allansce1nz,EU-12,Beef,0.811333,0.890256,0.945709,1.04839,1.21693,1.38355,1.57542,1.72424,1.89575,2.07597,2.25055,2.39041,2.54483,2.53695,2.52499,2.52031,2.51896
1975$/kg,allansce1nz,EU-15,Beef,1.16892,1.26355,1.31531,1.4094,1.57652,1.7471,1.95134,2.1202,2.31521,2.52283,2.72569,2.89284,3.07725,3.07914,3.07383,3.07482,3.07733
1975$/kg,allansce1nz,Europe_Eastern,Beef,0.763169,0.856443,0.927151,1.03848,1.2095,1.38212,1.57877,1.70916,1.85833,2.01267,2.15868,2.27551,2.40632,2.40055,2.38818,2.37945,2.36959
1975$/kg,allansce1nz,Europe_Non_EU,Beef,2.04286,2.15147,2.24709,2.41876,2.72829,3.09346,3.54671,3.88589,4.2087,4.53644,4.84625,5.09803,5.39443,5.37088,5.33925,5.31024,5.27367
1975$/kg,allansce1nz,European Free Trade Association,Beef,2.39199,2.56003,2.62132,2.75392,3.05315,3.37552,3.72643,3.9895,4.28976,4.5924,4.8841,5.13967,5.40759,5.39928,5.36767,5.35485,5.34954
1975$/kg,allansce1nz,India,Beef,2.16796,2.58077,2.99711,3.60241,4.50875,5.55308,6.77219,7.69253,8.76811,10.0753,11.3205,12.3725,13.4746,13.4805,13.3767,13.2829,13.1575
1975$/kg,allansce1nz,Indonesia,Beef,1.20715,1.34335,1.46912,1.64604,1.89734,2.1362,2.38506,2.55026,2.72816,2.99088,3.26092,3.50196,3.77887,3.81338,3.8296,3.83988,3.8384
1975$/kg,allansce1nz,Japan,Beef,5.19849,5.2865,5.34624,5.45929,5.64965,5.81948,6.03522,6.19745,6.38696,6.58859,6.7844,6.94982,7.13186,7.12073,7.10391,7.09559,7.08922
1975$/kg,allansce1nz,Mexico,Beef,1.0283,1.09577,1.15207,1.22455,1.35247,1.51803,1.72053,1.87309,2.05013,2.23904,2.41736,2.56911,2.73675,2.75653,2.76459,2.77178,2.77925
1975$/kg,allansce1nz,Middle East,Beef,2.11868,2.20063,2.27373,2.39061,2.56706,2.74145,2.96679,3.16647,3.41637,3.68918,3.93879,4.13892,4.36615,4.37828,4.37913,4.38644,4.39104
1975$/kg,allansce1nz,Pakistan,Beef,0.573421,0.604727,0.633972,0.668145,0.71282,0.779066,0.897491,1.02191,1.13638,1.25469,1.3674,1.46659,1.5739,1.60392,1.62129,1.63654,1.64616
1975$/kg,allansce1nz,Russia,Beef,1.01471,1.0668,1.11776,1.23426,1.43441,1.65247,1.90009,2.07775,2.26664,2.44601,2.61956,2.75828,2.92563,2.91262,2.89284,2.87618,2.85861
1975$/kg,allansce1nz,South Africa,Beef,0.775516,0.810423,0.849389,0.925532,1.08083,1.29325,1.52048,1.62598,1.78023,1.96771,2.1565,2.3273,2.51973,2.51804,2.50247,2.48174,2.4653
1975$/kg,allansce1nz,South America_Northern,Beef,3.15838,3.32548,3.52528,3.82374,4.23468,4.691,5.24716,5.73414,6.2961,6.93319,7.48753,8.01527,8.59583,8.68216,8.71047,8.72549,8.72724
1975$/kg,allansce1nz,South America_Southern,Beef,1.36771,1.48237,1.57763,1.73523,1.98482,2.23424,2.55722,2.81792,3.10689,3.40803,3.70509,3.95491,4.22418,4.25229,4.23071,4.22753,4.23361
1975$/kg,allansce1nz,South Asia,Beef,1.45638,1.6483,1.83286,2.10405,2.47413,2.8641,3.31431,3.72058,4.21497,4.99317,5.78641,6.50015,7.26697,7.44734,7.55165,7.63676,7.67997
1975$/kg,allansce1nz,South Korea,Beef,6.192,6.52819,6.77622,7.23947,8.07192,9.02109,10.2127,10.8253,11.5488,12.3179,13.0675,13.769,14.5443,14.3685,14.1363,13.9322,13.7624
1975$/kg,allansce1nz,Southeast Asia,Beef,1.34076,1.49412,1.62226,1.819,2.08864,2.35117,2.63934,2.84297,3.07133,3.37527,3.68735,3.96699,4.28065,4.32368,4.34273,4.35893,4.36796
1975$/kg,allansce1nz,Taiwan,Beef,2.12364,2.2225,2.33419,2.58531,2.99554,3.41528,3.90375,4.22833,4.56942,4.96372,5.37475,5.7441700000000004,6.15274,6.18058,6.16621,6.14026,6.1261
1975$/kg,allansce1nz,USA,Beef,1.07557,1.12445,1.16439,1.23656,1.36528,1.51374,1.69858,1.82855,1.97839,2.1407,2.30076,2.43725,2.59088,2.60002,2.60056,2.60287,2.60625
1975$/kg,allansce2nz,Africa_Eastern,Beef,1.97123,2.59776,3.25443,4.51837,6.2061,7.9645,9.87751,11.4414,13.1016,14.8587,16.5541,17.9531,19.4506,19.5609,19.577,19.6412,19.7208
1975$/kg,allansce2nz,Africa_Northern,Beef,1.7255,1.76682,1.80521,1.87664,1.9906,2.11396,2.25497,2.37207,2.50356,2.64461,2.78703,2.9041,3.03088,3.03089,3.02628,3.02564,3.02496
1975$/kg,allansce2nz,Africa_Southern,Beef,1.37727,1.86889,2.22483,3.05145,3.72943,4.73715,6.26574,7.57,8.81914,10.1117,11.5538,12.759,14.1164,14.432,14.5969,14.8006,14.9104
1975$/kg,allansce2nz,Africa_Western,Beef,2.38564,3.13345,3.79671,4.6377,6.44495,8.50441,10.7485,12.3764,13.9463,15.7551,17.6023,19.1545,20.9291,21.2827,21.3104,21.4169,21.5117
1975$/kg,allansce2nz,Argentina,Beef,1.34282,1.44825,1.54518,1.70131,1.9473800000000001,2.19939,2.49714,2.73918,3.01472,3.31637,3.6084,3.84703,4.09594,4.07898,4.05974,4.05555,4.05499
1975$/kg,allansce2nz,Australia_NZ,Beef,0.799377,0.856616,0.906417,0.993526,1.1339,1.27849,1.43952,1.57995,1.74856,1.92886,2.09965,2.23887,2.38674,2.38421,2.38535,2.39613,2.40701
1975$/kg,allansce2nz,Brazil,Beef,0.645832,0.709759,0.772554,0.893592,1.08174,1.24657,1.46095,1.61835,1.79148,1.97417,2.14337,2.28353,2.442,2.41703,2.38626,2.36106,2.33539
1975$/kg,allansce2nz,Canada,Beef,1.03645,1.11845,1.18356,1.30584,1.50483,1.70744,1.9515,2.14479,2.36609,2.60232,2.83406,3.02829,3.24217,3.24705,3.245,3.25105,3.25795
1975$/kg,allansce2nz,Central America and Caribbean,Beef,1.10623,1.21946,1.3155,1.4458,1.6442,1.86574,2.13287,2.3285,2.5466,2.78436,3.01575,3.21452,3.43495,3.46131,3.47854,3.49569,3.50769
1975$/kg,allansce2nz,Central Asia,Beef,0.927232,0.95442,0.978739,1.01536,1.0639,1.11515,1.17722,1.22971,1.29286,1.36593,1.4389,1.50124,1.57084,1.57547,1.5756,1.5769,1.57757
1975$/kg,allansce2nz,China,Beef,2.2222,2.41949,2.5835,2.81368,3.18305,3.58345,4.03208,4.24439,4.45274,4.66218,4.84607,4.96583,5.09331,4.9346,4.75735,4.58981,4.44619
1975$/kg,allansce2nz,Colombia,Beef,0.895669,0.958699,1.01976,1.10494,1.21802,1.34605,1.51044,1.63487,1.77761,1.93193,2.08066,2.21641,2.34832,2.34717,2.34125,2.33464,2.32306
1975$/kg,allansce2nz,EU-12,Beef,0.811242,0.889781,0.944706,1.04725,1.21495,1.38021,1.56994,1.71803,1.88852,2.06781,2.24172,2.38143,2.53548,2.528,2.51625,2.51176,2.51058
1975$/kg,allansce2nz,EU-15,Beef,1.1688,1.26282,1.31383,1.4078,1.57393,1.74292,1.94471,2.11272,2.30651,2.51302,2.7151,2.88209,3.06607,3.06834,3.06324,3.06442,3.06713
1975$/kg,allansce2nz,Europe_Eastern,Beef,0.76308,0.855792,0.925745,1.03695,1.20707,1.3783,1.57298,1.7029,1.85127,2.00491,2.15043,2.26726,2.39787,2.39242,2.38022,2.37168,2.36204
1975$/kg,allansce2nz,Europe_Non_EU,Beef,2.04278,2.15092,2.24571,2.41702,2.72481,3.08728,3.53669,3.87473,4.19591,4.52209,4.83045,5.08205,5.37797,5.35511,5.32387,5.29528,5.2591
1975$/kg,allansce2nz,European Free Trade Association,Beef,2.39184,2.55903,2.61841,2.75158,3.04891,3.3686,3.71561,3.97773,4.27653,4.57779,4.86875,5.12436,5.39164,5.38386,5.35244,5.34005,5.33517
1975$/kg,allansce2nz,India,Beef,2.16768,2.57971,2.99498,3.59995,4.50292,5.54056,6.74906,7.66477,8.72768,10.0283,11.2682,12.3185,13.417,13.4276,13.3243,13.2319,13.1073
1975$/kg,allansce2nz,Indonesia,Beef,1.20607,1.34002,1.46383,1.63977,1.88989,2.12791,2.37609,2.54133,2.71658,2.97707,3.24519,3.4847,3.76012,3.79451,3.81043,3.82052,3.81901
1975$/kg,allansce2nz,Japan,Beef,5.19838,5.28602,5.34522,5.45819,5.64761,5.81577,6.02904,6.19035,6.37862,6.5791,6.77407,6.93929,7.1209,7.11011,7.09343,7.08527,7.079
1975$/kg,allansce2nz,Mexico,Beef,1.02803,1.0947,1.14996,1.22142,1.34715,1.51005,1.70904,1.85998,2.03491,2.22203,2.39893,2.54982,2.71617,2.73598,2.74405,2.75144,2.75903
1975$/kg,allansce2nz,Middle East,Beef,2.11853,2.20025,2.27311,2.38984,2.56552,2.73852,2.96166,3.16024,3.40842,3.67915,3.92802,4.12784,4.35462,4.36706,4.36821,4.37572,4.3806
1975$/kg,allansce2nz,Pakistan,Beef,0.573378,0.604624,0.633797,0.667907,0.712381,0.778163,0.895432,1.01929,1.13339,1.25099,1.36341,1.46232,1.56956,1.59973,1.6171,1.63238,1.64206
1975$/kg,allansce2nz,Russia,Beef,1.01465,1.06651,1.1171,1.23342,1.43266,1.6492,1.89462,2.07158,2.25952,2.43787,2.61075,2.74933,2.91644,2.90375,2.88422,2.86784,2.85058
1975$/kg,allansce2nz,South Africa,Beef,0.775494,0.810319,0.849167,0.925243,1.08007,1.29141,1.51707,1.62202,1.77503,1.96139,2.1493,2.31969,2.51162,2.51027,2.49486,2.47429,2.45812
1975$/kg,allansce2nz,South America_Northern,Beef,3.16699,3.33314,3.52528,3.81614,4.22117,4.67048,5.21753,5.69687,6.24887,6.87472,7.40958,7.92674,8.50509,8.58655,8.61037,8.62036,8.61844
1975$/kg,allansce2nz,South America_Southern,Beef,1.36743,1.48119,1.57562,1.73276,1.9813,2.22866,2.54878,2.80881,3.09648,3.39638,3.69276,3.94271,4.21178,4.24072,4.21917,4.21596,4.2224
1975$/kg,allansce2nz,South Asia,Beef,1.45624,1.64782,1.83204,2.10296,2.47188,2.85966,3.3064,3.71068,4.1945,4.9679,5.75589,6.46748,7.23057,7.41143,7.51594,7.60105,7.64435
1975$/kg,allansce2nz,South Korea,Beef,6.19068,6.52563,6.77155,7.23421,8.06164,9.00187,10.1801,10.7895,11.5076,12.2713,13.0175,13.7185,14.4913,14.3174,14.0868,13.8842,13.7164
1975$/kg,allansce2nz,Southeast Asia,Beef,1.34046,1.49325,1.62091,1.81747,2.08611,2.34707,2.6331,2.83608,3.06163,3.36331,3.67359,3.95214,4.26446,4.3079,4.32699,4.34335,4.35261
1975$/kg,allansce2nz,Taiwan,Beef,2.12343,2.22198,2.33311,2.58374,2.99227,3.4094,3.89386,4.21703,4.5558,4.94764,5.35672,5.72546,6.13267,6.16139,6.14727,6.12181,6.10815
1975$/kg,allansce2nz,USA,Beef,1.07549,1.12408,1.16362,1.23557,1.36344,1.51052,1.69329,1.82255,1.97131,2.13259,2.29192,2.42827,2.58155,2.59102,2.5917,2.59414,2.59768
1975$/kg,defaultnz,Africa_Eastern,Beef,1.96731,2.58026,3.22118,4.44691,6.06882,7.73615,9.51905,10.9958,12.5457,14.117,15.7069,17.0404,18.4475,18.5753,18.6048,18.6734,18.7599
1975$/kg,defaultnz,Africa_Northern,Beef,1.72482,1.76274,1.79826,1.86568,1.9729,2.08745,2.21597,2.32551,2.44779,2.57648,2.71003,2.82116,2.93972,2.9412,2.93816,2.93798,2.9378
1975$/kg,defaultnz,Africa_Southern,Beef,1.37467,1.8541,2.19852,2.98817,3.61419,4.52807,5.90699,7.06414,8.16795,9.29036,10.5669,11.6593,12.8743,13.1977,13.3815,13.5901,13.7151
1975$/kg,defaultnz,Africa_Western,Beef,2.38252,3.1117,3.76142,4.57117,6.30939,8.29173,10.4286,11.9841,13.453,15.036,16.7473,18.2008,19.8504,20.2154,20.2501,20.3576,20.4511
1975$/kg,defaultnz,Argentina,Beef,1.3412,1.4398,1.53027,1.67614,1.90229,2.13063,2.39589,2.61747,2.86857,3.1403,3.41127,3.63562,3.86555,3.8544,3.84157,3.84052,3.84204
1975$/kg,defaultnz,Australia_NZ,Beef,0.79824,0.850848,0.896529,0.976934,1.10502,1.23519,1.37717,1.50488,1.65905,1.82217,1.98008,2.11077,2.24765,2.24546,2.24802,2.2595,2.2708
1975$/kg,defaultnz,Brazil,Beef,0.645151,0.706952,0.767655,0.885203,1.06537,1.21691,1.41261,1.56002,1.72135,1.88711,2.04609,2.18307,2.33212,2.30916,2.28069,2.25722,2.23377
1975$/kg,defaultnz,Canada,Beef,1.03506,1.11051,1.16949,1.28349,1.46776,1.65222,1.87125,2.0497,2.25364,2.46804,2.68358,2.86703,3.06551,3.07281,3.07351,3.08094,3.08911
1975$/kg,defaultnz,Central America and Caribbean,Beef,1.10327,1.2037,1.28813,1.40226,1.57479,1.7671,1.99642,2.17009,2.3633,2.5683,2.77517,2.9564,3.15339,3.18105,3.19805,3.21456,3.22676
1975$/kg,defaultnz,Central Asia,Beef,0.927005,0.95306,0.976306,1.01117,1.05612,1.10218,1.1565,1.20343,1.25984,1.324,1.39093,1.44967,1.51443,1.5198,1.52073,1.52235,1.52336
1975$/kg,defaultnz,China,Beef,2.21489,2.39532,2.54352,2.7546,3.08912,3.4504,3.85026,4.04439,4.23273,4.4163,4.58913,4.71103,4.83468,4.69657,4.53735,4.38469,4.25447
1975$/kg,defaultnz,Colombia,Beef,0.895205,0.956069,1.01466,1.09528,1.19795,1.31094,1.45312,1.5646,1.6909,1.82453,1.95844,2.08159,2.1998,2.20224,2.19933,2.19486,2.18559
1975$/kg,defaultnz,EU-12,Beef,0.810063,0.881196,0.930958,1.02704,1.18234,1.33301,1.50217,1.63852,1.79532,1.95822,2.12045,2.2534,2.39699,2.39298,2.38447,2.38142,2.38119
1975$/kg,defaultnz,EU-15,Beef,1.1676,1.25097,1.29515,1.38075,1.53116,1.68232,1.85931,2.01285,2.18992,2.37641,2.56442,2.72305,2.89441,2.89982,2.89781,2.90033,2.90425
1975$/kg,defaultnz,Europe_Eastern,Beef,0.762216,0.849603,0.9146,1.0203,1.17962,1.33826,1.51565,1.63656,1.77442,1.91524,2.05237,2.16491,2.28822,2.28522,2.27552,2.26815,2.2597
1975$/kg,defaultnz,Europe_Non_EU,Beef,2.04061,2.139,2.22422,2.38257,2.66553,2.99862,3.41049,3.7302,4.03054,4.32842,4.61665,4.85904,5.14028,5.12337,5.09705,5.07132,5.03771
1975$/kg,defaultnz,European Free Trade Association,Beef,2.38995,2.53961,2.58666,2.70576,2.97024,3.25799,3.56581,3.80826,4.08551,4.36056,4.63476,4.88094,5.13053,5.12755,5.09891,5.08868,5.08695
1975$/kg,defaultnz,India,Beef,2.16522,2.56331,2.96446,3.54569,4.40017,5.37102,6.48204,7.33737,8.31264,9.43866,10.6006,11.6034,12.6311,12.668,12.5832,12.5046,12.3946
1975$/kg,defaultnz,Indonesia,Beef,1.20397,1.33089,1.44825,1.61555,1.85109,2.07543,2.30945,2.46812,2.63095,2.83947,3.08246,3.30065,3.55148,3.58502,3.60025,3.6098,3.60875
1975$/kg,defaultnz,Japan,Beef,5.19758,5.27662,5.32888,5.43294,5.60585,5.75841,5.94976,6.09748,6.26968,6.44998,6.6302,6.78751,6.9572,6.94902,6.93455,6.92676,6.92141
1975$/kg,defaultnz,Mexico,Beef,1.02633,1.08576,1.13303,1.19202,1.29517,1.43433,1.60237,1.73478,1.88681,2.04679,2.2026,2.33824,2.48692,2.50665,2.51408,2.52245,2.53063
1975$/kg,defaultnz,Middle East,Beef,2.11779,2.19468,2.26376,2.37471,2.53981,2.69911,2.90168,3.08565,3.31493,3.55906,3.79509,3.98599,4.20009,4.21497,4.21959,4.22809,4.23418
1975$/kg,defaultnz,Pakistan,Beef,0.573169,0.603457,0.631735,0.66435,0.705692,0.76615,0.871634,0.988966,1.09783,1.20394,1.31004,1.4032,1.50353,1.53455,1.55177,1.5666,1.57617
1975$/kg,defaultnz,Russia,Beef,1.01418,1.06259,1.11005,1.22172,1.4102,1.61304,1.84001,2.00765,2.18451,2.34832,2.51207,2.64606,2.80573,2.79585,2.77939,2.76496,2.75004
1975$/kg,defaultnz,South Africa,Beef,0.775036,0.80808,0.844877,0.917499,1.06306,1.25876,1.46431,1.55786,1.69497,1.85979,2.03151,2.19045,2.36847,2.36923,2.35556,2.336,2.32183
1975$/kg,defaultnz,South America_Northern,Beef,3.17977,3.33228,3.50903,3.77394,4.13605,4.53213,5.00523,5.42959,5.91528,6.45169,6.92684,7.38182,7.9091,7.98877,8.01395,8.02366,8.02465
1975$/kg,defaultnz,South America_Southern,Beef,1.36589,1.47181,1.56015,1.70829,1.93947,2.16481,2.45483,2.69591,2.96153,3.23325,3.50999,3.74818,4.00059,4.03322,4.01575,4.01427,4.02225
1975$/kg,defaultnz,South Asia,Beef,1.45388,1.63758,1.8149,2.07687,2.43081,2.7979,3.21249,3.59264,4.0287,4.6558,5.37399,6.03933,6.73892,6.91241,7.01624,7.09846,7.14128
1975$/kg,defaultnz,South Korea,Beef,6.18477,6.4907,6.71246,7.13877,7.88537,8.71764,9.75167,10.2974,10.9408,11.6145,12.3042,12.9747,13.6931,13.5454,13.3403,13.157,13.0093
1975$/kg,defaultnz,Southeast Asia,Beef,1.3377,1.48091,1.60068,1.78698,2.04076,2.28586,2.55165,2.74335,2.95517,3.20592,3.4895,3.74641,4.03223,4.07643,4.09567,4.11206,4.12236
1975$/kg,defaultnz,Taiwan,Beef,2.12239,2.21574,2.32142,2.56252,2.95254,3.34722,3.79828,4.10239,4.41857,4.77336,5.15688,5.51045,5.89323,5.9269,5.91726,5.89517,5.88474
1975$/kg,defaultnz,USA,Beef,1.07495,1.12024,1.15668,1.22401,1.3418,1.47574,1.63979,1.75856,1.89474,2.04057,2.18961,2.32057,2.46484,2.47669,2.47918,2.48214,2.48645
