Units,scenario,region,sector,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1975$/kg,30percnz,Africa_Eastern,Dairy,0.232202,0.277864,0.322504,0.400245,0.498682,0.596387,0.699912,0.781219,0.867414,0.955474,1.04056,1.11211,1.19029,1.19819,1.2019,1.2079,1.21911
1975$/kg,30percnz,Africa_Northern,Dairy,0.17464,0.180613,0.188109,0.199268,0.216958,0.235871,0.258554,0.276974,0.29842,0.323066,0.349423,0.372051,0.395328,0.397602,0.398389,0.399384,0.401322
1975$/kg,30percnz,Africa_Southern,Dairy,0.153703,0.191701,0.218169,0.279525,0.328288,0.400764,0.506589,0.594337,0.680349,0.773814,0.877616,0.966514,1.06631,1.08914,1.10307,1.11907,1.12913
1975$/kg,30percnz,Africa_Western,Dairy,0.320228,0.398715,0.466403,0.553077,0.739194,0.952377,1.1866,1.35559,1.51938,1.69328,1.8665,2.00941,2.17098,2.2004,2.20282,2.21231,2.22141
1975$/kg,30percnz,Argentina,Dairy,0.105404,0.109016,0.112156,0.117513,0.126306,0.135542,0.14665,0.155486,0.165677,0.176945,0.187854,0.196884,0.206434,0.205944,0.205353,0.205219,0.205172
1975$/kg,30percnz,Australia_NZ,Dairy,0.0926686,0.095167,0.0973171,0.101177,0.107559,0.11424,0.121742,0.128226,0.136102,0.1445,0.152342,0.158669,0.16536,0.165017,0.164922,0.165288,0.16569
1975$/kg,30percnz,Brazil,Dairy,0.0952654,0.0984283,0.101262,0.106335,0.114204,0.121425,0.130599,0.13734,0.144803,0.152628,0.15984400000000001,0.165767,0.172372,0.171429,0.170313,0.169402,0.168467
1975$/kg,30percnz,Canada,Dairy,0.165985,0.169233,0.171675,0.176597,0.184775,0.193364,0.20378,0.212078,0.221503,0.231369,0.240791,0.248568,0.257062,0.256982,0.256721,0.256788,0.256914
1975$/kg,30percnz,Central America and Caribbean,Dairy,0.141158,0.149724,0.15693,0.16713,0.182746,0.19971,0.219669,0.23408,0.250089,0.267034,0.283035,0.296445,0.311022,0.312236,0.312893,0.313629,0.314097
1975$/kg,30percnz,Central Asia,Dairy,0.106766,0.110555,0.113364,0.117908,0.124521,0.131197,0.139005,0.145361,0.152729,0.160977,0.169057,0.175852,0.183123,0.183682,0.183871,0.184041,0.184034
1975$/kg,30percnz,China,Dairy,0.203905,0.21237,0.219629,0.230176,0.247414,0.266051,0.287001,0.297579,0.308624,0.319707,0.32935,0.335948,0.343072,0.336175,0.328268,0.320798,0.314249
1975$/kg,30percnz,Colombia,Dairy,0.0877517,0.0904965,0.0929035,0.0964795,0.101614,0.107391,0.114717,0.120168,0.126485,0.133323,0.139868,0.145774,0.151597,0.15143,0.15117,0.150901,0.150445
1975$/kg,30percnz,EU-12,Dairy,0.104892,0.108057,0.110266,0.11453,0.121757,0.129054,0.137581,0.144271,0.1521,0.160395,0.168343,0.174687,0.181628,0.181166,0.180578,0.1803,0.180184
1975$/kg,30percnz,EU-15,Dairy,0.116075,0.119775,0.121946,0.126047,0.133206,0.140451,0.149131,0.156133,0.164288,0.172971,0.181338,0.188214,0.195747,0.195658,0.195353,0.195298,0.195321
1975$/kg,30percnz,Europe_Eastern,Dairy,0.0720342,0.075568,0.0782126,0.0826729,0.0898171,0.0972589,0.106021,0.11206,0.119023,0.126291,0.133109,0.138556,0.144577,0.144123,0.14352,0.143091,0.142633
1975$/kg,30percnz,Europe_Non_EU,Dairy,0.124223,0.135905,0.144256,0.156736,0.175309,0.194255,0.216887,0.234753,0.255413,0.278386,0.300499,0.319535,0.339855,0.340753,0.340261,0.339819,0.339073
1975$/kg,30percnz,European Free Trade Association,Dairy,0.184223,0.190087,0.192729,0.198144,0.209426,0.221413,0.23479,0.244799,0.256206,0.267744,0.278686,0.28805,0.297899,0.297418,0.296325,0.295815,0.295539
1975$/kg,30percnz,India,Dairy,0.0340336,0.0404933,0.0458611,0.0526449,0.0618062,0.0714298,0.0829653,0.0922867,0.10316,0.115771,0.127779,0.137905,0.1485,0.149319,0.148939,0.148508,0.147754
1975$/kg,30percnz,Indonesia,Dairy,0.117988,0.124952,0.131609,0.142021,0.159279,0.178077,0.200461,0.21579,0.232936,0.252593,0.271315,0.286858,0.304733,0.304098,0.302654,0.301258,0.299644
1975$/kg,30percnz,Japan,Dairy,0.234867,0.239371,0.242459,0.248364,0.258318,0.26754,0.279249,0.288108,0.298355,0.309305,0.319816,0.3287,0.338427,0.337799,0.336954,0.336515,0.336195
1975$/kg,30percnz,Mexico,Dairy,0.104239,0.106231,0.107708,0.110239,0.114772,0.120309,0.127316,0.13294,0.139213,0.145892,0.151999,0.157308,0.163184,0.163694,0.163904,0.164181,0.164377
1975$/kg,30percnz,Middle East,Dairy,0.19513,0.20232,0.206831,0.214401,0.226097,0.238199,0.255005,0.277236,0.330937,0.388924,0.428954,0.457595,0.488843,0.495174,0.495527,0.494826,0.494014
1975$/kg,30percnz,Pakistan,Dairy,0.0686906,0.072417,0.0754496,0.0797343,0.0856219,0.0931944,0.105906,0.11809,0.129038,0.140247,0.150827,0.159833,0.169339,0.170403,0.170663,0.170911,0.170864
1975$/kg,30percnz,Russia,Dairy,0.0980674,0.1007,0.103106,0.108742,0.118663,0.129707,0.14264,0.152021,0.162226,0.17211,0.181608,0.189185,0.198233,0.197385,0.196254,0.195298,0.194305
1975$/kg,30percnz,South Africa,Dairy,0.0946559,0.0964058,0.0982751,0.101981,0.109399,0.119261,0.129714,0.134425,0.141366,0.149566,0.157705,0.165037,0.173227,0.172956,0.172141,0.171085,0.170267
1975$/kg,30percnz,South America_Northern,Dairy,0.302917,0.308401,0.313982,0.322647,0.334985,0.348309,0.364437,0.378012,0.393508,0.410426,0.424812,0.438203,0.453114,0.454517,0.45472,0.454697,0.454444
1975$/kg,30percnz,South America_Southern,Dairy,0.107443,0.111255,0.114352,0.119638,0.128213,0.136942,0.148162,0.157171,0.167325,0.178163,0.188841,0.197875,0.207626,0.208426,0.207833,0.207767,0.207939
1975$/kg,30percnz,South Asia,Dairy,0.137647,0.145992,0.152719,0.161816,0.175744,0.189981,0.207868,0.225143,0.24724,0.272858,0.296291,0.315128,0.333646,0.337259,0.337459,0.337118,0.336115
1975$/kg,30percnz,South Korea,Dairy,0.560782,0.572323,0.580832,0.596608,0.62584,0.661196,0.706403,0.727866,0.753687,0.780452,0.805499,0.828209,0.853575,0.845118,0.835425,0.827024,0.820208
1975$/kg,30percnz,Southeast Asia,Dairy,0.124658,0.141599,0.156357,0.179695,0.213858,0.248661,0.288436,0.315872,0.346337,0.377004,0.404958,0.427801,0.452658,0.45176,0.449214,0.447122,0.445342
1975$/kg,30percnz,Taiwan,Dairy,0.199648,0.204687,0.20991,0.221711,0.241239,0.261279,0.284707,0.300146,0.316332,0.334313,0.352469,0.36852,0.386105,0.386769,0.385852,0.384505,0.383707
1975$/kg,30percnz,USA,Dairy,0.121254,0.123488,0.125283,0.128576,0.134425,0.141063,0.149336,0.155234,0.162046,0.169365,0.176462,0.182458,0.189169,0.189347,0.189236,0.189208,0.189236
1975$/kg,allansce1nz,Africa_Eastern,Dairy,0.231608,0.276386,0.31971,0.396446,0.494019,0.590755,0.692708,0.77268,0.856245,0.941456,1.02443,1.09421,1.1713,1.17994,1.18354,1.18946,1.20036
1975$/kg,allansce1nz,Africa_Northern,Dairy,0.174623,0.180564,0.187975,0.198961,0.216291,0.234693,0.25667,0.274612,0.295311,0.319028,0.344681,0.366732,0.38973,0.39228,0.393103,0.394164,0.396054
1975$/kg,allansce1nz,Africa_Southern,Dairy,0.153689,0.191719,0.218137,0.279519,0.327857,0.399632,0.505177,0.592709,0.676186,0.767072,0.868874,0.955846,1.05435,1.07806,1.09177,1.10756,1.11715
1975$/kg,allansce1nz,Africa_Western,Dairy,0.319947,0.397069,0.463585,0.548965,0.733314,0.944837,1.17662,1.3432,1.5009,1.66918,1.83785,1.97678,2.13558,2.16642,2.1685,2.17777,2.18637
1975$/kg,allansce1nz,Argentina,Dairy,0.105359,0.108859,0.111879,0.117047,0.125517,0.134365,0.144971,0.153502,0.163249,0.174065,0.184654,0.193425,0.202788,0.202433,0.2019,0.201833,0.201834
1975$/kg,allansce1nz,Australia_NZ,Dairy,0.0926722,0.0951924,0.0973575,0.101247,0.107662,0.114356,0.121855,0.128351,0.136164,0.144504,0.152346,0.1587,0.165473,0.165241,0.165178,0.165567,0.165966
1975$/kg,allansce1nz,Brazil,Dairy,0.0952588,0.0983462,0.101086,0.105968,0.113589,0.120561,0.129421,0.135964,0.143139,0.150685,0.157713,0.163515,0.170062,0.16922,0.168144,0.167284,0.166394
1975$/kg,allansce1nz,Canada,Dairy,0.16602,0.169324,0.171782,0.176621,0.18459,0.19291,0.202988,0.211035,0.220117,0.229616,0.23877,0.246359,0.25474,0.254827,0.254619,0.254712,0.25483
1975$/kg,allansce1nz,Central America and Caribbean,Dairy,0.141201,0.149982,0.157328,0.167627,0.183228,0.200051,0.219784,0.234073,0.249745,0.266408,0.282315,0.295711,0.31045,0.311856,0.312585,0.313381,0.313869
1975$/kg,allansce1nz,Central Asia,Dairy,0.10673,0.110439,0.113138,0.117522,0.123867,0.130211,0.137813,0.14399,0.151037,0.158898,0.166708,0.173326,0.180475,0.181161,0.18139,0.181625,0.181649
1975$/kg,allansce1nz,China,Dairy,0.203612,0.211433,0.2181,0.227864,0.243968,0.261534,0.281518,0.291703,0.302042,0.312551,0.321925,0.328322,0.335287,0.329007,0.321608,0.314599,0.308487
1975$/kg,allansce1nz,Colombia,Dairy,0.0877426,0.0904553,0.0928062,0.0962654,0.101162,0.106605,0.113475,0.11866,0.124554,0.13095300000000001,0.137123,0.142643,0.148184,0.148159,0.147966,0.147753,0.147348
1975$/kg,allansce1nz,EU-12,Dairy,0.104886,0.10806,0.11025,0.114464,0.121577,0.12870500000000001,0.136979,0.143526,0.151148,0.159204,0.167008,0.173246,0.180154,0.179789,0.17922,0.178972,0.17886
1975$/kg,allansce1nz,EU-15,Dairy,0.11607,0.119809,0.121967,0.126014,0.133053,0.140117,0.148543,0.155392,0.163327,0.171747,0.179961,0.186719,0.194219,0.19422,0.193921,0.193889,0.193907
1975$/kg,allansce1nz,Europe_Eastern,Dairy,0.0719921,0.0754225,0.0779709,0.0823129,0.0893021,0.0965696,0.105109,0.111047,0.117847,0.124927,0.131659,0.137046,0.143085,0.14272,0.142129,0.141715,0.14126
1975$/kg,allansce1nz,Europe_Non_EU,Dairy,0.124123,0.135622,0.143805,0.156101,0.174352,0.19285,0.214835,0.23229,0.252392,0.274525,0.296073,0.314705,0.334807,0.335999,0.33555,0.335189,0.334484
1975$/kg,allansce1nz,European Free Trade Association,Dairy,0.184203,0.18996,0.1925,0.197726,0.208772,0.220491,0.2335,0.243265,0.254349,0.265502,0.2762,0.285369,0.295143,0.294787,0.2937,0.293222,0.292968
1975$/kg,allansce1nz,India,Dairy,0.0340164,0.0404007,0.0456582,0.0522666,0.0611894,0.0705547,0.0817624,0.0908114,0.101058,0.113186,0.124765,0.134639,0.145037,0.145927,0.14556,0.145163,0.144436
1975$/kg,allansce1nz,Indonesia,Dairy,0.11791,0.124739,0.131241,0.141404,0.158238,0.176505,0.198286,0.213252,0.229536,0.248424,0.266592,0.281687,0.299292,0.298914,0.29754,0.296207,0.294617
1975$/kg,allansce1nz,Japan,Dairy,0.234851,0.239459,0.242594,0.248499,0.258392,0.267342,0.278662,0.287205,0.297165,0.307772,0.318092,0.32681,0.336418,0.335898,0.335063,0.334657,0.334338
1975$/kg,allansce1nz,Mexico,Dairy,0.104226,0.106189,0.107611,0.110028,0.114316,0.119559,0.126192,0.131583,0.137659,0.143912,0.149798,0.154889,0.160593,0.161171,0.161401,0.1617,0.161998
1975$/kg,allansce1nz,Middle East,Dairy,0.195089,0.202264,0.206658,0.214029,0.225445,0.237262,0.253778,0.277752,0.330752,0.386963,0.425138,0.453435,0.484469,0.491365,0.491489,0.490947,0.490109
1975$/kg,allansce1nz,Pakistan,Dairy,0.0686674,0.0723334,0.075291,0.0794499,0.0851191,0.0923964,0.104559,0.116258,0.12665,0.137259,0.147286,0.155835,0.165086,0.166206,0.166457,0.166713,0.166674
1975$/kg,allansce1nz,Russia,Dairy,0.0980575,0.100653,0.103021,0.108581,0.118335,0.129167,0.141822,0.151082,0.16108,0.170692,0.180056,0.187553,0.196613,0.195898,0.194816,0.193906,0.192949
