Units,scenario,region,gcam-consumer,nodeinput,input,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
2005$/Mcal/day,30perc,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0373872,0.0378645,0.0382399,0.0386141,0.039036,0.0395476,0.0400795,0.0413399,0.0425524,0.0437071,0.0447715,0.0457396,0.0466009,0.0473373,0.0479381,0.0484061,0.0487199
2005$/Mcal/day,30perc,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0263167,0.0266271,0.0266935,0.0269752,0.0272641,0.0275817,0.0278239,0.0282295,0.0285384,0.0287986,0.0289813,0.0291248,0.0292359,0.0293018,0.0293558,0.0294421,0.0295138
2005$/Mcal/day,30perc,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0432445,0.043373,0.0434431,0.0436163,0.0437839,0.0439899,0.0441678,0.044763,0.0453046,0.0458116,0.0462614,0.0466423,0.046967,0.0472252,0.0474023,0.0475083,0.047618
2005$/Mcal/day,30perc,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,0.0548321,0.0554345,0.0559579,0.0563255,0.056675,0.0570681,0.0574335,0.0585392,0.0595824,0.0605842,0.0615166,0.0623621,0.0631128,0.0637553,0.0642762,0.0646996,0.0650068
2005$/Mcal/day,30perc,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,0.0328828,0.0329806,0.0329197,0.0330675,0.0331862,0.0333162,0.033384,0.0337279,0.0339681,0.0341509,0.0342605,0.0343172,0.0343407,0.034317,0.0342527,0.0341636,0.0340361
2005$/Mcal/day,30perc,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,0.0344524,0.0345163,0.0344241,0.034629,0.0348264,0.0350076,0.035132,0.0354472,0.035676,0.035857,0.0359798,0.0360567,0.0361023,0.0361037,0.0360674,0.0360042,0.0359034
2005$/Mcal/day,30perc,Brazil,FoodDemand,FoodDemand,FoodDemand_Staples,0.0211524,0.0211405,0.0210587,0.0212588,0.0214462,0.0216115,0.0217185,0.0218685,0.0219713,0.0220379,0.0220569,0.022034,0.021989,0.0219161,0.0218133,0.0217029,0.0215711
2005$/Mcal/day,30perc,Canada,FoodDemand,FoodDemand,FoodDemand_Staples,0.0300537,0.0302888,0.0303071,0.0305652,0.0308244,0.0311158,0.0313461,0.0316888,0.0319106,0.0320759,0.0321732,0.032226200000000003,0.0322488,0.0322266,0.0321746,0.0320961,0.0319831
2005$/Mcal/day,30perc,Central America and Caribbean,FoodDemand,FoodDemand,FoodDemand_Staples,0.0343349,0.034661,0.0348,0.0350188,0.0352282,0.0354707,0.0356184,0.0360546,0.0363582,0.0365937,0.0367402,0.0368182,0.0368548,0.0368384,0.0367712,0.0366737,0.0365365
2005$/Mcal/day,30perc,Central Asia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0259594,0.0262153,0.0263291,0.0264869,0.0266239,0.0267499,0.0268177,0.0270038,0.02713,0.0272358,0.027301,0.0273183,0.0273112,0.0272743,0.0272208,0.0271636,0.0270617
2005$/Mcal/day,30perc,China,FoodDemand,FoodDemand,FoodDemand_Staples,0.0582004,0.0588395,0.0590399,0.0592381,0.059098,0.0587064,0.058029,0.0574164,0.0566241,0.055761,0.0548398,0.0538967,0.0529962,0.0521266,0.0513275,0.0506186,0.0499532
