Units,scenario,region,gcam-consumer,nodeinput,input,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
2005$/Mcal/day,30perc,Colombia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0404942,0.0405453,0.0404479,0.0405684,0.0406943,0.0408548,0.0409355,0.0411945,0.0413573,0.0414738,0.0415161,0.0415026,0.0414585,0.0413781,0.0412716,0.041158,0.041016
2005$/Mcal/day,30perc,EU-12,FoodDemand,FoodDemand,FoodDemand_Staples,0.0250708,0.0253677,0.0254233,0.0256878,0.0259366,0.0261957,0.0263918,0.0266871,0.0268978,0.0270734,0.0271758,0.0272228,0.0272392,0.0272141,0.0271583,0.0270851,0.0269712
2005$/Mcal/day,30perc,EU-15,FoodDemand,FoodDemand,FoodDemand_Staples,0.0280963,0.028597,0.0287889,0.0291086,0.0294006,0.0297089,0.0299423,0.0303073,0.0305745,0.0307916,0.0309368,0.0310296,0.0310889,0.0310953,0.0310553,0.0309854,0.0308709
2005$/Mcal/day,30perc,Europe_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0198062,0.0200085,0.0201155,0.0202828,0.0204448,0.0206218,0.0207508,0.0209534,0.0210975,0.021212,0.0212771,0.0213072,0.0213177,0.0212978,0.0212548,0.0212016,0.0211234
2005$/Mcal/day,30perc,Europe_Non_EU,FoodDemand,FoodDemand,FoodDemand_Staples,0.029577,0.0299332,0.0300401,0.0304684,0.0308738,0.0312856,0.0316,0.0320404,0.0323591,0.0326213,0.0327919,0.0328882,0.0329395,0.0329283,0.0328648,0.0327694,0.0326151
2005$/Mcal/day,30perc,European Free Trade Association,FoodDemand,FoodDemand,FoodDemand_Staples,0.0328725,0.033294,0.0334304,0.0337387,0.033998,0.0342608,0.0344561,0.0348199,0.0350925,0.0353235,0.0354816,0.0355807,0.035643,0.0356483,0.0356061,0.0355346,0.0354128
2005$/Mcal/day,30perc,India,FoodDemand,FoodDemand,FoodDemand_Staples,0.0293714,0.0300739,0.0305988,0.0315707,0.0324854,0.0333878,0.0341407,0.0351914,0.0360887,0.036797,0.0372797,0.0375636,0.0376478,0.0375379,0.037276,0.0368712,0.0363391
2005$/Mcal/day,30perc,Indonesia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0602051,0.0607126,0.061112,0.0617508,0.0623784,0.062917,0.0632057,0.0636678,0.0638359,0.0638049,0.0635603,0.0631823,0.0627277,0.0622089,0.0616445,0.0610529,0.0604251
2005$/Mcal/day,30perc,Japan,FoodDemand,FoodDemand,FoodDemand_Staples,0.11525,0.116513,0.116663,0.116969,0.116955,0.117107,0.117013,0.117386,0.117383,0.117148,0.116611,0.1159,0.115083,0.114131,0.113101,0.112039,0.110918
2005$/Mcal/day,30perc,Mexico,FoodDemand,FoodDemand,FoodDemand_Staples,0.0224049,0.022527,0.0225336,0.0227807,0.0230623,0.0234246,0.0237261,0.0240267,0.0242105,0.0243473,0.0244114,0.0244366,0.0244477,0.0244351,0.0244042,0.0243612,0.0242969
2005$/Mcal/day,30perc,Middle East,FoodDemand,FoodDemand,FoodDemand_Staples,0.0327174,0.0330789,0.0331658,0.0335572,0.0339239,0.0343051,0.0345766,0.0350576,0.0354043,0.0356775,0.0358489,0.0359337,0.0359683,0.0359361,0.0358507,0.0357224,0.0355326
2005$/Mcal/day,30perc,Pakistan,FoodDemand,FoodDemand,FoodDemand_Staples,0.0284161,0.0291034,0.0295769,0.0301344,0.0309049,0.0319927,0.0332548,0.0354835,0.0384403,0.0410478,0.0430698,0.0447858,0.0460642,0.0469726,0.0475933,0.0479542,0.048051
2005$/Mcal/day,30perc,Russia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0225821,0.0226194,0.0225915,0.0226576,0.0227362,0.0228242,0.0228809,0.02303,0.0231316,0.023208,0.023246,0.0232528,0.0232417,0.023206,0.023153,0.0230944,0.0230113
2005$/Mcal/day,30perc,South Africa,FoodDemand,FoodDemand,FoodDemand_Staples,0.0213056,0.0215482,0.0216882,0.0219366,0.0221931,0.0224707,0.0226935,0.0229583,0.0231342,0.0232631,0.0233275,0.0233566,0.0233682,0.0233549,0.0233074,0.0232388,0.0231329
2005$/Mcal/day,30perc,South America_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0689339,0.0692675,0.0693402,0.0696452,0.0699421,0.0702972,0.0704898,0.0711452,0.0716014,0.0719353,0.0721146,0.0721743,0.0721591,0.0720611,0.0718905,0.0716712,0.0713858
2005$/Mcal/day,30perc,South America_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0342471,0.0343956,0.034385,0.0345192,0.034648,0.0347909,0.0348607,0.0351318,0.0353168,0.0354637,0.0355481,0.0355837,0.0355902,0.0355583,0.0354933,0.0354101,0.0352935
2005$/Mcal/day,30perc,South Asia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0306565,0.0316393,0.0323935,0.0334182,0.0344951,0.0355591,0.0364682,0.0378276,0.0390444,0.0401399,0.0410836,0.041852,0.0424558,0.0428856,0.0431541,0.0432826,0.0432481
2005$/Mcal/day,30perc,South Korea,FoodDemand,FoodDemand,FoodDemand_Staples,0.102718,0.103658,0.103861,0.104178,0.104138,0.10403,0.103534,0.10344,0.102944,0.102239,0.101318,0.100281,0.099198,0.0980796,0.0969704,0.0959031,0.0948098
2005$/Mcal/day,30perc,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0358584,0.0362614,0.0364574,0.0366554,0.0368097,0.0369517,0.0369847,0.0374568,0.0377984,0.0380406,0.038171,0.0382118,0.0381774,0.0380689,0.0379016,0.0376936,0.0374405
2005$/Mcal/day,30perc,Taiwan,FoodDemand,FoodDemand,FoodDemand_Staples,0.0396182,0.039831,0.0398544,0.0399718,0.0400878,0.0402441,0.0403202,0.0406346,0.0408447,0.0410211,0.0411088,0.0411352,0.0411215,0.0410583,0.0409578,0.040838,0.040679
2005$/Mcal/day,30perc,USA,FoodDemand,FoodDemand,FoodDemand_Staples,0.0251158,0.0252692,0.0252592,0.0254352,0.0256142,0.0258418,0.0260178,0.0263034,0.0265056,0.0266691,0.0267796,0.0268524,0.026899,0.0269073,0.0268787,0.0268315,0.0267573
2005$/Mcal/day,30percnz,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0375237,0.0412368,0.0439968,0.0503054,0.0598308,0.0706407,0.0830826,0.0953293,0.108884,0.121596,0.134092,0.143978,0.155071,0.15408,0.151811,0.150312,0.148945
2005$/Mcal/day,30percnz,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0267889,0.0286245,0.0298048,0.0325919,0.0372545,0.0421142,0.0476798,0.0518778,0.0565042,0.0610898,0.0653193,0.0686087,0.0723067,0.0714412,0.0704476,0.069607,0.0688819
2005$/Mcal/day,30percnz,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0435283,0.0471269,0.0489385,0.0555045,0.0611082,0.070688,0.0877568,0.10362,0.117178,0.128858,0.141996,0.151039,0.161389,0.160895,0.158644,0.157371,0.155189
2005$/Mcal/day,30percnz,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,0.0549801,0.0599309,0.0634885,0.0681289,0.0800187,0.0959207,0.116728,0.134995,0.153418,0.171536,0.189843,0.203329,0.21969,0.22115,0.216117,0.213585,0.212141
2005$/Mcal/day,30percnz,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,0.0331277,0.0345933,0.0354354,0.0378851,0.0421106,0.0462072,0.0509902,0.0549964,0.0594484,0.0639412,0.0681148,0.0713494,0.0748428,0.0736632,0.072444,0.0715206,0.0707605
2005$/Mcal/day,30percnz,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,0.0348071,0.0361186,0.0368392,0.0391957,0.0432154,0.0472583,0.0517936,0.0555697,0.0599849,0.0644051,0.0684168,0.0714676,0.0748039,0.0735969,0.0724911,0.0716991,0.0710159
2005$/Mcal/day,30percnz,Brazil,FoodDemand,FoodDemand,FoodDemand_Staples,0.0217147,0.022675,0.023412,0.0259936,0.0303899,0.03415,0.039535,0.0433545,0.0477475,0.0521365,0.055964,0.0589479,0.0627745,0.0610196,0.0592899,0.0578727,0.0566082
2005$/Mcal/day,30percnz,Canada,FoodDemand,FoodDemand,FoodDemand_Staples,0.030661,0.0322306,0.0331657,0.0358152,0.0403427,0.0448896,0.0503488,0.0544377,0.0589926,0.0635136,0.0677027,0.0709303,0.074457400000000007,0.0733878,0.0722001,0.0712837,0.0705435
2005$/Mcal/day,30percnz,Central America and Caribbean,FoodDemand,FoodDemand,FoodDemand_Staples,0.0346879,0.0366735,0.0378713,0.0405743,0.0451371,0.049953,0.0555677,0.0598465,0.0645841,0.0691632,0.0732995,0.0765001,0.0800463,0.0792191,0.0777623,0.0765274,0.0754334
2005$/Mcal/day,30percnz,Central Asia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0261363,0.0276963,0.0286288,0.0306227,0.0337839,0.0370382,0.0407337,0.0436404,0.0468683,0.0501512,0.0532242,0.0556615,0.0583395,0.0576117,0.0567978,0.0561057,0.0554672
2005$/Mcal/day,30percnz,China,FoodDemand,FoodDemand,FoodDemand_Staples,0.0585357,0.0609938,0.0626711,0.0661436,0.0724803,0.0793853,0.0871537,0.0902498,0.0932628,0.0962294,0.0989794,0.100874,0.103262,0.100367,0.0972491,0.0944446,0.0921378
2005$/Mcal/day,30percnz,Colombia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0409339,0.0421582,0.0428371,0.0448662,0.0485216,0.0525307,0.057465,0.0606345,0.0643541,0.0681082,0.0715035,0.074701,0.0776832,0.0764094,0.0753002,0.074373,0.073484
2005$/Mcal/day,30percnz,EU-12,FoodDemand,FoodDemand,FoodDemand_Staples,0.025501,0.0271532,0.0280346,0.0302972,0.034173,0.0380361,0.0425479,0.0457517,0.0492952,0.0527495,0.0559078,0.0582708,0.0609262,0.0600482,0.0590934,0.0583082,0.0576334
2005$/Mcal/day,30percnz,EU-15,FoodDemand,FoodDemand,FoodDemand_Staples,0.0284986,0.0304676,0.0315235,0.0339772,0.0382225,0.0425756,0.0477403,0.051459,0.0556117,0.0596921,0.0634379,0.0663249,0.0695695,0.0687002,0.0676786,0.0668163,0.0660574
2005$/Mcal/day,30percnz,Europe_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0199752,0.0212084,0.0219257,0.0235579,0.0263241,0.0292205,0.0326227,0.0349907,0.0375333,0.040027,0.0422832,0.0439519,0.0458914,0.0452543,0.0444866,0.043802,0.0431556
2005$/Mcal/day,30percnz,Europe_Non_EU,FoodDemand,FoodDemand,FoodDemand_Staples,0.0299194,0.0321611,0.0334153,0.0366408,0.0421216,0.0479105,0.0547335,0.059737,0.0650268,0.070185,0.0748675,0.0784792,0.0826292,0.0813979,0.0800169,0.0788028,0.077662
2005$/Mcal/day,30percnz,European Free Trade Association,FoodDemand,FoodDemand,FoodDemand_Staples,0.0332823,0.0353905,0.0362716,0.0387102,0.0432358,0.0479779,0.0534435,0.0575194,0.0621368,0.0666842,0.0708857,0.0742091,0.0778656,0.0768499,0.075632,0.0746508,0.0738057
2005$/Mcal/day,30percnz,India,FoodDemand,FoodDemand,FoodDemand_Staples,0.0300059,0.0324233,0.0343786,0.03844,0.0454387,0.0536058,0.0625911,0.0682214,0.0754842,0.0829021,0.089904800000000007,0.0956429,0.101587,0.0990551,0.0958946,0.0931859,0.0905557
2005$/Mcal/day,30percnz,Indonesia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0610897,0.0639809,0.0664689,0.0721085,0.0830708,0.0963693,0.114756,0.125807,0.137786,0.150532,0.161361,0.168138,0.178422,0.172136,0.165765,0.159902,0.154888
2005$/Mcal/day,30percnz,Japan,FoodDemand,FoodDemand,FoodDemand_Staples,0.116058,0.123306,0.128109,0.137623,0.155614,0.169333,0.18853,0.201325,0.21668,0.231902,0.245237,0.255666,0.267632,0.260488,0.253338,0.247734,0.243328
2005$/Mcal/day,30percnz,Mexico,FoodDemand,FoodDemand,FoodDemand_Staples,0.0229313,0.0239675,0.0245095,0.0262388,0.0294229,0.0328216,0.0371721,0.0403453,0.0436158,0.046848,0.0496877,0.0521307,0.0550916,0.0547407,0.0543928,0.0541819,0.0538109
2005$/Mcal/day,30percnz,Middle East,FoodDemand,FoodDemand,FoodDemand_Staples,0.0332284,0.0354765,0.0368594,0.0404544,0.0465345,0.0529137,0.0605429,0.0660006,0.0720366,0.0778798,0.0831465,0.0870798,0.0914198,0.0897906,0.0878712,0.0862084,0.0847897
2005$/Mcal/day,30percnz,Pakistan,FoodDemand,FoodDemand,FoodDemand_Staples,0.0294658,0.0313678,0.032501,0.0350287,0.0386399,0.0436108,0.0540157,0.0667768,0.0772644,0.0873257,0.0969906,0.104803,0.112858,0.113484,0.113037,0.112658,0.112013
2005$/Mcal/day,30percnz,Russia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0227844,0.0236307,0.0242283,0.0258336,0.0287452,0.031951,0.0357555,0.0385579,0.0415782,0.0443304,0.0467955,0.048662,0.0509865,0.0502778,0.0494828,0.0487778,0.0481126
2005$/Mcal/day,30percnz,South Africa,FoodDemand,FoodDemand,FoodDemand_Staples,0.0215606,0.0227111,0.0235414,0.025528,0.029263,0.0339041,0.0392924,0.0421776,0.0457089,0.0493578,0.0527217,0.0555008,0.058779,0.0580529,0.0571409,0.0562711,0.0555029
2005$/Mcal/day,30percnz,South America_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0697982,0.0724844,0.0742891,0.0787901,0.086215,0.0939929,0.103477,0.11064,0.118471,0.126166,0.132593,0.137884,0.143839,0.142126,0.139696,0.137458,0.135498
2005$/Mcal/day,30percnz,South America_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0346004,0.0361113,0.0368559,0.039012,0.0427939,0.0465007,0.0514036,0.0553789,0.059643,0.0637742,0.0676389,0.0707117,0.0740937,0.0734816,0.0721216,0.0711024,0.0703185
2005$/Mcal/day,30percnz,South Asia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0310796,0.0334575,0.0352436,0.0392796,0.045411,0.0518753,0.0592824,0.0662999,0.0739898,0.0816966,0.0885626,0.0940401,0.10006,0.0998282,0.0987473,0.0978245,0.0968801
2005$/Mcal/day,30percnz,South Korea,FoodDemand,FoodDemand,FoodDemand_Staples,0.103389,0.107724,0.110039,0.11482,0.123893,0.135051,0.148629,0.153706,0.159681,0.165537,0.170732,0.174938,0.180243,0.176044,0.171519,0.167543,0.164092
2005$/Mcal/day,30percnz,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0361785,0.0387046,0.0405488,0.044224,0.0501962,0.0565554,0.0644983,0.0702324,0.0769097,0.0833433,0.0891091,0.0935896,0.0985565,0.0969884,0.0947884,0.092788,0.0911516
2005$/Mcal/day,30percnz,Taiwan,FoodDemand,FoodDemand,FoodDemand_Staples,0.0399397,0.0420045,0.0436913,0.0476996,0.0544627,0.0613537,0.0696663,0.0751905,0.080964,0.0870758,0.0932424,0.0985542,0.104473,0.103487,0.101685,0.099737,0.0982474
2005$/Mcal/day,30percnz,USA,FoodDemand,FoodDemand,FoodDemand_Staples,0.0255082,0.0265641,0.0271307,0.0287648,0.0317489,0.0350887,0.0392658,0.0420705,0.045109,0.0481578,0.0509925,0.0533001,0.0559079,0.0553356,0.0546171,0.0539836,0.0534302
2005$/Mcal/day,allansce1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0373532,0.0377763,0.0380835,0.0383769,0.0387066,0.0391137,0.039542,0.0406712,0.0417717,0.0428323,0.0438158,0.0447123,0.0455095,0.0461866,0.0467368,0.0471677,0.0474501
2005$/Mcal/day,allansce1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0263108,0.0266186,0.0266795,0.0269525,0.0272306,0.027534,0.0277622,0.0281509,0.0284463,0.0286945,0.0288684,0.0290052,0.0291116,0.0291739,0.0292248,0.0293094,0.0293774
2005$/Mcal/day,allansce1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0432397,0.0433641,0.0434299,0.0435979,0.0437598,0.043959,0.0441301,0.0447175,0.0452529,0.0457541,0.0461991,0.0465762,0.046898,0.047154,0.0473296,0.0474351,0.0475449
2005$/Mcal/day,allansce1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,0.0548124,0.0553719,0.0558511,0.0561741,0.0564814,0.0568282,0.0571486,0.0581849,0.0591608,0.0600959,0.0609602,0.0617446,0.0624416,0.063037,0.0635181,0.0639114,0.0641965
2005$/Mcal/day,allansce1,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,0.0328665,0.0329463,0.0328686,0.0329991,0.0331002,0.0332113,0.0332623,0.0335851,0.0338091,0.0339791,0.0340799,0.0341314,0.034152,0.0341269,0.0340636,0.0339775,0.0338552
2005$/Mcal/day,allansce1,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,0.0344445,0.0344992,0.0344014,0.0345979,0.0347867,0.0349575,0.0350722,0.0353748,0.0355936,0.035766,0.0358823,0.0359552,0.0359981,0.0359976,0.035961,0.0358989,0.0358003
2005$/Mcal/day,allansce1,Brazil,FoodDemand,FoodDemand,FoodDemand_Staples,0.0211479,0.0211331,0.0210492,0.0212473,0.0214324,0.0215944,0.0216984,0.0218437,0.0219429,0.0220063,0.0220229,0.0219984,0.0219523,0.0218784,0.021775,0.0216646,0.0215332
2005$/Mcal/day,allansce1,Canada,FoodDemand,FoodDemand,FoodDemand_Staples,0.03006,0.0303057,0.0303314,0.0305969,0.0308628,0.0311609,0.0313957,0.0317398,0.0319667,0.0321376,0.0322406,0.0323,0.0323295,0.0323137,0.0322673,0.0321933,0.0320836
2005$/Mcal/day,allansce1,Central America and Caribbean,FoodDemand,FoodDemand,FoodDemand_Staples,0.0343276,0.0346486,0.0347826,0.0349969,0.0352011,0.0354378,0.0355808,0.0360087,0.0363064,0.0365383,0.0366814,0.0367578,0.0367939,0.0367781,0.036712,0.0366165,0.0364808
2005$/Mcal/day,allansce1,Central Asia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0259457,0.0261864,0.0262867,0.0264291,0.0265513,0.0266611,0.0267148,0.0268843,0.0269978,0.0270939,0.0271527,0.0271659,0.0271559,0.0271182,0.0270659,0.027012,0.0269142
2005$/Mcal/day,allansce1,China,FoodDemand,FoodDemand,FoodDemand_Staples,0.058065,0.0585608,0.0586625,0.0587932,0.0586222,0.0582296,0.0575777,0.0569974,0.0562559,0.0554468,0.0545823,0.0536947,0.0528447,0.0520213,0.0512637,0.0505897,0.0499548
2005$/Mcal/day,allansce1,Colombia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0404868,0.0405304,0.0404263,0.040539,0.0406566,0.0408074,0.0408799,0.0411287,0.041284,0.041394,0.0414319,0.0414158,0.0413703,0.0412894,0.0411832,0.0410709,0.0409313
2005$/Mcal/day,allansce1,EU-12,FoodDemand,FoodDemand,FoodDemand_Staples,0.02507,0.0253727,0.0254271,0.0256895,0.0259342,0.0261877,0.0263775,0.0266641,0.0268681,0.027038,0.0271361,0.0271805,0.0271954,0.0271694,0.0271135,0.0270414,0.0269294
2005$/Mcal/day,allansce1,EU-15,FoodDemand,FoodDemand,FoodDemand_Staples,0.0280935,0.0286023,0.028793,0.0291097,0.0293965,0.0296975,0.0299224,0.030276,0.030534,0.030743,0.030882,0.0309706,0.0310271,0.0310319,0.0309913,0.0309224,0.0308103
2005$/Mcal/day,allansce1,Europe_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0197964,0.0199875,0.0200841,0.0202403,0.0203911,0.0205566,0.0206751,0.0208655,0.0210007,0.0211084,0.0211692,0.0211969,0.0212065,0.0211867,0.0211449,0.0210941,0.0210195
2005$/Mcal/day,allansce1,Europe_Non_EU,FoodDemand,FoodDemand,FoodDemand_Staples,0.0295601,0.0298938,0.0299806,0.0303878,0.0307726,0.0311621,0.0314566,0.0318729,0.0321731,0.0324199,0.032579,0.0326678,0.0327141,0.0327006,0.0326367,0.0325444,0.0323957
2005$/Mcal/day,allansce1,European Free Trade Association,FoodDemand,FoodDemand,FoodDemand_Staples,0.0328657,0.0332768,0.0334038,0.0337007,0.0339485,0.0341972,0.0343785,0.0347253,0.0349845,0.0352038,0.0353532,0.0354459,0.0355033,0.0355056,0.0354619,0.0353912,0.0352722
2005$/Mcal/day,allansce1,India,FoodDemand,FoodDemand,FoodDemand_Staples,0.0293025,0.0299239,0.0303784,0.0312649,0.0320943,0.0329061,0.0335838,0.0345394,0.035356,0.036002,0.0364388,0.036705,0.0367827,0.0366853,0.0364495,0.0360844,0.0356038
2005$/Mcal/day,allansce1,Indonesia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0601784,0.06066,0.061034,0.0616486,0.0622509,0.0627635,0.0630324,0.0634721,0.063628,0.063591,0.0633467,0.0629734,0.062526,0.0620159,0.061461,0.0608799,0.060264
2005$/Mcal/day,allansce1,Japan,FoodDemand,FoodDemand,FoodDemand_Staples,0.115224,0.116589,0.116739,0.11705,0.117019,0.117185,0.117095,0.117466,0.117452,0.117201,0.116636,0.115895,0.115051,0.114072,0.113017,0.111933,0.110792
2005$/Mcal/day,allansce1,Mexico,FoodDemand,FoodDemand,FoodDemand_Staples,0.0223991,0.0225178,0.0225199,0.0227612,0.0230357,0.0233889,0.0236817,0.0239718,0.0241477,0.0242778,0.0243376,0.0243603,0.02437,0.0243569,0.0243264,0.0242852,0.0242241
2005$/Mcal/day,allansce1,Middle East,FoodDemand,FoodDemand,FoodDemand_Staples,0.0327043,0.0330533,0.0331265,0.0335019,0.0338516,0.0342125,0.0344654,0.034923,0.035252,0.03551,0.0356702,0.0357484,0.0357785,0.0357456,0.0356602,0.0355352,0.0353501
2005$/Mcal/day,allansce1,Pakistan,FoodDemand,FoodDemand,FoodDemand_Staples,0.0283881,0.0290506,0.0294952,0.0300247,0.030758,0.0318085,0.0330282,0.0351702,0.0379769,0.0405275,0.0424719,0.0441982,0.0454335,0.0463045,0.0468901,0.0472377,0.0473313
2005$/Mcal/day,allansce1,Russia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0225772,0.022609,0.0225755,0.0226348,0.0227054,0.0227844,0.0228327,0.0229722,0.0230668,0.0231376,0.023172,0.0231767,0.0231647,0.0231287,0.0230765,0.0230196,0.0229392
2005$/Mcal/day,allansce1,South Africa,FoodDemand,FoodDemand,FoodDemand_Staples,0.0212974,0.0215305,0.0216601,0.0218968,0.022141,0.0224046,0.0226143,0.0228641,0.0230289,0.0231486,0.0232064,0.0232308,0.0232392,0.0232246,0.0231772,0.0231101,0.0230073
2005$/Mcal/day,allansce1,South America_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,0.0688688,0.0691769,0.0692362,0.0695284,0.0698137,0.0701556,0.07034,0.0709809,0.0714285,0.0717566,0.0719326,0.0719921,0.0719795,0.0718859,0.0717203,0.0715067,0.0712281
2005$/Mcal/day,allansce1,South America_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,0.034242,0.0343857,0.0343702,0.0344988,0.0346215,0.0347567,0.0348194,0.0350807,0.0352579,0.0353986,0.0354785,0.0355111,0.0355159,0.0354833,0.0354182,0.0353363,0.0352217
2005$/Mcal/day,allansce1,South Asia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0306274,0.0315729,0.0322869,0.033263,0.0342904,0.0353056,0.0361705,0.0374777,0.0386488,0.039704,0.0406139,0.0413558,0.0419385,0.0423539,0.0426134,0.0427372,0.0427028
2005$/Mcal/day,allansce1,South Korea,FoodDemand,FoodDemand,FoodDemand_Staples,0.102675,0.103547,0.103707,0.103988,0.103925,0.103792,0.103284,0.103173,0.102676,0.101977,0.101069,0.100051,0.0989876,0.0978898,0.0968,0.0957514,0.0946776
2005$/Mcal/day,allansce1,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_Staples,0.0358366,0.0362171,0.0363918,0.0365678,0.0367025,0.0368238,0.0368396,0.0372872,0.0376092,0.0378363,0.0379564,0.0379914,0.0379544,0.0378468,0.0376827,0.0374802,0.0372349
2005$/Mcal/day,allansce1,Taiwan,FoodDemand,FoodDemand,FoodDemand_Staples,0.0396063,0.0398062,0.0398182,0.0399228,0.0400258,0.0401667,0.0402294,0.0405264,0.0407233,0.0408881,0.0409677,0.0409891,0.0409727,0.0409088,0.0408092,0.0406921,0.0405375
