Units,scenario,region,land-allocation,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
thous km2,30perc,Africa_Eastern,biomassGrass,0,35.403298554,54.994506478000005,72.180282563,77.805925705,83.14051202099999,86.913174391,88.459667783,86.071279482,82.546307467,77.46758661599999,72.056419745,66.67856304200001,61.599567327,57.107911448,53.586265827000005,50.542569189
thous km2,30perc,Africa_Eastern,biomassTree,0,0.0248317522747,0.0378820020434,0.049868475784,0.051784270776,0.05332793167,0.054059875468,0.053406450548,0.050709425728,0.047655597433,0.0439686739887,0.0403143042105,0.0368651167269,0.0337121364834,0.0309821568109,0.028842386047,0.027018178004
thous km2,30perc,Africa_Eastern,CornC4,69.6396794,71.997719,74.73371660000001,77.5425912,80.4996069,83.6519512,86.5614738,90.9781564,94.57596723,97.49936335,100.12458647,102.60364281999999,104.69920871000001,106.54605062,107.99678122,108.84164568,109.7725005623338
thous km2,30perc,Africa_Eastern,crops,146.43208071762,152.96470479887,158.16517391233,162.238454352371,165.933189563276,169.068867101879,171.191223470887,174.821205359602,177.994565942036,180.965761349951,183.97676542404201,187.050815868812,190.127966153706,193.006781654115,195.44726071370502,197.166835191745,198.46037442972101
thous km2,30perc,Africa_Eastern,forest (managed),143.206638,158.22645,173.878853,188.975526,203.600649,217.44534499999997,230.417882,242.285201,253.599377,264.425591,274.852143,284.83341,294.231063,303.009869,311.237671,319.037809,326.287202
thous km2,30perc,Africa_Eastern,forest (unmanaged),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thous km2,30perc,Africa_Eastern,Fruits,0.33178937270000003,0.3364343763,0.3454394176,0.3687920272,0.3916837158,0.4131756928,0.4332233151,0.4720442684,0.5109745575,0.5499859088,0.588455805,0.6251061817,0.65911826271,0.68963949147,0.71588116618,0.73818706224,0.75658674296
thous km2,30perc,Africa_Eastern,FruitsTree,27.86971303,29.44231143,31.7123864,34.43405463,37.28963244,40.15340641,42.97713965,46.96039045,50.99266141,55.0016614,58.9633459,62.744213251,66.255888833,69.432871517,72.205127451,74.610000105,76.620764553
thous km2,30perc,Africa_Eastern,grass,895.0245636999999,859.1404927,818.2049529000001,774.3379317,728.8379451,681.8553444,637.3102905000001,595.026213,559.8759428,531.0951745,508.091189,489.7973455,475.2523302,463.7021419,454.893813,448.4761549,443.8432965
thous km2,30perc,Africa_Eastern,Legumes,60.429290089,64.535652096,69.383515643,74.329477746,79.250331511,83.964037782,88.412451934,94.615452281,100.668321234,106.438590208,111.878709038,116.816919637,121.167999869,124.8757311527,127.9684900777,130.5779900351,132.6853700867
