Units,scenario,sector,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1975$/kg,30percnz,Dairy,0.1557232625,0.165747184375,0.17414265625,0.18788683125,0.20906363125,0.232559346875,0.260369790625,0.281274834375,0.30444721875,0.32921540625,0.3530484375,0.37292653124999997,0.39478234375,0.39660528125,0.3963281875,0.396533625,0.39678753125
1975$/kg,allansce1nz,Dairy,0.155649821875,0.16554805,0.17379535625,0.1873432125,0.20818508125000001,0.231263490625,0.25854729375,0.279153075,0.301566375,0.32554634375,0.34879759375,0.368253125,0.38984415625,0.39194834375,0.39170784375,0.39197215625000004,0.39223075
1975$/kg,allansce2nz,Dairy,0.15564205625,0.16549931875,0.173705503125,0.187215471875,0.207957809375,0.230876903125,0.257931934375,0.278435709375,0.30067934375,0.32449621875,0.347629125,0.36702671875,0.38854181249999997,0.39068003125,0.39045253125,0.39073465625,0.3910175
1975$/kg,defaultnz,Dairy,0.15555721875,0.1649563,0.17277315,0.18562215,0.20513053125,0.226480796875,0.2513405625,0.27041298125,0.2909440125,0.31223146875,0.3337185,0.3519888125,0.37193371875,0.37429840625,0.374327125,0.3747106875,0.3751169375
