"","Scenario","Year","commodity","min","low_1.5*IQR","Q25","median","Q75","hi_1.5*IQR","max"
"27","UNIFORM30","2050","Corn",1.8183569649402,1.8183569649402,4.07981060776648,4.8759960934124,5.74745236415721,7.56861800921787,7.56861800921787
"28","BIODIV","2050","OilPalm",2.53741430916289,2.53741430916289,3.22387738968552,3.51095325977262,3.80822072372096,4.2400368723752,4.80740983458375
"29","BIODIV30","2050","OilPalm",2.01795886839819,2.01795886839819,2.77365107036587,3.1736296577141,3.33968283885625,3.75179280473387,4.21421630660762
"30","UNIFORM30","2050","OilPalm",1.87988799845516,3.70602834040509,4.0228796755161,4.38739314996801,4.85111063727687,5.26548203821513,5.26548203821513
"31","BIODIV","2050","Rice",2.1754404421517,2.68692889660367,3.34895493057734,3.62462970799831,3.91265500295818,4.51919300339097,8.21604194567538
"32","BIODIV30","2050","Rice",1.93084428881132,2.3499164838044,3.04353417392849,3.28102612145929,3.61643697985565,3.92045164946197,7.76954181381953
"33","UNIFORM30","2050","Rice",3.26165776827616,3.26165776827616,4.8177091480163,5.34710736386231,6.03258877394019,7.24624316224091,8.02477912054432
"34","BIODIV","2050","Soybean",2.71540038482271,2.71540038482271,3.38704638679846,3.67726987055514,4.06953822170052,4.96550231005845,7.00575833513918
"35","BIODIV30","2050","Soybean",2.37956583498266,2.37956583498266,3.04789715970397,3.30237583010837,3.73953216100412,4.72606273215021,6.5812454969597
"36","UNIFORM30","2050","Soybean",3.62814090733943,3.62814090733943,4.87874494643424,5.73647208960497,6.18471783531202,7.2784202549847,8.36719910618915
"37","BIODIV","2050","SugarCrop",1.91346578366446,1.91346578366446,2.37872657916061,2.65890477926071,3.48928740745063,4.73243550770171,5.65364338083209
"38","BIODIV30","2050","SugarCrop",1.66975717439293,1.66975717439293,2.099760713796,2.47684051401135,3.10162351723851,4.32145101302583,5.31104500206835
"39","UNIFORM30","2050","SugarCrop",2.08254341010369,2.08254341010369,3.29467712289058,3.83554235900014,4.32071230939464,5.53531197962583,6.37841142604826
"40","BIODIV","2050","Wheat",3.19453259379859,3.19453259379859,3.74988303602772,3.92958371554035,4.31576629211079,5.06570368141238,6.25014370348797
"41","BIODIV30","2050","Wheat",3.22315005750763,3.22315005750763,3.48102268636446,3.68764803273965,3.99856755148368,4.74165565426737,5.91905086720263
"42","UNIFORM30","2050","Wheat",4.67887598086254,4.67887598086254,5.38970179468785,5.881727688942,6.46227272089002,7.87730692559963,8.21433576778735
"43","BIODIV","2075","Biomass",3.27989507355231,4.58366883609947,4.94629712881355,5.19823948126279,5.95771160503176,6.82600656060546,21.0707030836851
"44","BIODIV30","2075","Biomass",2.91755913907473,4.02931083270603,4.35642908056208,4.615274956342,5.3143571367536,6.64393591499404,9.62974929305265
"45","UNIFORM30","2075","Biomass",4.15837099802792,4.15837099802792,6.03773170360672,6.81605727835588,7.43991093997053,8.53574616238903,8.53574616238903
"46","BIODIV","2075","Corn",2.85988003998668,2.85988003998668,3.86026575300514,4.50789893557255,5.20021095286996,6.99780920135432,7.90244994936513
"47","BIODIV30","2075","Corn",2.59246917694102,2.59246917694102,3.52152046918991,4.14609847264772,4.73358269256884,6.24975104560844,7.48503674274884
"48","UNIFORM30","2075","Corn",3.1527466773615,3.1527466773615,5.15183797199827,6.4518168420869,6.7687875981445,8.59107558858119,8.59107558858119
"49","BIODIV","2075","OilPalm",3.17265575393622,3.58834442645682,3.80725087628604,3.91246780834873,4.05224659615802,4.11284213974245,6.36978579481399
"50","BIODIV30","2075","OilPalm",2.92889505913752,3.17063305686274,3.33135002581195,3.43827337672731,3.597456449638,3.72489610416198,5.66346558726451
"51","UNIFORM30","2075","OilPalm",2.65523536616366,4.38015906327015,4.58537137774261,5.13743102145015,5.33310663321973,5.57082282724689,6.55179907906712
"52","BIODIV","2075","Rice",3.17123718737598,3.74201261266828,4.53550268228653,4.98077012955098,5.23076029674367,6.00969812004733,10.1788517061639
"53","BIODIV30","2075","Rice",2.86788434407045,3.32356560744966,4.15953292588864,4.53396209025835,4.8629890384501,5.56444732119214,9.68279496967465
"54","UNIFORM30","2075","Rice",4.70521143586112,5.34071458063586,6.68894123181112,7.31654891405929,7.95698608373297,9.06915700944592,11.0104395027259
"55","BIODIV","2075","Soybean",3.62823339503556,3.62823339503556,4.24296365184484,4.59841460380133,5.32090500409195,6.18791317252593,8.87641699305149
"56","BIODIV30","2075","Soybean",3.26228936617477,3.26228936617477,3.89340723163511,4.20009071742362,4.85404126863477,5.58009245123587,8.40106788631977
"57","UNIFORM30","2075","Soybean",5.28311361443934,5.28311361443934,6.10421824288428,7.21854499332219,7.38914246878148,8.60440089197481,11.0913358187176
"58","BIODIV","2075","SugarCrop",2.63387927861612,2.63387927861612,3.36171237331821,3.76363225464273,4.71983739064189,6.17861346319707,8.04064419888721
"59","BIODIV30","2075","SugarCrop",2.73955939991891,2.73955939991891,3.08621261825492,3.51107850810104,4.3186035524725,5.74284883804042,7.62723847094672
"60","UNIFORM30","2075","SugarCrop",3.55242960520438,3.55242960520438,4.45063864278872,5.21428492323862,5.90505987533017,8.00616911586371,8.44082511757782
"61","BIODIV","2075","Wheat",3.24711754743791,4.4850993592098,4.75013105427996,4.96515667007849,5.33298884231247,6.07024045142544,7.4567323718912
"62","BIODIV30","2075","Wheat",2.78571540925845,4.29936156887671,4.48054423182004,4.6884643763906,4.97325449967193,5.55646517720256,7.12775084841165
"63","UNIFORM30","2075","Wheat",6.40207139585533,6.40207139585533,6.97130499412992,7.36972717404689,8.2909180515849,8.76799190271349,10.578725167196
"64","BIODIV","2100","Biomass",3.12260865325711,3.12260865325711,4.36261480913727,4.69178237076567,5.36449313392492,6.21919388235915,19.4103387337041
"65","BIODIV30","2100","Biomass",2.76405237486566,2.76405237486566,3.88012111031987,4.1629641077155,4.83258624086776,5.33962714331446,8.72169673867672
"66","UNIFORM30","2100","Biomass",3.90278387206865,3.90278387206865,5.34410344292692,6.13405670283515,6.63592597816956,7.68588496037032,7.68588496037032
"67","BIODIV","2100","Corn",2.62984555589649,2.62984555589649,3.6022518214785,4.25388428020507,4.9493269105128,6.52887114810672,7.4739759797625
"68","BIODIV30","2100","Corn",2.39419044696738,2.39419044696738,3.27604489017281,3.86705368339199,4.50564415439944,5.83347527604772,7.0920859622009
"69","UNIFORM30","2100","Corn",2.89767671047503,2.89767671047503,4.71128645908776,6.11068507157463,6.550210020722,8.15942040084857,8.15942040084857
"70","BIODIV","2100","OilPalm",3.12227312390925,3.12227312390925,3.54646279537476,3.75675985857359,4.03160377056213,4.35436927663804,6.21207964343058
"71","BIODIV30","2100","OilPalm",2.888852530541,2.888852530541,3.10153000285074,3.30994419152931,3.53738118721612,3.78398306046055,5.54463639184855
"72","UNIFORM30","2100","OilPalm",2.17647476396679,4.12849040139615,4.24624617420999,4.75490051873425,5.09824851188918,6.18531894702282,6.18531894702282
"73","BIODIV","2100","Rice",2.75760999975844,2.75760999975844,4.00030901263441,4.45987503182965,4.86014931611253,5.88901262063846,9.27076779859544
"74","BIODIV30","2100","Rice",2.49564510198112,2.93894614918242,3.69234983039422,4.10732795901256,4.45952306244116,5.54534768621627,8.82986286936017
"75","UNIFORM30","2100","Rice",4.00167485754317,5.09330368790624,5.8651363927849,6.53457947291177,7.10604528331883,8.11981973016392,9.65667135104904
"76","BIODIV","2100","Soybean",3.41427602293531,3.41427602293531,3.90031822715941,4.42945814460661,5.03422774105835,6.47494809712252,8.64088946604617
"77","BIODIV30","2100","Soybean",3.12154413746318,3.12154413746318,3.6393740889486,4.09465866958682,4.60969017606715,5.89384108655725,8.20060584268267
"78","UNIFORM30","2100","Soybean",4.8993095244733,4.8993095244733,5.64820452801888,6.58769415587294,6.88948759302237,8.34120170008459,10.0306419744818
"79","BIODIV","2100","SugarCrop",2.27409655461463,2.27409655461463,3.09371512035143,3.56404417023713,4.45803702558895,5.96457626199131,7.30855924347058
"80","BIODIV30","2100","SugarCrop",2.50132666552738,2.50132666552738,2.91828367111317,3.33721536812522,4.13629800611692,5.57774092882939,6.94935152778469
"81","UNIFORM30","2100","SugarCrop",3.11951771873305,3.11951771873305,4.07323656287271,4.86928439200577,5.57190389735644,7.24683127520399,8.15467752321602
"82","BIODIV","2100","Wheat",2.73226624919024,4.23829771204437,4.37372934480601,4.58627293493195,4.97216317946936,5.62227962772922,7.05343375472466
"83","BIODIV30","2100","Wheat",3.99886633556468,3.99886633556468,4.14979070212085,4.31412180298961,4.67987591865387,5.38943345482854,6.77009401980595
"84","UNIFORM30","2100","Wheat",5.81147320987131,5.81147320987131,6.31358993428921,6.83842225941679,7.50993022309493,8.04425327095251,9.35846611855805
