"","Scenario","Year","commodity","min","low_1.5*IQR","Q25","median","Q75","hi_1.5*IQR","max"
"1","BIODIV","2030","Biomass",-0.163247952381335,-0.163247952381335,0.10475494146198,0.286074498567336,0.647249587729356,0.909907037621236,15.6295859710745
"2","BIODIV30","2030","Biomass",-0.106692764947019,-0.106692764947019,0.200685276571501,0.362140734293339,0.723236528705338,1.01688089404973,4.79614038406962
"3","UNIFORM30","2030","Biomass",0.0204992200687427,0.0204992200687427,0.51940854445686,0.6846434060745,1.03825716033182,1.68382078332001,2.37646079583945
"4","BIODIV","2030","Corn",0.322391904468335,0.322391904468335,0.587222097614645,0.794007691739763,0.993322088148836,1.30571764372834,2.67992087482219
"5","BIODIV30","2030","Corn",0.296736681863454,0.296736681863454,0.494906180299093,0.684447601548407,0.922342215009102,1.46109348759097,1.90515832534399
"6","UNIFORM30","2030","Corn",0.275353989236637,0.275353989236637,0.889354252530747,1.17504073653812,1.52902958695946,2.28027617092741,2.28027617092741
"7","BIODIV","2030","OilPalm",0.29406575924189,0.29406575924189,0.401564534122675,0.571163581558905,0.68903912284501,1.02530306290798,1.02530306290798
"8","BIODIV30","2030","OilPalm",0.188288024815904,0.188288024815904,0.334827744441224,0.508929131553081,0.582856238383725,0.87421992683452,0.87421992683452
"9","UNIFORM30","2030","OilPalm",0.171310337877878,0.171310337877878,0.508402362387904,0.865467054223042,0.969602815130896,1.10893843954092,1.10893843954092
"10","BIODIV","2030","Rice",0.359464537889666,0.359464537889666,0.670778688355723,0.814804585002059,1.01248605281335,1.44918713140478,2.53870036573573
"11","BIODIV30","2030","Rice",0.326202397208317,0.326202397208317,0.615155148473646,0.73662975911203,0.92818839465091,1.27587533467441,2.440722455301
"12","UNIFORM30","2030","Rice",0.621476839046258,0.621476839046258,1.06548401773974,1.27640223919213,1.62934835193925,2.42057314190164,2.42057314190164
"13","BIODIV","2030","Soybean",0.585079228436153,0.585079228436153,0.861190919071599,0.962466758911061,1.16144668670194,1.44048705257293,2.47791716297122
"14","BIODIV30","2030","Soybean",0.539534138797407,0.539534138797407,0.776570112756777,0.868633639285416,1.08947440860779,1.51434379008987,2.36219241064565
"15","UNIFORM30","2030","Soybean",0.863354721173964,0.863354721173964,1.3396152414993,1.66298505817943,1.86523660084482,2.57363976734374,2.57363976734374
"16","BIODIV","2030","SugarCrop",0.237216039137708,0.237216039137708,0.357839277217603,0.447583350890865,0.65660602732305,1.01210024239582,1.2829652725573
"17","BIODIV30","2030","SugarCrop",0.213506172781541,0.213506172781541,0.322576111436716,0.403022461742121,0.518618360110895,0.771532920766979,1.23636242590009
"18","UNIFORM30","2030","SugarCrop",0.244500962682638,0.244500962682638,0.524097540791098,0.674605850146705,0.828301171626345,1.22071418587726,1.41381265149739
"19","BIODIV","2030","Wheat",0.540406827393297,0.837520459958419,1.09258795021144,1.17864554894107,1.29359737633212,1.44160665624028,2.15218289116963
"20","BIODIV30","2030","Wheat",0.493787224325911,0.810121596725842,1.01025216395008,1.06363568784938,1.19255930196952,1.30080992033724,2.03337321267762
"21","UNIFORM30","2030","Wheat",1.11506479173405,1.11506479173405,1.44902868662834,1.6250930109525,1.80003318022788,2.30817682156536,2.77115475605118
"22","BIODIV","2050","Biomass",3.43573436026102,3.43573436026102,4.16718710797228,4.41161410838041,5.35650245124846,6.60894681151614,18.025495968616
"23","BIODIV30","2050","Biomass",3.02243486886251,3.02243486886251,3.61674677688226,3.8793481036944,4.70774903424134,5.90561037181038,8.97542901785475
"24","UNIFORM30","2050","Biomass",3.60342090725369,3.60342090725369,5.16203351834465,6.05029400725634,6.57915319604638,7.622575492696,7.622575492696
"25","BIODIV","2050","Corn",2.05157681806625,2.05157681806625,3.06920294687253,3.29304219738326,4.01498491418699,5.34893421041197,6.80602228510789
"26","BIODIV30","2050","Corn",1.83326516851448,1.83326516851448,2.76043254532358,2.97348549560939,3.70345493772108,5.11665670910123,6.39060841881853
