"GLU","GCAM_region_ID","u30_tot_prot","u30_suit_prot","u30_unsuit_prot","b_tot_prot","b_suit_prot","b_unsuit_prot","b30_tot_prot","b30_suit_prot","b30_unsuit_prot","region","Basin_name","b_u30_sp_diff","b_u30_usp_diff","b30_u30_sp_diff","b30_u30_usp_diff"
87,2,0.290917575885523,0.220103416179548,0.070814159705975,0.16061839645224,0.132141265002929,0.028477131449311,0.157903924536975,0.129518176069387,0.028385748467588,"Africa_Eastern","Nile",-0.087962151176619,-0.042337028256664,-0.090585240110161,-0.042428411238387
100,2,0.27872035701622,0.0817100561612599,0.19701030085496,0.073113941217389,0.0162398341322087,0.0568741070851803,0.073113941217389,0.0162398341322087,0.0568741070851803,"Africa_Eastern","Africa_Red_Sea_Gulf_of_Aden_Coast",-0.0654702220290512,-0.14013619376978,-0.0654702220290512,-0.14013619376978
144,2,0.27000482119051,0.0217190253452466,0.248285795845263,0.269188539243151,5.1207993763924e-05,0.269137331249387,0.269188539243151,5.1207993763924e-05,0.269137331249387,"Africa_Eastern","Africa_North_Interior",-0.0216678173514827,0.0208515354041237,-0.0216678173514827,0.0208515354041237
151,2,0.270004821193937,0.263888201945942,0.006116619247995,0.00676761123557684,0.0065341030191133,0.00023350821646354,0.00676761123557684,0.0065341030191133,0.00023350821646354,"Africa_Eastern","Lake_Chad",-0.257354098926829,-0.00588311103153146,-0.257354098926829,-0.00588311103153146
170,2,0.328381695255931,0.315284230834952,0.013097464420979,0.229903706927131,0.219283511343152,0.010620195583979,0.227553811710567,0.216997008967075,0.010556802743492,"Africa_Eastern","Shebelli_Juba",-0.0960007194918,-0.00247726883700003,-0.098287221867877,-0.00254066167748704
171,2,0.352568242796959,0.31236950484604,0.040198737950919,0.270188358652902,0.246256817059088,0.023931541593814,0.248360081286702,0.224934551917305,0.023425529369397,"Africa_Eastern","Africa_East_Central_Coast",-0.066112687786952,-0.016267196357105,-0.087434952928735,-0.016773208581522
177,2,0.300460199015977,0.293397037753383,0.00706316126259399,0.201076074534298,0.192601409409007,0.00847466512529099,0.201076074534298,0.192601409409007,0.00847466512529099,"Africa_Eastern","Madagascar",-0.100795628344376,0.00141150386269701,-0.100795628344376,0.00141150386269701
179,2,0.337698792149541,0.285583829789582,0.052114962359959,0.27243792807188,0.248445063936546,0.023992864135334,0.264012844359684,0.240236579040907,0.023776265318777,"Africa_Eastern","Rift_Valley",-0.037138765853036,-0.028122098224625,-0.045347250748675,-0.028338697041182
183,2,0.323282937289461,0.312758710795381,0.01052422649408,0.172545751022456,0.166774491438107,0.00577125958434901,0.160891921310446,0.155853012968519,0.005038908341927,"Africa_Eastern","Congo",-0.145984219357274,-0.00475296690973101,-0.156905697826862,-0.00548531815215303
75,3,0.248770737004626,0.0154937562280972,0.233276980776529,0.0767897875364196,0.00377143932047452,0.0730183482159451,0.0767897875364196,0.00377143932047452,0.0730183482159451,"Africa_Northern","Mediterranean_Sea_East_Coast",-0.0117223169076227,-0.160258632560584,-0.0117223169076227,-0.160258632560584
80,3,0.291340372372035,0.135745394592944,0.155594977779091,0.177540866079978,0.0970234319037905,0.0805174341761875,0.170536982063117,0.0903324774535244,0.0802045046095926,"Africa_Northern","Mediterranean_South_Coast",-0.0387219626891535,-0.0750775436029035,-0.0454129171394196,-0.0753904731694984
86,3,0.298763265418946,0.0901210222010522,0.208642243217894,0.262874900090693,0.0568650806161243,0.206009819474569,0.262874900090693,0.0568650806161243,0.206009819474569,"Africa_Northern","Africa_North_West_Coast",-0.0332559415849279,-0.00263242374332512,-0.0332559415849279,-0.00263242374332512
87,3,0.318824820566329,0.0414063144758645,0.277418506090464,0.519998243271824,0.0104431442172539,0.50955509905457,0.519998243271824,0.0104431442172539,0.50955509905457,"Africa_Northern","Nile",-0.0309631702586106,0.232136592964106,-0.0309631702586106,0.232136592964106
95,3,0.258183261698144,0.000572886091999126,0.257610375606145,0.584153332858746,0.000686345549112409,0.583466987309634,0.584153332858746,0.000686345549112409,0.583466987309634,"Africa_Northern","Dead_Sea",0.000113459457113283,0.325856611703489,0.000113459457113283,0.325856611703489
98,3,0.472215299069539,0.00125330374870941,0.47096199532083,0.525609870051046,0.00220623078642162,0.523403639264624,0.525609870051046,0.00220623078642162,0.523403639264624,"Africa_Northern","Sinai_Peninsula",0.00095292703771221,0.0524416439437948,0.00095292703771221,0.0524416439437948
100,3,0.565558725934226,0.000410463467716571,0.565148262466509,0.601840543483267,0.000215149482888477,0.601625394000379,0.601840543483267,0.000215149482888477,0.601625394000379,"Africa_Northern","Africa_Red_Sea_Gulf_of_Aden_Coast",-0.000195313984828094,0.0364771315338691,-0.000195313984828094,0.0364771315338691
144,3,0.292704093432613,0.00663513499237155,0.286068958440241,0.583224252191977,0.00832202405327183,0.574902228138705,0.430290993581432,0.00759305196071361,0.422697941620718,"Africa_Northern","Africa_North_Interior",0.00168688906090028,0.288833269698464,0.00095791696834206,0.136628983180477
149,3,0.270260201399912,1.81089935395648e-05,0.270242092406372,0.961938032631568,6.70053012775524e-05,0.96187102733029,0.0787493884211524,1.74974222294147e-10,0.0787493882461782,"Africa_Northern","Niger",4.88963077379876e-05,0.691628934923918,-1.81088185653425e-05,-0.191492704160194
151,3,0.422131618472867,8.8335046903602e-05,0.422043283425963,0.873399913797322,0.000232446109066593,0.873167467688255,0.774363280299168,0.000232446109066593,0.774130834190101,"Africa_Northern","Lake_Chad",0.000144111062162991,0.451124184262292,0.000144111062162991,0.352087550764138
87,4,0.308558000437821,0.303871273907792,0.004686726530029,0.336548134107681,0.331491849521756,0.005056284585925,0.336548134107681,0.331491849521756,0.005056284585925,"Africa_Southern","Nile",0.027620575613964,0.000369558055896002,0.027620575613964,0.000369558055896002
162,4,0.255895046014307,0.245883228297827,0.01001181771648,0.063696004087934,0.063696004087934,0,0.063696004087934,0.063696004087934,0,"Africa_Southern","Gulf_of_Guinea",-0.182187224209893,-0.01001181771648,-0.182187224209893,-0.01001181771648
171,4,0.324021887472702,0.320298556724312,0.00372333074838999,0.355316974369538,0.350399398454237,0.00491757591530101,0.355316974369538,0.350399398454237,0.00491757591530101,"Africa_Southern","Africa_East_Central_Coast",0.030100841729925,0.00119424516691102,0.030100841729925,0.00119424516691102
179,4,0.260392835736924,0.257508666006298,0.002884169730626,0.463648884804484,0.454966360043716,0.00868252476076803,0.463648884804484,0.454966360043716,0.00868252476076803,"Africa_Southern","Rift_Valley",0.197457694037418,0.00579835503014203,0.197457694037418,0.00579835503014203
