"Scenario","Protected_or_Unavailable_land_km2","Protected_or_Unavailable_percent_land","Protected_percent_land","Unsuitable_and_Unprotected_percent_land"
"Minimum protected land",48368064.5425708,37.23,37.23,0
"Minimum protected land plus default protection",50096068.5785273,38.56,38.56,0
"Minimum protected land plus default unavailable",70887182.5832319,54.56,38.56,16
"Protection away from land use",35373276.2842611,27.22,27.22,0
"Protection away from land use plus default protection",39978672.0291379,30.77,30.77,0
"Protection away from land use plus default unavailable",67322621.2973766,51.81,30.77,21.04
"Thirty percent uniform protection",26954898.0673498,20.75,20.75,0
"Thirty percent uniform protection plus default protection",38462773.4066172,29.6,29.6,0
"Thirty percent uniform protection plus default unavailable",74032854.4121493,56.98,29.6,27.38
"Current protection",12189054.7638123,9.38,9.38,0
"Current protection plus unsuitable unprotected (default unavailble)",56727421.7616227,43.66,9.38,34.28
