Units,scenario,region,fuel,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1975$/GJ,30percnz,Africa_Eastern,electricity,9.71132,4.74451,7.60574,8.53253,9.23309,9.52403,9.58348,9.49684,9.43389,9.29468,9.13512,9.00572,8.915,8.83684,8.74104,8.65994,8.59894
1975$/GJ,30percnz,Africa_Northern,electricity,11.5363,10.564,10.3691,10.337,10.3862,10.4169,10.3974,10.1454,9.88906,9.6232,9.43459,9.25964,9.1502,8.98044,8.80756,8.66979,8.57315
1975$/GJ,30percnz,Africa_Southern,electricity,18.7767,4.76895,13.265,12.2174,13.9089,13.5968,13.6471,13.5845,13.4613,13.2482,12.9858,12.6767,12.176,11.5184,10.8535,10.1963,10.0113
1975$/GJ,30percnz,Africa_Western,electricity,11.919,2.57394,7.28847,8.54161,9.02846,9.52185,9.9355,10.0672,9.99722,9.92358,9.81602,9.66891,9.53452,9.36925,9.18964,9.06021,8.93745
1975$/GJ,30percnz,Argentina,electricity,8.54044,9.8785,9.24984,8.95333,8.72844,8.66033,8.53332,8.28159,8.0347,7.82742,7.79793,7.73764,7.68859,7.55367,7.41121,7.27315,7.1583
1975$/GJ,30percnz,Australia_NZ,electricity,9.7173,9.39741,9.34291,9.13776,8.96764,8.93831,8.76804,8.48103,8.31201,8.20821,8.17937,8.08267,7.97237,7.87391,7.79587,7.70927,7.60455
1975$/GJ,30percnz,Brazil,electricity,10.0393,9.16869,8.80376,8.63727,8.58103,8.49524,8.47572,8.44604,8.37011,8.27614,8.21665,8.14468,8.1103,7.97041,7.83554,7.70129,7.6083
1975$/GJ,30percnz,Canada,electricity,10.2168,9.45345,9.18193,8.9805,8.82836,8.76264,8.56261,8.36586,8.19317,8.04459,7.93268,7.83654,7.8479,7.83133,7.79984,7.77127,7.72938
1975$/GJ,30percnz,Central America and Caribbean,electricity,10.6768,7.92065,8.89629,9.34603,9.72622,9.97092,10.0394,9.91424,9.84761,9.72908,9.64407,9.55345,9.45239,9.32496,9.23213,9.14101,9.04897
1975$/GJ,30percnz,Central Asia,electricity,7.39128,9.13086,8.95762,8.79801,8.67398,8.61793,8.57044,8.43344,8.3187,8.23801,8.28618,8.20216,8.15223,8.13288,8.09612,8.16869,8.06244
