Units,scenario,fuel,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1975$/GJ,30percnz,electricity,10.6077221875,8.90197134375,9.617221875,9.690825,9.7920675,9.800811875,9.7039075,9.5406434375,9.3687559375,9.205810625,9.0864709375,8.9728275,8.90232125,8.814184375,8.717446875,8.65405375,8.5893053125
1975$/GJ,allansce1nz,electricity,10.60682,8.90430725,9.6253753125,9.694855625,9.792968125,9.7992403125,9.7003275,9.536068125,9.3629334375,9.19915875,9.0822409375,8.9682140625,8.89880125,8.8116665625,8.715349999999999,8.6526375,8.5874790625
1975$/GJ,allansce2nz,electricity,10.6078071875,8.89978334375,9.6224865625,9.6893546875,9.788075,9.7946609375,9.69565375,9.531829375000001,9.3587565625,9.195310625,9.076944062499999,8.964554375,8.8966696875,8.8083903125,8.712328125,8.649699375,8.5848503125
1975$/GJ,defaultnz,electricity,10.608673125,8.88256884375,9.612955,9.677941562500001,9.7703590625,9.7741625,9.671178125,9.5057765625,9.3313796875,9.168388437499999,9.0510775,8.9414696875,8.8735853125,8.7890996875,8.6975878125,8.634845625,8.570435
