Units,scenario,region,gcam-consumer,nodeinput,input,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
2005$/Mcal/day,30perc,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,0.278344,0.28746,0.297569,0.308818,0.321024,0.333926,0.346255,0.359308,0.370113,0.37873,0.385248,0.390129,0.393778,0.396439,0.398237,0.399291,0.399659
2005$/Mcal/day,30perc,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,0.307449,0.309469,0.310941,0.312803,0.314773,0.316834,0.318521,0.320849,0.322709,0.324264,0.325377,0.326285,0.326952,0.327429,0.327842,0.328358,0.328781
2005$/Mcal/day,30perc,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,0.228177,0.231344,0.234437,0.237738,0.241009,0.244313,0.247259,0.250968,0.254213,0.257072,0.259468,0.261421,0.262993,0.264183,0.265008,0.265546,0.265842
2005$/Mcal/day,30perc,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,0.249908,0.253637,0.257769,0.26161,0.265333,0.269092,0.272506,0.277232,0.28148,0.285335,0.288693,0.29155,0.293933,0.295833,0.297245,0.298274,0.298886
2005$/Mcal/day,30perc,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,0.267769,0.274325,0.280116,0.285696,0.290883,0.295859,0.300078,0.30447,0.308098,0.31124,0.313746,0.315738,0.317294,0.318412,0.319068,0.319297,0.319069
2005$/Mcal/day,30perc,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,0.278863,0.281537,0.283537,0.285674,0.287619,0.289447,0.29096,0.293227,0.29502,0.296498,0.29762,0.298437,0.299006,0.299325,0.299432,0.299388,0.299158
2005$/Mcal/day,30perc,Brazil,FoodDemand,FoodDemand,FoodDemand_NonStaples,0.145188,0.147529,0.149526,0.151476,0.153249,0.154964,0.156377,0.158019,0.159384,0.160553,0.161472,0.162164,0.162654,0.162939,0.16303,0.162977,0.162756
2005$/Mcal/day,30perc,Canada,FoodDemand,FoodDemand,FoodDemand_NonStaples,0.253059,0.255297,0.25687,0.258644,0.260314,0.26206,0.263527,0.265709,0.267444,0.268902,0.270021,0.270891,0.271508,0.271846,0.27196,0.271917,0.271662
2005$/Mcal/day,30perc,Central America and Caribbean,FoodDemand,FoodDemand,FoodDemand_NonStaples,0.191882,0.194044,0.195716,0.197563,0.199357,0.201204,0.202764,0.204783,0.206435,0.207878,0.209045,0.209959,0.210664,0.211144,0.211407,0.211518,0.211448
2005$/Mcal/day,30perc,Central Asia,FoodDemand,FoodDemand,FoodDemand_NonStaples,0.248405,0.250649,0.252299,0.25375,0.255031,0.256198,0.257051,0.258271,0.25924,0.260086,0.260719,0.261105,0.261311,0.261367,0.261319,0.261195,0.260904
