Units,scenario,region,subsector,output,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
EJ,30perc,Africa_Eastern,biomass,electricity,0.00443457,0.01233488,0.03217695,0.06463490000000001,0.1155959,0.1882493,0.2816751,0.401225,0.552577,0.73688,0.9433710000000001,1.170571,1.406322,1.653759,1.891188,2.129736,2.373476
EJ,30perc,Africa_Northern,biomass,electricity,0.00210262,0.0050594509999999995,0.010386929999999999,0.01735718,0.024589180000000002,0.03149282,0.0383406,0.045714399999999995,0.055920300000000006,0.0719821,0.0887154,0.1089322,0.1308707,0.155422,0.18279800000000002,0.2107311,0.2397694
EJ,30perc,Africa_Southern,biomass,electricity,5.0762e-4,9.403678000000001e-4,0.0020591150000000003,0.003977423,0.00697561,0.01143623,0.01810108,0.02810024,0.042818999999999996,0.06347130000000001,0.09240140000000001,0.1300767,0.1749476,0.2269929,0.2857325,0.35140899999999997,0.40546099999999996
EJ,30perc,Africa_Western,biomass,electricity,0.00119052,0.003261277,0.01221466,0.02630872,0.0475058,0.0768539,0.1180833,0.1756926,0.25673429999999997,0.362074,0.494652,0.653349,0.8338840000000001,1.042592,1.272548,1.528956,1.819576
EJ,30perc,Argentina,biomass,electricity,0.00777142,0.01063733,0.01311384,0.015488410000000001,0.01694683,0.01788722,0.01903121,0.02035329,0.02204694,0.02438481,0.02768184,0.0309392,0.0340517,0.036788600000000005,0.0393738,0.042360400000000006,0.045905299999999996
EJ,30perc,Australia_NZ,biomass,electricity,0.00206727,0.0035571929999999997,0.006129873,0.00978652,0.01407981,0.01967156,0.02378375,0.02797263,0.03248513,0.0371456,0.041762099999999996,0.047516600000000006,0.0543158,0.060017299999999996,0.0659231,0.0704129,0.0746246
EJ,30perc,Brazil,biomass,electricity,0.0025711,0.005212704,0.01045361,0.01812504,0.02709112,0.03561147,0.042463900000000006,0.0508004,0.062012700000000004,0.0750623,0.090966,0.10836370000000001,0.12530180000000002,0.14276350000000002,0.1595159,0.1743391,0.18945689999999998
EJ,30perc,Canada,biomass,electricity,0.045466,0.05416033,0.06429914,0.07441972,0.08271471,0.0916759,0.0979733,0.1046169,0.1118771,0.12029409999999999,0.1291417,0.13909660000000001,0.1501194,0.1590918,0.1680379,0.1742182,0.1795267
EJ,30perc,Central America and Caribbean,biomass,electricity,0.0229568,0.04209639,0.06707961999999999,0.095464,0.12289359999999999,0.1482571,0.1753137,0.20410730000000002,0.2368964,0.2706886,0.304097,0.33785560000000003,0.36096799999999996,0.384003,0.40274299999999996,0.41805499999999995,0.433573
EJ,30perc,Central Asia,biomass,electricity,0.00210125,0.00401599,0.006904759999999999,0.0101365,0.01320719,0.015209980000000001,0.01658034,0.01790537,0.02008476,0.02653133,0.03233688,0.0389551,0.0481877,0.0561151,0.0640445,0.0732814,0.080402
EJ,30perc,China,biomass,electricity,0.265649,0.3732369,0.4643523,0.5467217,0.6111956,0.684418,0.734028,0.78266,0.8320770000000001,0.875915,0.9147479999999999,0.973594,1.10762,1.199026,1.248075,1.260854,1.265701
