unmanaged_vegetation_types,Land_Type
1,Forest
2,Forest
3,Forest
4,Forest
5,Forest
6,Forest
7,Forest
8,Forest
9,Grassland
10,Grassland
11,Shrubland
12,Shrubland
13,Tundra
14,RockIceDesert
15,RockIceDesert
