"","Scenario","Land_Type","year","min","low_1.5*IQR","Q25","median","Q75","hi_1.5*IQR","max"
"1","CURRENT","a) Bioenergy crops",2025,0,0,0,0,0,0,0
"2","UNIFORM30","a) Bioenergy crops",2025,-9.56691841289035,-9.56691841289035,-5.11734487735272,-1.86417828596367,0.276441515569271,2.28193284893801,2.28193284893801
"3","BIODIV","a) Bioenergy crops",2025,-32.5727543099599,-7.10483219227449,-3.41980156811259,-0.863477575946753,1.28800019068706,4.07033236743172,4.07033236743172
"4","BIODIV30","a) Bioenergy crops",2025,-12.6476913106064,-6.97420024222357,-3.27543752007178,-0.795475904185401,0.878886975958352,3.24745852206134,3.24745852206134
"5","CURRENT","a) Bioenergy crops",2050,-36.6334161000076,-36.6334161000076,118.711724172469,141.184398088874,339.424186528439,556.615277973823,677.303057916865
"6","UNIFORM30","a) Bioenergy crops",2050,-33.5431859776319,-33.5431859776319,103.613853115425,132.331428090786,320.192729564572,609.501192386681,609.501192386681
"7","BIODIV","a) Bioenergy crops",2050,-33.7133256679404,-33.7133256679404,79.9839694341978,129.523754545384,317.254081306373,639.721526424505,639.721526424505
"8","BIODIV30","a) Bioenergy crops",2050,-34.1689361498869,-34.1689361498869,91.1750071959121,134.050533090008,322.16344445453,636.718189355164,636.718189355164
"9","CURRENT","a) Bioenergy crops",2075,-68.5880732807005,-68.5880732807005,68.6547370105193,101.794404971891,236.748062893105,314.33482374297,679.572738326665
"10","UNIFORM30","a) Bioenergy crops",2075,-67.6843825065033,-67.6843825065033,59.299869018797,92.5904494868253,221.951680122107,282.941099542119,596.7587368503
"11","BIODIV","a) Bioenergy crops",2075,-67.652452537641,-67.652452537641,47.2254401355199,87.5237587906981,217.657027354097,312.831911256605,631.050658696153
"12","BIODIV30","a) Bioenergy crops",2075,-67.7806628424135,-67.7806628424135,51.96521024554,92.8456682878672,220.078056274858,312.042905019002,628.751868217641
"13","CURRENT","a) Bioenergy crops",2100,-73.4277095204633,-73.4277095204633,47.0150717188607,82.4514823562063,214.71721661868,266.450183784271,661.948647974797
"14","UNIFORM30","a) Bioenergy crops",2100,-72.8048425700407,-72.8048425700407,47.2823478389687,74.4762384511883,196.476198771,237.201883689694,583.373773932793
"15","BIODIV","a) Bioenergy crops",2100,-72.7270639918412,-72.7270639918412,35.1033499682387,70.8051734397112,196.454779573284,261.974153245115,615.949323067897
"16","BIODIV30","a) Bioenergy crops",2100,-72.8419959068265,-72.8419959068265,34.6167874155382,70.2144653338944,202.428261875182,261.331147414394,613.830770956334
"17","CURRENT","b) Crops",2025,-23.4510369973992,-10.3376723923718,-6.08397344932279,-1.90413528252147,3.19305737714244,11.4706424904375,11.4706424904375
"18","UNIFORM30","b) Crops",2025,-25.6992873814997,-10.4068368163889,-6.83265436829339,-2.45481176211889,2.15179568170109,11.008183955099,11.008183955099
"19","BIODIV","b) Crops",2025,-25.2596423458368,-10.4853852128019,-6.57417214721492,-3.4417282666609,2.5136200148823,10.9618623658995,10.9618623658995
"20","BIODIV30","b) Crops",2025,-25.1581624858853,-10.4645958596038,-6.54789156782088,-2.59931414154017,2.4892242983728,10.9955108900245,10.9955108900245
"21","CURRENT","b) Crops",2050,-42.4980671766123,-42.4980671766123,-24.5638906159624,-13.6691517916106,1.91268783744847,25.3699775321727,47.915203645999
"22","UNIFORM30","b) Crops",2050,-46.6365952420351,-46.6365952420351,-23.7922846485064,-14.9025172328512,-3.34599461890936,21.1639049463939,48.0962855143594
"23","BIODIV","b) Crops",2050,-45.7614276896767,-45.7614276896767,-24.3936335060404,-14.9689514275063,-3.08692559831453,22.5343013216407,47.7017117902391
"24","BIODIV30","b) Crops",2050,-45.5327016439394,-45.5327016439394,-24.3544564653413,-14.9564337864929,-2.77072014439722,23.3706817208705,49.3834546680452
"25","CURRENT","b) Crops",2075,-46.8693679437602,-46.8693679437602,-24.6193872601129,-13.533032479555,5.01721738372507,25.0003867545616,50.8001832561179
"26","UNIFORM30","b) Crops",2075,-49.7021170489889,-49.7021170489889,-26.6694283310339,-13.2627586147149,2.23438343470594,20.6891823200198,49.3151911317886
"27","BIODIV","b) Crops",2075,-48.9712405066318,-48.9712405066318,-25.3391841956674,-13.1359793393885,2.81655508982748,22.0864394946626,49.1424006193637
"28","BIODIV30","b) Crops",2075,-48.8663439282713,-48.8663439282713,-25.2899224869566,-13.1363427424241,2.51802767710173,22.785853474324,51.4063673925237
"29","CURRENT","b) Crops",2100,-44.7094219277973,-44.7094219277973,-27.3835543069144,-12.00348412033,5.62516781277176,47.7655353983089,47.7655353983089
"30","UNIFORM30","b) Crops",2100,-47.6621698956005,-47.6621698956005,-26.7275428993449,-13.5791997929277,2.90292004078425,46.3644593340052,46.3644593340052
"31","BIODIV","b) Crops",2100,-46.8308004197327,-46.8308004197327,-26.9484808854909,-15.0767415395975,3.58864368887084,46.2604932331256,46.2604932331256
"32","BIODIV30","b) Crops",2100,-46.7391292992912,-46.7391292992912,-26.9501546319059,-15.0805774463967,3.24774225122655,48.4975105958826,48.4975105958826
"33","CURRENT","c) Forests (Harvested)",2025,-8.5653035785398,-5.06906360221034,5.78862216725952,9.99082875850022,14.6826627652741,25.2241657709968,25.2241657709968
"34","UNIFORM30","c) Forests (Harvested)",2025,-9.39256897257713,-6.90660608585095,5.37792442008762,9.77245308499045,14.2559472019867,25.8768401948975,25.8768401948975
"35","BIODIV","c) Forests (Harvested)",2025,-9.62414895837518,-6.35291728206008,5.69278799012199,9.87254916291134,14.3008188059353,25.5276243774307,25.5276243774307
"36","BIODIV30","c) Forests (Harvested)",2025,-9.57079254409109,-6.29914879187341,5.73950228752072,9.85882330953216,14.3128483622767,25.4282287907212,25.4282287907212
