"region","scenario","GCAM_basin_ID","gcam_glu_abbr","year","LT_GCAM","lt_gcam_area_ha","value_usd_per_ha","AvailableUnmanaged_area_ha","AvailableUnmanaged_value_usd_per_ha","SuitableProtectedUnmanaged_area_ha","SuitableProtectedUnmanaged_value_usd_per_ha","UnsuitableUnmanaged_area_ha","UnsuitableUnmanaged_value_usd_per_ha","AllManaged_area_ha","AllManaged_value_usd_per_ha","SuitProtUnman2AvailUnman_ratio","percent_conv_avail","SuitProtUnman2AvailUnman_value_ratio","prot_cost_norm","SuitProtUnman2Man_ratio","SuitProtUnman2Man_value_ratio","GCAM_region_ID","unit_id","y_exp","a","b","c","residuals","random_pval"
"Africa_Eastern","Reference",87,"NileR",2015,"AllUnmanaged",130528674.7,4.94188371567615,99859025,5.4282,18975471.7,5.4282,11694178,1e-05,83203089.22,90.2630435941971,0.19002260136227,76.5035155911225,1,-1.63623009413825e-16,0.228062105360371,0.0601375688637755,2,2087,0.305968062372036,0.14,0.29,-2.49,-0.305968062372036,0
"Africa_Eastern","Reference",100,"AfrCstNE",2015,"AllUnmanaged",47605557,2.63252981002491,15632060,7.59432,870107,7.59432,31103390,1e-05,11030518.04,108.267583000578,0.0556616978184577,32.836628715425,1,0,0.0788817893089634,0.0701439876048538,2,2100,0.380556119862118,0.14,0.29,-2.49,-0.380556119862118,0
"Africa_Eastern","Reference",144,"AfrIntN",2015,"AllUnmanaged",3406476.03272031,97.9394102924079,1646449.2,202.635,0.01272031,202.635,1760026.82,1e-05,1434841.99,56.096903110969,7.72590493529955e-09,48.3329160160036,1,0,8.8653036980051e-09,3.6122314916236,2,2144,0.432730257664926,0.14,0.29,-2.49,-0.432730257664926,0
"Africa_Eastern","Reference",151,"LChad",2015,"AllUnmanaged",5707782.03419232,8.67850633801677,5662222.7,8.68973,38187.1500223167,8.68973,7372.18417,1e-05,3948614.56,67.2206419156151,0.00674419782576137,99.2018031887098,1,2.04420256947023e-16,0.0096710249739637,0.129271749753723,2,2151,0.425769016616065,0.14,0.29,-2.49,-0.425769016616065,0
"Africa_Eastern","Reference",170,"ShebJubR",2015,"AllUnmanaged",64891657,28.4242271626377,50038500,29.8928,11665160,29.8928,3187997,1e-05,13427804.92,150.116743633884,0.233123694755039,77.1108372221101,1,0,0.868731715235553,0.199130351993944,2,2170,0.173799577447352,0.14,0.29,-2.49,-0.173799577447352,0
"Africa_Eastern","Reference",171,"AfrCstE",2015,"AllUnmanaged",15357065,6.57162554955976,10344040,7.42597,3246220,7.42597,1766805,1e-05,5052814.42,129.969026867897,0.313825159222122,67.3568810186061,1,0,0.642457792859133,0.057136459193065,2,2171,0.199248634687248,0.14,0.29,-2.49,-0.199248634687248,0
"Africa_Eastern","Reference",177,"Madagascar",2015,"AllUnmanaged",35008498.77,15.9679858732242,28737134,16.2872,5585230,16.2872,686134.77,1e-05,23999844.32,457.743446068004,0.194355846341531,82.0861648161441,1,4.36258372071381e-16,0.232719426240012,0.0355815034380204,2,2177,0.304056363166611,0.14,0.29,-2.49,-0.304056363166611,0
"Africa_Eastern","Reference",179,"RiftValley",2015,"AllUnmanaged",26756830,18.6397859410214,16617550,21.5023,6577250,21.5023,3562030,1e-05,11023466.4,166.66039274199,0.395801426804794,62.1058249426408,1,-1.65224821474935e-16,0.596658960197856,0.129018656720005,2,2179,0.206385567791179,0.14,0.29,-2.49,-0.206385567791179,0
"Africa_Eastern","Reference",183,"CongoR",2015,"AllUnmanaged",769365.16,6.86567827198934,612359,7.10972,130597.6,7.10972,26408.56,1e-05,833910.4,94.623194114291,0.213269666976398,79.5927645072985,1,-1.24924528631244e-16,0.156608671627072,0.0751371803345858,2,2183,0.338255319931461,0.14,0.29,-2.49,-0.338255319931461,0
"Africa_Northern","Reference",75,"MeditE",2015,"AllUnmanaged",2378.9900416325,29.8782815302452,1095.47,64.8855,4.16325e-05,64.8855,1283.52,1e-05,125076.14,302.52211620118,3.80042356248916e-08,46.0476917023272,1,0,3.32857249991885e-10,0.21448183959169,3,3075,0.432730263880868,0.14,0.29,-2.49,-0.432730263880868,0
"Africa_Northern","Reference",80,"MeditS",2015,"AllUnmanaged",21061990,20.2187881321974,10642920,31.5766,2843264,31.5766,7575806,1e-05,16004748.88,69.017082723439,0.267150744344597,50.5314075260695,1,-1.1251096314361e-16,0.17765127221415,0.457518613566033,3,3080,0.32814319493791,0.14,0.29,-2.49,-0.32814319493791,0
"Africa_Northern","Reference",86,"AfrCstNW",2015,"AllUnmanaged",15085785.86,14.0193813670869,6957809,24.7044,1603148.56,24.7044,6524828.3,1e-05,11600877.72,113.426129944869,0.230409969575192,46.1216211377403,1,0,0.138192005699376,0.21780166538352,3,3086,0.34755094711515,0.14,0.29,-2.49,-0.34755094711515,0
"Africa_Northern","Reference",87,"NileR",2015,"AllUnmanaged",21019.464,241.880117731979,15428.2,321.484,386.554,321.484,5204.71,1e-05,3279447.42,667.3545902606,0.0250550291025525,73.3995881150918,1,0,0.000117871687053912,0.481728910974391,3,3087,0.432644406447182,0.14,0.29,-2.49,-0.432644406447182,0
"Africa_Northern","Reference",144,"AfrIntN",2015,"AllUnmanaged",45478187.7,7.72850617357164,4500131,51.837,2280316.7,51.837,38697740,1e-05,3900409.41,78.8612670916421,0.506722293195465,9.89514144601677,1,0,0.584635216537435,0.657318883042571,3,3144,0.208398102931361,0.14,0.29,-2.49,-0.208398102931361,0
"Africa_Southern","Reference",87,"NileR",2015,"AllUnmanaged",4442251.9,6.89628188467509,3082903.8,7.07824,1245152.35,7.07824,114195.75,1e-05,3363508.7312038,34.3585409901175,0.403889459671106,69.399571870294,1,-1.25480122134899e-16,0.370194475325283,0.206011076024326,4,4087,0.256548011408759,0.14,0.29,-2.49,-0.256548011408759,0
"Africa_Southern","Reference",162,"GuineaGulf",2015,"AllUnmanaged",465756.59,5.77832051914263,422834,6.01831,24349.79,6.01831,18572.8,1e-05,201688.78626,139.700216587823,0.0575871145650539,90.7843300724956,1,0,0.120729518242082,0.0430801765881054,4,4162,0.356767540347525,0.14,0.29,-2.49,-0.356767540347525,0
"Africa_Southern","Reference",171,"AfrCstE",2015,"AllUnmanaged",59107991.3,2.92697595552977,37935440,2.9637,20440125,2.9637,732426.3,1e-05,22257693.19,43.9516439888963,0.538813441995137,64.179883575235,1,1.4984283491921e-16,0.91833977697129,0.0674309247851737,4,4171,0.169891512149143,0.14,0.29,-2.49,-0.169891512149142,0
"Africa_Southern","Reference",179,"RiftValley",2015,"AllUnmanaged",11580804.28,6.98014231322592,6429663.6,7.07824,4990641.5,7.07824,160499.18,1e-05,4742086.9718,36.2692084682455,0.776190141580658,55.5200091854069,1,1.25480122134899e-16,1.05241458658985,0.195158380867263,4,4179,0.161454759840265,0.14,0.29,-2.49,-0.161454759840265,0
"Africa_Southern","Reference",182,"AngolaCst",2015,"AllUnmanaged",37475684.7,8.81777761227794,32566980,9.03769,3996815,9.03769,911889.7,1e-05,11205706.6084,72.6180697769446,0.122725994243249,86.9016277106206,1,0,0.356676748702658,0.124455111899289,4,4182,0.260532071785666,0.14,0.29,-2.49,-0.260532071785666,0
"Africa_Southern","Reference",183,"CongoR",2015,"AllUnmanaged",45819096.1,7.03081011904316,34431726,7.07824,11080345,7.07824,307025.1,1e-05,15348017.8068,93.5738325613501,0.321806260888577,75.1471088055794,1,1.25480122134899e-16,0.721939806135149,0.0756433695858217,4,4183,0.188640039667723,0.14,0.29,-2.49,-0.188640039667722,0
"Africa_Southern","Reference",188,"ZambeziR",2015,"AllUnmanaged",105883624.16574,5.56039812545279,72642362.59,5.61958,32126160.0000005,5.61958,1115101.57574,1e-05,26571910.7694,68.4380516443542,0.442251034445608,68.6058520969138,1,1.58050676331705e-16,1.20902709175874,0.0821119226070718,4,4188,0.154580776755652,0.14,0.29,-2.49,-0.154580776755651,0
"Africa_Southern","Reference",190,"AfrCstSE",2015,"AllUnmanaged",19099651.233,3.13157335998034,15352657.1,3.18175,3445789.03,3.18175,301205.103,1e-05,4852396.51696,53.8334138022145,0.224442518813242,80.3818714421025,1,2.79147770786556e-16,0.710121074804243,0.0591036268234788,4,4190,0.190087745285837,0.14,0.29,-2.49,-0.190087745285837,0
"Africa_Southern","Reference",194,"OrangeR",2015,"AllUnmanaged",34428373.2,8.66751288538931,22721470,11.8589,2441764,11.8589,9265139.2,1e-05,3765466.85464,38.5770758369958,0.107465053977582,65.9963509399857,1,0,0.648462486661152,0.307407955183249,4,4194,0.198371824153205,0.14,0.29,-2.49,-0.198371824153205,0
"Africa_Southern","Reference",196,"AfrCstSW",2015,"AllUnmanaged",14414462.6,107.654872695302,6206869,180.536,2388575,180.536,5819018.6,1e-05,1215072.78858,46.9935927847116,0.384827680429537,43.0600097432699,1,3.14859190747596e-16,1.96578758280927,3.84171520630645,4,4196,0.142357946174948,0.14,0.29,-2.49,-0.142357946174948,0
"Africa_Southern","Reference",197,"AfrIntS",2015,"AllUnmanaged",73600168.8,7.91953056123138,46301560,8.13816,25321358,8.13816,1977250.8,1e-05,11656256.051016,40.3729937246601,0.546879154827613,62.9095839791063,1,0,2.17234057738401,0.201574350802456,4,4197,0.14147753564782,0.14,0.29,-2.49,-0.14147753564782,0
"Africa_Southern","Reference",198,"AfrCstS",2015,"AllUnmanaged",3527909.48,14.1477953349114,2412129.3,15.1393,884729.8,15.1393,231050.38,1e-05,933973.09604,104.18885973774,0.366783737505282,68.3727661855995,1,-2.34668292378148e-16,0.947275466232605,0.145306321982101,4,4198,0.167825222056606,0.14,0.29,-2.49,-0.167825222056606,0
"Africa_Southern","Reference",199,"LimpopoR",2015,"AllUnmanaged",20002916.3780725,5.28683949856081,16941388.2,5.38033,2713949.84027253,5.38033,347578.3378,1e-05,2535123.667332,57.6595663876011,0.160196425950061,84.6945909276078,1,1.65078799943521e-16,1.07053942781763,0.0933120093868233,4,4199,0.160515410472801,0.14,0.29,-2.49,-0.1605154104728,0
"Africa_Western","Reference",86,"AfrCstNW",2015,"AllUnmanaged",2245725.71103358,7.43653681742199,786698.4,19.8096,56347.7950335831,19.8096,1402679.516,1e-05,510527.83,41.3211435593276,0.071625663702358,35.0309210129641,1,0,0.110371642293395,0.479405899586443,5,5086,0.362426750023139,0.14,0.29,-2.49,-0.362426750023139,0
"Africa_Western","Reference",87,"NileR",2015,"AllUnmanaged",1142293.63,4.95792018953332,517373,5.16273,579604.8,5.16273,45315.83,1e-05,558178.4,110.020875470201,1.12028420501263,45.2924700280435,1,-1.72036581362985e-16,1.03838629370108,0.0469250038043765,5,5087,0.162211468541894,0.14,0.29,-2.49,-0.162211468541894,0
"Africa_Western","Reference",142,"AfrCstW",2015,"AllUnmanaged",59683112.4,12.7584756239002,45779168,13.1007,12344865,13.1007,1559079.4,1e-05,38955932.02,78.6604696989324,0.269661191745556,76.7037209674742,1,0,0.316893072758781,0.166547441810887,5,5142,0.273066519572902,0.14,0.29,-2.49,-0.273066519572902,0
"Africa_Western","Reference",144,"AfrIntN",2015,"AllUnmanaged",13020537.3,5.81681955538501,6991850,10.2551,393554.3,10.2551,5635133,1e-05,2220446.04,41.0650026189873,0.0562875776797271,53.6986288576586,1,0,0.177241100621387,0.249728463313389,5,5144,0.328335283997021,0.14,0.29,-2.49,-0.328335283997021,0
"Africa_Western","Reference",149,"NigerR",2015,"AllUnmanaged",102334612.2,5.38347740124745,77942360,5.64002,19737440,5.64002,4654812.2,1e-05,58069038.4,55.6170748762153,0.253231233952885,76.1642208089591,1,0,0.339896105460565,0.10140806600406,5,5149,0.265668069146237,0.14,0.29,-2.49,-0.265668069146237,0
"Africa_Western","Reference",151,"LChad",2015,"AllUnmanaged",84391845.11,2.96120434876298,57596422,3.2213,19981397.7,3.2213,6814025.41,1e-05,33598752,43.974724135681,0.346920815671501,68.2488004912398,1,1.37860245816926e-16,0.594706544457366,0.0732534441844569,5,5151,0.206708279358266,0.14,0.29,-2.49,-0.206708279358266,0
"Africa_Western","Reference",152,"SenegalR",2015,"AllUnmanaged",34060027.0994,7.28041095399467,29608796.2,7.41406,3837249.32,7.41406,613981.5794,1e-05,9750831.1,42.226398295463,0.129598288767984,86.9312173874389,1,-1.19796497425179e-16,0.393530487878105,0.175578791923549,5,5152,0.249978061515344,0.14,0.29,-2.49,-0.249978061515344,0
"Africa_Western","Reference",160,"VoltaR",2015,"AllUnmanaged",26542357,7.43177938865135,22260162.6,7.60077,3692068,7.60077,590126.4,1e-05,13064810.42,57.6593832033097,0.165859884599405,83.8665631692016,1,0,0.282596370043615,0.131821909596211,5,5160,0.284915025310096,0.14,0.29,-2.49,-0.284915025310096,0
"Africa_Western","Reference",162,"GuineaGulf",2015,"AllUnmanaged",53060028,14.1546607504697,42171278,14.5159,9568309.8,14.5159,1320440.2,1e-05,14906340.94,205.570535107559,0.226891625148282,79.478431485185,1,1.22373179713297e-16,0.641895273864573,0.0706127460942054,5,5162,0.199331447794024,0.14,0.29,-2.49,-0.199331447794024,0
"Africa_Western","Reference",183,"CongoR",2015,"AllUnmanaged",254665624.503,8.32560975821184,199368699.8,8.40419,52915766,8.40419,2381158.703,1e-05,47024125.74,232.725973835852,0.265416617819564,78.2864590339131,1,-2.11365621124731e-16,1.12528973515798,0.0361119554533596,5,5183,0.157922221922005,0.14,0.29,-2.49,-0.157922221922005,0
"Africa_Western","Reference",188,"ZambeziR",2015,"AllUnmanaged",152138.9214,51.7729766660073,122504.27,52.0998,28680.28,52.0998,954.3714,1e-05,24058.4,120.836000420153,0.23411657405901,80.5213214821701,1,1.36381087021467e-16,1.19211086356532,0.431161241838909,5,5188,0.155200835645997,0.14,0.29,-2.49,-0.155200835645997,0
"Argentina","Reference",169,"ChileCstS",2015,"AllUnmanaged",3526389.09,5.9770896429183,848933.28,16.4184,434841.1,16.4184,2242614.71,1e-05,733898.966638,108.747706961423,0.512220583459751,24.0737269295488,1,0,0.592508124097806,0.150976976515231,31,31169,0.207073535486748,0.14,0.29,-2.49,-0.207073535486748,0
"Argentina","Reference",200,"LaPuna",2015,"AllUnmanaged",3860748.7,13.676005250795,681082.5,45.6093,476567.2,45.6093,2703099,1e-05,287651.9107,35.7020560064209,0.699720224789214,17.6412025988638,1,0,1.65674964174677,1.27749785591612,31,31200,0.144895067687036,0.14,0.29,-2.49,-0.144895067687036,0
"Argentina","Reference",203,"MarChiq",2015,"AllUnmanaged",6949431.5,37.3449331236836,5580491,38.7043,1124863.5,38.7043,244077,1e-05,5017606.06428,129.14169364831,0.201570704083207,80.3014030716038,1,-3.67164752112866e-16,0.224183302871827,0.299704138195701,31,31203,0.307577210207863,0.14,0.29,-2.49,-0.307577210207863,0
"Argentina","Reference",205,"Salinas",2015,"AllUnmanaged",12252562.939,39.3090316475382,8749941.9,47.8891,1307385.6,47.8891,2195235.439,1e-05,3938947.111704,46.7594676456044,0.149416489268346,71.4131561173122,1,1.48372539003677e-16,0.331912453486694,1.02415836645013,31,31205,0.26818797210303,0.14,0.29,-2.49,-0.26818797210303,0
"Argentina","Reference",206,"RioLaPlata",2015,"AllUnmanaged",55602566,41.5777251450796,44978660,43.3295,8375941,43.3295,2247965,1e-05,26707594.912,146.693019841131,0.186220332041906,80.8931371980207,1,0,0.313616446093265,0.29537533583347,31,31206,0.274155285010471,0.14,0.29,-2.49,-0.274155285010471,0
"Argentina","Reference",207,"ChileCstN",2015,"AllUnmanaged",33693.58227,0.0433027735495517,30.5604,45.6093,1.42187,45.6093,33661.6,1e-05,16071.101,35.6252056383256,0.0465265506995982,0.0907009523508288,1,0,8.84737144020189e-05,1.2802536626184,31,31207,0.432665817556609,0.14,0.29,-2.49,-0.432665817556609,0
"Argentina","Reference",209,"Pampas",2015,"AllUnmanaged",5089312.38706595,18.0156402367257,4719784.82,18.4246,256563.100065948,18.4246,112964.467,1e-05,12096732.55681,99.2785612285358,0.0543590671716147,92.7391455080441,1,3.85648934446392e-16,0.0212092892738637,0.185584881287584,31,31209,0.41768008294803,0.14,0.29,-2.49,-0.41768008294803,0
"Argentina","Reference",210,"ArgCstN",2015,"AllUnmanaged",7287157.74,21.4991853550679,5944957.2,21.9258,1200412.8,21.9258,141787.74,1e-05,15009553.87328,87.4976337919454,0.201921184562944,81.581288783794,1,0,0.0799765809253648,0.250587347906297,31,31210,0.379901683317458,0.14,0.29,-2.49,-0.379901683317458,0
"Argentina","Reference",212,"ArgColoR",2015,"AllUnmanaged",22403843.74,81.1525591992794,8379813.8,174.097,2063382.44,174.097,11960647.5,1e-05,9565781.70932,45.9654244127727,0.24623249265992,37.4034647681398,1,1.63252149263939e-16,0.21570452919594,3.78756428824842,31,31212,0.311149277667468,0.14,0.29,-2.49,-0.311149277667467,0
"Argentina","Reference",213,"NegroR",2015,"AllUnmanaged",11351415.3,51.9917349140851,3706936,136.166,627330.3,136.166,7017149,1e-05,4243346.01564,68.7748912345175,0.169231489294663,32.656156981588,1,0,0.147838591924346,1.97987953969543,31,31213,0.342628785670898,0.14,0.29,-2.49,-0.342628785670898,0
"Argentina","Reference",214,"Patagonia",2015,"AllUnmanaged",9925085.32460882,2.05350044156027,120395.339,168.067,872.185608814,168.067,9803817.8,1e-05,1996741.2690074,35.7062016510458,0.00724434696607316,1.21304084612235,1,0,0.000436804518618265,4.70694143394212,31,31214,0.432412222237461,0.14,0.29,-2.49,-0.432412222237461,0
"Argentina","Reference",215,"ArgCstS",2015,"AllUnmanaged",35658587.39,2.54732925966631,1063701.5,67.7626,276769.79,67.7626,34318116.1,1e-05,5744518.0187328,38.7665123993484,0.260194979512579,2.98301637237122,1,2.0971531073486e-16,0.0481798105772246,1.74796740294696,31,31215,0.399654701890108,0.14,0.29,-2.49,-0.399654701890108,0
"Australia_NZ","Reference",184,"AusCstN",2015,"AllUnmanaged",152367030.13,69.3981793217192,66708007.5,70.9535,82319094,70.9535,3339928.63,1e-05,14349237.4543348,59.1382284720065,1.23402117804223,43.7811299748276,1,0,5.7368270796252,1.19979075858835,6,6184,0.140168612618215,0.14,0.29,-2.49,-0.140168612618215,0
"Australia_NZ","Reference",189,"AusCstE",2015,"AllUnmanaged",51769570,36.1630164619188,41489140,37.5462,8373264,37.5462,1907166,1e-05,19329851.09396,58.5892701351838,0.201818210741413,80.1419443893391,1,-1.89244913136376e-16,0.433177884262978,0.640837476100472,6,6189,0.239654985141406,0.14,0.29,-2.49,-0.239654985141407,0
"Australia_NZ","Reference",191,"AusCstW",2015,"AllUnmanaged",54189283.606,16.5744520287237,35331658.9,20.7128,8030782.36,20.7128,10826842.346,1e-05,18264000.396,42.9785119754477,0.227297064729672,65.2004539437904,1,-1.715226178402e-16,0.439705551132096,0.481933855965804,6,6191,0.238050952391571,0.14,0.29,-2.49,-0.238050952391571,0
"Australia_NZ","Reference",193,"AusInt",2015,"AllUnmanaged",288263000,13.9559901964942,83891900,24.7557,78615900,24.7557,125755200,1e-05,15914361.275384,36.0734025938932,0.937109542160805,29.1025556523036,1,1.43510936018796e-16,4.93993435486484,0.686259077877806,6,6193,0.140169760185774,0.14,0.29,-2.49,-0.140169760185774,0
"Australia_NZ","Reference",201,"NewZealand",2015,"AllUnmanaged",21528406,56.811460696156,12367387,71.6158,4710690,71.6158,4450329,1e-05,4519922.3262,89.7461917618411,0.380896142410681,57.4468309451243,1,0,1.04220596285343,0.797981491961758,6,6201,0.162002803746695,0.14,0.29,-2.49,-0.162002803746695,0
"Australia_NZ","Reference",202,"AusCstS",2015,"AllUnmanaged",41462050.25,7.97066947615175,9817605.3,23.3052,4362922.03,23.3052,27281522.92,1e-05,7033750.84446,45.5829879004355,0.444397783031673,23.6785331183665,1,0,0.620283846624504,0.511269687956926,6,6202,0.202602500427673,0.14,0.29,-2.49,-0.202602500427673,0
"Australia_NZ","Reference",208,"MurrayDrlg",2015,"AllUnmanaged",63240855,28.7724768888367,46409913,34.1278,6907205,34.1278,9923737,1e-05,29311097.77176,64.4361714090711,0.148830380268112,73.3859670303319,1,0,0.235651528775384,0.529637302367651,6,6208,0.302864140558931,0.14,0.29,-2.49,-0.302864140558931,0
"Australia_NZ","Reference",211,"Tasmania",2015,"AllUnmanaged",5211552.2,58.1408089001127,2274876,63.6173,2488040,63.6173,448636.2,1e-05,1294368.795018,79.850511348759,1.09370356889782,43.6506421253921,1,-1.11690174804668e-16,1.9222033237949,0.796704979410113,6,6211,0.142608946013365,0.14,0.29,-2.49,-0.142608946013365,0
"Brazil","Reference",161,"SAmerCstNE",2015,"AllUnmanaged",7468529.245,13.2600842165924,796512.9,13.625,6471988,13.625,200028.345,1e-05,814520.62,157.588973459849,8.1254026143205,10.6649230908916,1,1.30374813900936e-16,7.94576323924126,0.0864590948266533,7,7161,0.140168430463531,0.14,0.29,-2.49,-0.140168430463531,0
"Brazil","Reference",168,"AmazonR",2015,"AllUnmanaged",326620109,11.4094317221912,85648409.9,11.6412,234468912,11.6412,6502787.1,1e-05,46403999.3,135.354421720392,2.7375746061574,26.2226383311874,1,0,5.05277380262351,0.0860053173885058,7,7168,0.140169434277763,0.14,0.29,-2.49,-0.140169434277763,0
"Brazil","Reference",172,"BrzCstN",2015,"AllUnmanaged",20385369,4.86043254652344,11729720,5.84281,5228161,5.84281,3427488,1e-05,6098691.48,30.841820029416,0.445719164651842,57.539895402433,1,0,0.857259465763302,0.189444397069541,7,7172,0.174774171982842,0.14,0.29,-2.49,-0.174774171982842,0
"Brazil","Reference",174,"TocantinsR",2015,"AllUnmanaged",60704233,7.95630714893128,43155195,8.4141,14246249,8.4141,3302789,1e-05,29817270.62,35.1579334522654,0.330116663822281,71.0909155214925,1,2.11116677885959e-16,0.477785146117442,0.239322940053458,7,7174,0.229196013418929,0.14,0.29,-2.49,-0.229196013418929,0
"Brazil","Reference",186,"BrzCstE",2015,"AllUnmanaged",21114911.1,17.4419079165499,19312829,17.8292,1343416.4,17.8292,458665.7,1e-05,6309672.26,42.9362781306221,0.0695608292291098,91.4653578626718,1,1.99263773966331e-16,0.212913816224109,0.415247915661424,7,7186,0.312341584934127,0.14,0.29,-2.49,-0.312341584934127,0
"Brazil","Reference",187,"ParnaibaR",2015,"AllUnmanaged",28994645.6,12.6897314824026,24862760,12.9087,3640053,12.9087,491832.6,1e-05,4074834.7,43.8205226806248,0.146405829441301,85.7494874846823,1,1.3760927431889e-16,0.893300776102648,0.294581150801918,7,7187,0.171803723496999,0.14,0.29,-2.49,-0.171803723496999,0
"Brazil","Reference",192,"SaoFrancR",2015,"AllUnmanaged",43593264.1,13.8467824273888,35222370,14.3414,6867414,14.3414,1503480.1,1e-05,19320064.44,34.234347431267,0.194973081027767,80.7977349876859,1,1.2386216404258e-16,0.355455025594107,0.418918456932575,7,7192,0.260898800213289,0.14,0.29,-2.49,-0.260898800213289,0
"Brazil","Reference",195,"BrzCstS",2015,"AllUnmanaged",46276265,36.0433711500537,38853700,37.182,6005441,37.182,1417124,1e-05,29831331.84,45.2665212513777,0.154565485397787,83.9603196152498,1,1.91098578817734e-16,0.201313204258198,0.821401755030343,7,7195,0.317387614366438,0.14,0.29,-2.49,-0.317387614366438,0
"Brazil","Reference",206,"RioLaPlata",2015,"AllUnmanaged",57466382,18.6778855215904,51242377.8,19.0442,5118639.9,19.0442,1105364.3,1e-05,81591793.68,75.8115023166114,0.0998907568258864,89.1693125904464,1,0,0.0627347392321723,0.251204624866366,7,7206,0.390418491145603,0.14,0.29,-2.49,-0.390418491145603,0
"Canada","Reference",2,"NWTerr",2015,"AllUnmanaged",88185034.6,1.2679309890573,1452204.4,16.2659,5421791.2,16.2659,81311039,1e-05,4480615.32,26.6069073859334,3.73349040947679,1.64676966628984,1,0,1.21005505109954,0.611341249250166,8,8002,0.154543932428894,0.14,0.29,-2.49,-0.154543932428894,0
