"region","scenario","year","LT_GCAM","lt_gcam_area_ha","value_usd_per_ha","AvailableUnmanaged_area_ha","AvailableUnmanaged_value_usd_per_ha","SuitableProtectedUnmanaged_area_ha","SuitableProtectedUnmanaged_value_usd_per_ha","UnsuitableUnmanaged_area_ha","UnsuitableUnmanaged_value_usd_per_ha","AllManaged_area_ha","AllManaged_value_usd_per_ha","SuitProtUnman2AvailUnman_ratio","percent_conv_avail","SuitProtUnman2AvailUnman_value_ratio","prot_cost_norm","SuitProtUnman2Man_ratio","SuitProtUnman2Man_value_ratio","GCAM_region_ID","y_exp","a","b","c","residuals","random_pval"
"Africa_Eastern","Reference",2015,"AllUnmanaged",330031833.82417,12.610900561389,194450039.89,14.9998070707336,81787451.6,15.2258689187426,53794342.33417,1e-05,153954904.27,159.94704411897,0.420609075967621,58.918570865378,1.01507098370952,0.0150709837095205,0.531242911603286,0.0951931872365044,2,0.122470289386345,0.03,97.54,-13.01,-0.107399305676824,0.00355146480770608
"Africa_Eastern","Reference",2020,"AllUnmanaged",316518135.93417,12.6609750914824,180936383.01,15.0499780709805,81787410.59,15.7033838253775,53794342.33417,1e-05,167102035.767054,180.314454967868,0.452023021735102,57.164617906012,1.04341572800408,0.043415728004082,0.489445925745719,0.0870888794144422,2,0.192798855928308,0.03,97.54,-13.01,-0.149383127924226,0.00355146480770608
"Africa_Eastern","Reference",2025,"AllUnmanaged",308044237.91417,15.4319731439084,172462484.99,16.8878277561906,81787410.59,20.6905956187309,53794342.33417,2.76949991441872,175930442.114737,268.755384383626,0.474233051870628,55.9862720230635,1.22517803458449,0.225178034584487,0.464884926149737,0.0769867203449097,2,0.255917046592318,0.03,97.54,-13.01,-0.0307390120078306,0.00355146480770608
"Africa_Eastern","Reference",2030,"AllUnmanaged",302140215.65417,18.7916321232348,166558462.73,19.4861848379163,81787410.59,26.0347085786896,53794342.33417,5.62898211738896,181803138.052529,359.313454090517,0.491043260423108,55.1262142874231,1.33605981854545,0.336059818545448,0.449867980641615,0.07245681530236,2,0.305703708993084,0.03,97.54,-13.01,0.0303561095523648,0.00355146480770608
"Africa_Eastern","Reference",2035,"AllUnmanaged",315687803.63417,29.9017475628279,180106050.71,29.958157475595,81787410.59,39.7053196223557,53794342.33417,14.8078082253663,168573494.558825,567.742312627336,0.454106956804528,57.0519508947242,1.32535919990077,0.325359199900767,0.485173608128886,0.0699354596958112,2,0.202381441642373,0.03,97.54,-13.01,0.122977758258394,0.00355146480770608
"Africa_Eastern","Reference",2040,"AllUnmanaged",332392253.47417,51.5104742160542,196810500.55,51.9131296665074,81787410.59,63.0971951072667,53794342.33417,32.4212043204368,152056181.644907,921.17739603549,0.415564262889631,59.210315069901,1.2154380888343,0.215438088834296,0.537876261952941,0.0684962477138722,2,0.114421310544903,0.03,97.54,-13.01,0.101016778289393,0.00355146480770608
"Africa_Eastern","Reference",2045,"AllUnmanaged",345079190.18417,81.819184555433,209497437.26,83.3367660508325,81787410.59,94.0727803771563,53794342.33417,57.2790703070979,139430181.681712,1392.93730649565,0.390398143574885,60.7099596901773,1.12882686520107,0.128826865201071,0.586583260550449,0.0675355451666555,2,0.0725026279743147,0.03,97.54,-13.01,0.0563242372267565,0.00355146480770608
"Africa_Eastern","Reference",2050,"AllUnmanaged",354161434.81317,121.885175414741,218579681.889,125.071637321336,81787410.59,134.145954029883,53794342.33417,90.2968504922274,130401786.936378,2006.90010276604,0.374176638391914,61.7175277721322,1.07255295367432,0.0725529536743238,0.627195474168641,0.0668423674128046,2,0.0530484526441104,0.03,97.54,-13.01,0.0195045010302134,0.00355146480770608
"Africa_Eastern","Reference",2055,"AllUnmanaged",358400663.26917,158.648803248754,222818910.345,163.27529079463,81787410.59,171.107769494878,53794342.33417,120.54339266744,126030658.465612,2617.96481756464,0.367057762123354,62.1703398404863,1.04797099831903,0.047970998319033,0.648948530347605,0.0653590790628162,2,0.0461595174740477,0.03,97.54,-13.01,0.00181148084498529,0.00355146480770608
"Africa_Eastern","Reference",2060,"AllUnmanaged",361263594.34717,201.088615171503,225681841.423,207.343119254621,81787410.59,213.851572007059,53794342.33417,155.444834000891,123039962.179119,3331.69307006118,0.362401379190735,62.470131215636,1.03138976965252,0.031389769652521,0.664722332008974,0.0641870567036154,2,0.0422520353281737,0.03,97.54,-13.01,-0.0108622656756527,0.00355146480770608
"Africa_Eastern","Reference",2065,"AllUnmanaged",361719319.52617,240.380786494856,226137567.602,247.895353330309,81787409.59,254.372641328617,53794342.33417,187.518658163594,122389760.310219,4042.95096882872,0.361671041469523,62.5174148558684,1.02612912227394,0.0261291222739379,0.668253695265803,0.062917567709784,2,0.0414817399067591,0.03,97.54,-13.01,-0.0153526176328212,0.00355146480770608
"Africa_Eastern","Reference",2070,"AllUnmanaged",361900142.14217,281.291922303985,226318389.218,290.074842415673,81787410.59,296.734063309959,53794342.33417,220.86346611135,122045809.859834,4802.67698362192,0.361382081555992,62.5361426713926,1.02295690601374,0.0229569060137379,0.670136981219845,0.0617851386470257,2,0.0410851774666948,0.03,97.54,-13.01,-0.0181282714529569,0.00355146480770608
"Africa_Eastern","Reference",2075,"AllUnmanaged",360746369.27717,313.235696679186,225164616.353,322.70015851147,81787410.59,331.025663126405,53794342.33417,246.573347962697,123011378.346233,5479.01153276784,0.363233850481101,62.4163222499408,1.02579950581164,0.0257995058116448,0.664876791802117,0.0604170407648659,2,0.0422175979979406,0.03,97.54,-13.01,-0.0164180921862958,0.00355146480770608
"Africa_Eastern","Reference",2080,"AllUnmanaged",360164018.83017,351.016132211344,224582265.906,361.419460002627,81787410.59,371.057970167723,53794342.33417,277.112952327671,123467624.371075,6236.85317676825,0.364175729815784,62.3555530714739,1.02666848698469,0.0266684869846939,0.662419893527657,0.0594944212491456,2,0.0427736587676424,0.03,97.54,-13.01,-0.0161051717829485,0.00355146480770608
"Africa_Eastern","Reference",2085,"AllUnmanaged",356274594.40717,345.142777519208,220692841.483,354.293533125291,81787410.59,369.081751238264,53794342.33417,271.205393837127,127106175.269165,6457.89797919429,0.370593853613055,61.9445913201378,1.04174001704892,0.0417400170489215,0.643457412016402,0.0571519947244988,2,0.0477191048425291,0.03,97.54,-13.01,-0.00597908779360759,0.00355146480770608
"Africa_Eastern","Reference",2090,"AllUnmanaged",351893970.14817,333.970904730755,216312217.224,341.56531955157,81787410.59,361.969865750917,53794342.33417,260.864197615937,131217409.482381,6576.93255563651,0.378098896306471,61.4708507602215,1.05973834295044,0.0597383429504369,0.623296945981712,0.0550362745381514,2,0.0545024977265387,0.03,97.54,-13.01,0.00523584522389818,0.00355146480770608
