"","Scenario","Land_Type","year","min","low_1.5*IQR","Q25","median","Q75","hi_1.5*IQR","max"
"1","UNIFORM30","a) Bioenergy crops",2050,-32.4530111844073,-15.9106178700193,-10.0105653942738,-5.29012513523912,-1.6464235976241,5.66386803773776,12.4867405180384
"2","BIODIV","a) Bioenergy crops",2050,-66.0233704924785,-16.9438226800182,-10.1730096146069,-5.54870246827862,1.74841514158015,5.21925073303256,5.21925073303256
"3","BIODIV30","a) Bioenergy crops",2050,-28.6173149249361,-16.6007667809935,-9.2449627062149,-4.19876177596587,1.29495409081998,4.10186196909901,4.10186196909901
"4","UNIFORM30","a) Bioenergy crops",2075,-53.5886497494954,-27.3089547963564,-12.1861865265934,-6.2920440835983,-1.91560196814476,9.11874933476891,74.8445853326115
"5","BIODIV","a) Bioenergy crops",2075,-80.4338068315452,-31.8713018605671,-12.6833749003447,-3.57815256837787,0.558234324885929,4.97391227984632,72.4501603776854
"6","BIODIV30","a) Bioenergy crops",2075,-42.3789928251682,-26.1779155322504,-11.4378028551751,-6.35676219100428,-0.538189019941185,4.07901764072638,4.07901764072638
"7","UNIFORM30","a) Bioenergy crops",2100,-71.6593448466468,-23.0109526291809,-12.2573342140995,-6.83312192996969,-2.37084099822172,11.1778656510132,35.2947920892401
"8","BIODIV","a) Bioenergy crops",2100,-108.295476524563,-26.758409200936,-13.670315932588,-3.01180076740814,-0.0152703589011429,4.89474310417475,32.5430856906068
"9","BIODIV30","a) Bioenergy crops",2100,-50.4807402066701,-29.7457452302522,-12.9618765630146,-3.48039673268304,-0.320132209717331,3.99351310899723,3.99351310899723
"10","UNIFORM30","b) Crops",2025,-1738.07283495608,-51.772357560835,-11.7913376388244,3.48101594456078,19.3532381522442,56.1738951856979,141.757930895602
"11","BIODIV","b) Crops",2025,-1230.24656267279,-13.5713938930651,-4.43549805481445,2.43281439875397,15.6991266193541,33.5897038965641,85.976645474778
"12","BIODIV30","b) Crops",2025,-1124.83251216715,-28.5480159935003,-4.05288655851677,1.67670378761426,15.3784605480291,36.5089006752785,76.2868303737693
"13","UNIFORM30","b) Crops",2050,-274.936785470071,-34.919217002627,-10.6120814054554,0.377921525072219,8.30122553891817,36.4532333962301,36.4532333962301
"14","BIODIV","b) Crops",2050,-285.312120159912,-13.0766721649563,-7.11840618911545,0.553123454073312,7.67884454486514,21.2591572846248,59.5785792157514
"15","BIODIV30","b) Crops",2050,-244.860028392996,-12.4654049326578,-5.01673352613065,1.75252312703326,6.11870823634241,21.2248816998358,43.9959314574449
"16","UNIFORM30","b) Crops",2075,-55.4656841867392,-28.5728326282673,-10.2685043643236,-1.60571874312629,2.45373903728281,18.3813416473095,32.0508247708029
"17","BIODIV","b) Crops",2075,-57.6468430967857,-15.2028173083555,-5.55827772837449,0.205130408483752,5.0577986489628,14.0753005300583,90.8708449071117
"18","BIODIV30","b) Crops",2075,-50.0668540618394,-14.9135249145364,-4.54171867009015,-0.0150073325133707,4.64204540036664,13.9523579285861,68.9985462466193
"19","UNIFORM30","b) Crops",2100,-51.7613866247351,-39.6890715157803,-13.3092789436496,-2.39564009922508,4.7786847518036,23.5126118419626,31.9327403705134
"20","BIODIV","b) Crops",2100,-45.9073517518209,-12.0523636420187,-4.23466776790033,-0.2266882219364,4.81227070479448,10.4739827807254,134.189341952274
"21","BIODIV30","b) Crops",2100,-42.264082435858,-8.89513281116594,-2.75403898168944,-0.398959897815527,4.83893761427115,10.4808442225046,104.978628350828
"22","UNIFORM30","c) Forests (Harvested)",2025,-68.6888434805337,-10.7497338784229,-4.05623460426717,-1.86845467710193,1.9289393588436,9.65833127164379,36.2501366690163
"23","BIODIV","c) Forests (Harvested)",2025,-89.352789161853,-7.92194653055794,-2.54177891863541,-0.780290945578426,2.33792473710733,6.89603611703002,75.855319905838
"24","BIODIV30","c) Forests (Harvested)",2025,-89.2331665206149,-10.8326828416708,-2.52253562428059,-0.471109030291186,3.61975141900609,11.7390931486717,78.263267523295
"25","UNIFORM30","c) Forests (Harvested)",2050,-291.427476512638,-45.871383390493,-17.4644291774164,-8.38860838877135,3.0524461251969,21.175292235548,54.6606784745726
"26","BIODIV","c) Forests (Harvested)",2050,-169.709672112757,-49.3017228693011,-21.0931003056001,-6.15887228564543,0.48461214755568,31.4744249540529,64.2640623700479
"27","BIODIV30","c) Forests (Harvested)",2050,-165.514120352621,-33.8211223885745,-15.034553927398,-3.35875946458956,1.72933842882228,12.9265459634523,60.7081320622063
"28","UNIFORM30","c) Forests (Harvested)",2075,-112.774847425976,-48.5772112932508,-23.4877392921846,-11.6012958578368,-1.74992156951252,17.7062636009307,67.1916742606341
"29","BIODIV","c) Forests (Harvested)",2075,-140.138040798168,-52.6966364976321,-35.5268733709689,-8.59574983945177,-1.33378584067589,39.8628302614519,39.8628302614519
"30","BIODIV30","c) Forests (Harvested)",2075,-130.670688881854,-54.8916172688513,-29.6859731394626,-6.49869123573429,-1.21021774912957,34.82782495916,34.82782495916
"31","UNIFORM30","c) Forests (Harvested)",2100,-72.9740153486585,-35.0505061026303,-18.0761065321592,-9.73192384666381,-1.29810747607638,23.813586052436,28.6172611534149
"32","BIODIV","c) Forests (Harvested)",2100,-103.050960282044,-39.8299380055898,-22.7400473691607,-7.78792870664531,-1.2841107938403,27.1062580667185,27.1062580667185
"33","BIODIV30","c) Forests (Harvested)",2100,-83.2914786744846,-39.3316739066773,-17.0506274842005,-4.87165454917105,-0.576648140380906,20.0128342799325,29.0039209700989
"34","UNIFORM30","d) Forests (Unmanaged)",2025,-52.0882565814087,-20.1272416516139,-12.6575945223482,-5.8512961824062,-1.8180419358912,13.4508220567914,132.483779998809
"35","BIODIV","d) Forests (Unmanaged)",2025,-51.0626871937208,-21.0420081962942,-13.8309214694656,-9.23626798969268,-3.47989107475898,8.62721521590789,106.877984041897
"36","BIODIV30","d) Forests (Unmanaged)",2025,-33.1296937582095,-21.491360597405,-10.4062918364465,-4.22875388043036,-1.85775388961229,8.11346277346449,146.637816784529
"37","UNIFORM30","d) Forests (Unmanaged)",2050,-120.863488597026,-20.6659020583145,-18.0578238629751,-13.9766359696094,-6.73429440974223,2.71977544948911,47.348262674046
"38","BIODIV","d) Forests (Unmanaged)",2050,-86.4175957591812,-42.617417269905,-20.5377989578163,-11.2458156664107,-5.28942695776612,4.99382897089538,30.8411855148331
"39","BIODIV30","d) Forests (Unmanaged)",2050,-82.847910922339,-23.7619923515705,-13.711048376428,-9.11415802160962,-3.00950743726672,4.35140226590527,48.8497307876167
"40","UNIFORM30","d) Forests (Unmanaged)",2075,-98.6965647348035,-23.0331668171696,-17.1995841082273,-14.5637166047703,-9.88993682907296,-5.54918083371118,130.484407423304
"41","BIODIV","d) Forests (Unmanaged)",2075,-111.896106454312,-43.616335270486,-22.3657200731815,-11.8189169883607,-6.87070133189792,2.68356052809472,68.0887203230166
"42","BIODIV30","d) Forests (Unmanaged)",2075,-119.850044871698,-28.8980588267502,-15.6677841687331,-9.11903636005768,-4.13457023761304,2.48704074352371,65.9261119964075
