"","Scenario","Land_Type","year","min","low_1.5*IQR","Q25","median","Q75","hi_1.5*IQR","max"
"1","UNIFORM30","a) Bioenergy crops",2050,-19.5697455124378,-19.5697455124378,-10.9639387993246,-6.52651535191183,-2.94816832160716,-0.28640344380131,-0.28640344380131
"2","BIODIV","a) Bioenergy crops",2050,-53.8720404451949,-20.9436794214672,-9.10208915036919,-4.47301709518432,-1.04724525008546,2.5877891579272,2.5877891579272
"3","BIODIV30","a) Bioenergy crops",2050,-21.3501340689831,-10.1590301223199,-8.04778993063531,-4.70519059510948,-0.884370067273218,1.71686770945223,1.71686770945223
"4","UNIFORM30","a) Bioenergy crops",2075,-26.6042181749604,-21.5010631735026,-12.3264090213671,-8.88536476335241,-3.46733599076875,-0.42468451421588,-0.42468451421588
"5","BIODIV","a) Bioenergy crops",2075,-58.4662053695052,-19.6477117316442,-10.875578712588,-7.06812257265543,-2.29234875689303,5.9178248607995,5.9178248607995
"6","BIODIV30","a) Bioenergy crops",2075,-23.3960490149928,-11.2242324697246,-9.32074228010217,-5.86147962016443,-2.27321375025599,3.93486566832995,3.93486566832995
"7","UNIFORM30","a) Bioenergy crops",2100,-43.2024943851274,-21.4530296717621,-13.9788423296964,-9.81479155566833,-4.45130361887618,3.50160962103929,3.50160962103929
"8","BIODIV","a) Bioenergy crops",2100,-61.4243423083573,-30.1499585835208,-15.3457091629101,-7.76651738331734,-3.65477014970613,2.9083811714517,2.9083811714517
"9","BIODIV30","a) Bioenergy crops",2100,-24.4537615203871,-19.697448077195,-10.6817853566519,-6.37580179202289,-3.83031187688298,2.35650047066003,2.35650047066003
"10","UNIFORM30","b) Crops",2025,-79.3386716522938,-25.5120486680423,-9.57861086076676,-5.69639779110191,14.966915065353,29.5342809784622,556.233546034381
"11","BIODIV","b) Crops",2025,-41.9596000424403,-28.6100945768628,-11.171836636816,-3.25779312041869,4.52610821638792,11.2705314686336,225.305798820395
"12","BIODIV30","b) Crops",2025,-29.5631256020878,-24.1153657729633,-8.15033053250403,-3.31484525510195,4.64750955628296,11.8595407482465,175.906384729158
"13","UNIFORM30","b) Crops",2050,-111.297585166628,-37.6035295960374,-13.1527547849143,-6.35641025307565,18.2131653404936,50.921229687952,83.2378533349414
"14","BIODIV","b) Crops",2050,-124.281476668777,-27.2711333651428,-13.3074740967175,-1.70494665363717,3.83500267231426,16.1051199929818,111.803500908542
"15","BIODIV30","b) Crops",2050,-91.2639887516258,-19.9279935081044,-8.81081396445013,-2.66648073203198,3.8783618050615,16.5191614930783,110.688992344431
"16","UNIFORM30","b) Crops",2075,-127.692156055066,-25.468112005626,-12.7535038763815,-7.5929723997916,4.00014641169537,29.0926617712242,592.09305879293
"17","BIODIV","b) Crops",2075,-346.122284928139,-20.6944156055922,-11.5878013724817,-3.65827152285379,0.891504447063652,10.9523303865619,885.928453980915
"18","BIODIV30","b) Crops",2075,-344.76538667097,-24.378719108375,-9.25867836063933,-3.7889687145485,2.52321971040337,10.5816725877176,852.069941967916
"19","UNIFORM30","b) Crops",2100,-1290.35024112675,-23.1982828119816,-16.4757857388672,-8.85254745432098,-0.449014953302242,15.2408492139763,90.6226437659475
"20","BIODIV","b) Crops",2100,-1000.49041671654,-32.0703909110078,-16.1792832177649,-4.23248540625278,1.08511978289028,11.5211389712765,96.2826966430332
