"","Scenario","Land_Type","year","min","low_1.5*IQR","Q25","median","Q75","hi_1.5*IQR","max"
"21","BIODIV30","b) Crops",2100,-602.683482754758,-18.978289659344,-10.1862979283118,-4.27250219798929,0.627208036318364,11.2136348308188,69.8741801148429
"22","UNIFORM30","c) Forests (Harvested)",2025,-30.5558416910886,-5.22292009428025,-2.93755433458084,-1.13601556284812,-0.350089135047859,1.86981004974994,19.9533064042539
"23","BIODIV","c) Forests (Harvested)",2025,-19.9247469367166,-3.64658900458551,-2.03028564488394,-0.342445423645375,0.646317914674117,4.48519040902669,287.345837976604
"24","BIODIV30","c) Forests (Harvested)",2025,-17.8048854408772,-4.21479926209138,-1.78711279126384,-0.30528755236296,0.33728984846495,2.50611414233973,368.815804670437
"25","UNIFORM30","c) Forests (Harvested)",2050,-23.8458271850872,-7.81708249964982,-4.50868582016416,-2.20926206444309,-0.77563211857968,2.78188864547952,61.2441120799721
"26","BIODIV","c) Forests (Harvested)",2050,-26.1970037203873,-5.89586823824504,-2.98695646257058,-0.505707219620694,1.34235485899803,6.22215202959106,72.0055294429002
"27","BIODIV30","c) Forests (Harvested)",2050,-22.5840813615768,-6.81517401743955,-2.72556493528147,-0.662274218543122,0.399654844619967,3.25186830943251,76.4321640577406
"28","UNIFORM30","c) Forests (Harvested)",2075,-212.972880339317,-14.966500632732,-6.76905652610305,-3.4409296273124,-1.17876313625112,6.08649697715442,6.08649697715442
"29","BIODIV","c) Forests (Harvested)",2075,-239.893082749001,-8.10034968434926,-5.03806641033239,-2.64298015740636,0.200780569401801,7.70622421898998,7.70622421898998
"30","BIODIV30","c) Forests (Harvested)",2075,-259.945541702964,-9.90815184584625,-5.36473524396099,-2.08391865538489,0.0118104822210535,3.75862903847203,3.75862903847203
"31","UNIFORM30","c) Forests (Harvested)",2100,-56.9220195757889,-12.5743903985127,-6.45827706281432,-3.68077903767183,-0.421917955114369,5.70956601317061,5.70956601317061
"32","BIODIV","c) Forests (Harvested)",2100,-64.9819006563831,-11.6918051686041,-5.13212119812845,-2.07066409003411,0.673353282363752,7.90930522308931,7.90930522308931
"33","BIODIV30","c) Forests (Harvested)",2100,-70.3545051878561,-7.76301210379066,-4.30821732337745,-2.45782513993971,-0.0436382636995627,3.92618026293204,3.92618026293204
"34","UNIFORM30","d) Forests (Unmanaged)",2025,-17.4756395686381,-15.0165256830406,-7.71151215918282,-4.51918156223626,-1.33660773585731,2.43058786140085,47.3285378880961
"35","BIODIV","d) Forests (Unmanaged)",2025,-35.1309963681668,-22.5639700426911,-10.916368115737,-8.83539940876523,-2.35278844179365,2.35290059881017,18.708986206052
"36","BIODIV30","d) Forests (Unmanaged)",2025,-18.585417169354,-18.585417169354,-8.47972607229049,-2.99442128275655,-1.17150615305858,0.846637834563971,16.7938931295761
"37","UNIFORM30","d) Forests (Unmanaged)",2050,-21.1711138190281,-21.1711138190281,-10.4029153611156,-6.70358322881913,-0.928438175489075,3.05570629498927,35.1216929726187
"38","BIODIV","d) Forests (Unmanaged)",2050,-43.3432171398552,-20.8997294689315,-12.2593362340549,-10.0431346126886,-3.63211577029935,1.51866109016678,10.5169751717253
"39","BIODIV30","d) Forests (Unmanaged)",2050,-21.43778892279,-21.43778892279,-9.98310426847611,-4.56248177058235,-0.738326437884641,9.4734413546755,9.4734413546755
"40","UNIFORM30","d) Forests (Unmanaged)",2075,-22.1126029477103,-22.1126029477103,-10.6076535426175,-7.37956499296482,-0.224777873247369,3.59258968484974,31.2146825598683
"41","BIODIV","d) Forests (Unmanaged)",2075,-46.034767144815,-26.5666391717602,-13.248013588717,-9.96512466700282,-3.79673824822208,7.06466124779639,7.06466124779639
"42","BIODIV30","d) Forests (Unmanaged)",2075,-22.4019379019284,-22.4019379019284,-10.4515031881701,-4.85953398718553,-1.59056164385909,6.30200992427915,6.30200992427915
"43","UNIFORM30","d) Forests (Unmanaged)",2100,-22.0253779562675,-22.0253779562675,-12.274631393031,-7.9470260872733,0.245579962639643,3.63114977002577,45.1950285701688
"44","BIODIV","d) Forests (Unmanaged)",2100,-45.8636625740146,-25.973050338881,-13.4310137647208,-10.0344305364337,-3.81797620890837,3.02056690322178,16.9076105016886
"45","BIODIV30","d) Forests (Unmanaged)",2100,-22.2815499987568,-22.2815499987568,-10.6368339660927,-4.67853726269929,-2.04490807247952,1.63997604210124,14.7945053728135
"46","UNIFORM30","e) Grassland",2025,-15.7788143508318,-15.7788143508318,-8.57726530552872,-4.37100498183562,-2.74835615742171,1.91226873295306,1.91226873295306
"47","BIODIV","e) Grassland",2025,-14.4672152101261,-7.255892539158,-3.26477852455276,-1.27298218513561,1.288136637679,7.05793133607999,7.05793133607999
"48","BIODIV30","e) Grassland",2025,-14.9495470912849,-7.63280463169043,-3.68468907716499,-2.29201952100501,-0.763750223380019,2.94398869722282,5.22328670806731
"49","UNIFORM30","e) Grassland",2050,-19.1860857380152,-19.1860857380152,-10.8869109508557,-7.84859822898814,-3.58162426552088,7.1622599870479,7.1622599870479
"50","BIODIV","e) Grassland",2050,-17.6215685654109,-14.0205699843053,-5.67189420820283,-2.96017439410529,0.633752504595275,6.29604233982953,6.29604233982953
"51","BIODIV30","e) Grassland",2050,-18.251623860769,-7.93745514966313,-4.84271780264943,-3.60904452591377,-1.29907243026878,2.58921355388899,4.12219813015074
"52","UNIFORM30","e) Grassland",2075,-22.1195808058883,-22.1195808058883,-13.3498183922894,-8.07540567143572,-3.01253559303721,5.3920231946909,5.3920231946909
"53","BIODIV","e) Grassland",2075,-18.7237069542995,-18.7237069542995,-7.45236853278961,-3.1599801776403,1.59367694627627,6.89110214521868,6.89110214521868
"54","BIODIV30","e) Grassland",2075,-19.4191270282886,-15.2973609818612,-7.04766253358858,-4.05816283801585,-1.01278697456691,4.45429585387398,4.45429585387398
"55","UNIFORM30","e) Grassland",2100,-23.7020604494144,-23.7020604494144,-15.5231755107065,-8.89907391176095,-4.09858469105091,5.13087832619927,5.13087832619927
"56","BIODIV","e) Grassland",2100,-42.4381308771615,-18.504167287941,-8.94905815518632,-3.56724863037469,0.955194070652543,8.08607230370553,8.08607230370553
"57","BIODIV30","e) Grassland",2100,-23.7001876953312,-19.2602387535789,-8.62205492488282,-4.71028439241376,-1.08753134821888,5.38721605127766,5.38721605127766
"58","UNIFORM30","f) Grazed Pasture",2025,-27.0517568949842,-12.4274723477716,-5.47741584475347,-2.28018076803863,-0.111463476459244,5.2967419159194,5.2967419159194
"59","BIODIV","f) Grazed Pasture",2025,-25.9060389975418,-6.50299998892699,-2.7817681549874,-0.873806908487307,0.201879291621965,3.20270695624796,6.28728002358895
"60","BIODIV30","f) Grazed Pasture",2025,-25.6120604563394,-5.13617402941296,-2.42821474098652,-1.07150216667968,0.031007534415113,3.5742206576459,5.29023563857802
"61","UNIFORM30","f) Grazed Pasture",2050,-29.1605541442135,-15.9059550007311,-7.50391045114761,-3.32517325451917,0.331321062805817,8.43293029211942,8.43293029211942
"62","BIODIV","f) Grazed Pasture",2050,-23.6268086827306,-10.32945649012,-3.569791289373,-2.19094703828102,1.08077089036784,7.93085521185347,7.93085521185347
"63","BIODIV30","f) Grazed Pasture",2050,-23.1710798586682,-8.21920212619827,-3.61965801536705,-2.32699698794952,0.726294369620422,6.68474042052003,6.68474042052003
"64","UNIFORM30","f) Grazed Pasture",2075,-24.3413913989027,-18.7085721657203,-8.06194925518313,-3.45457868639268,1.19863416190137,10.0460560505651,18.3132620380948
"65","BIODIV","f) Grazed Pasture",2075,-22.2460140654406,-15.5833602274103,-6.84258904737195,-2.04595074588464,1.0458177621395,9.15534696508807,17.7757383926732
"66","BIODIV30","f) Grazed Pasture",2075,-19.8089083491647,-15.8383419140294,-6.17554325887673,-2.13751160064089,0.814997440304103,7.73522360161167,13.7621036465455
"67","UNIFORM30","f) Grazed Pasture",2100,-21.7887931573929,-21.7887931573929,-8.55466636343969,-2.88323832184156,2.10523868195953,10.3684650807462,44.3105666555481
"68","BIODIV","f) Grazed Pasture",2100,-22.0761123702277,-22.0761123702277,-8.42175036307147,-1.67077838962217,1.23239996849499,9.35378125729244,41.7374103269566
"69","BIODIV30","f) Grazed Pasture",2100,-18.866246286953,-12.7969092552672,-6.31170488544663,-1.7608475183871,1.24124143119769,7.87863518016381,33.4887579776719
"70","UNIFORM30","g) Shrubland",2025,-16.109499502949,-14.5977129476198,-6.21510587070885,-3.04896851548924,-0.228901654748417,7.6888825020233,38.7645580582478
"71","BIODIV","g) Shrubland",2025,-47.3208787699693,-12.8375370542029,-8.25290591126422,-1.1164713489369,2.32165266561008,12.8989165694458,29.8150003603362
"72","BIODIV30","g) Shrubland",2025,-47.5581911047997,-13.2247261382685,-8.94831031340612,-1.42644504057976,2.02273914969759,10.8852506349672,29.3500791925297
"73","UNIFORM30","g) Shrubland",2050,-20.6405762289443,-18.4531940890268,-7.79638940433457,-4.95819984528704,0.261992476013822,8.72033829026726,27.4364785913424
"74","BIODIV","g) Shrubland",2050,-51.4926242910154,-27.3910613403235,-10.0632856802754,-1.59501101407483,2.51793713692801,20.5977390800845,29.4584531692416
"75","BIODIV30","g) Shrubland",2050,-51.7054804046418,-16.1860722209666,-10.0115484618878,-1.89871513361345,1.47877629182388,10.6727605054624,22.8308771616913
"76","UNIFORM30","g) Shrubland",2075,-24.0518191804765,-24.0518191804765,-9.26131038846253,-6.29732989433961,1.08624471612572,6.44461182246766,24.7641999320203
"77","BIODIV","g) Shrubland",2075,-54.0761045129778,-28.0562546645216,-10.3064434810193,-2.37779963749253,2.67150672534801,17.3149229619024,28.4093508522332
"78","BIODIV30","g) Shrubland",2075,-54.2891277476304,-17.6657405720945,-10.164110525327,-3.78638784310102,1.23978000658895,16.5582430061922,22.7221245850422
"79","UNIFORM30","g) Shrubland",2100,-25.353802607452,-25.353802607452,-12.4895978654061,-7.28617109647647,1.40709121166581,22.1502486408435,24.1522028828333
"80","BIODIV","g) Shrubland",2100,-54.8047508819197,-39.6441417941191,-14.8574171364281,-5.07891435960727,2.41012943741324,28.0698471362907,28.0698471362907
"81","BIODIV30","g) Shrubland",2100,-55.0182323937765,-29.7181923818917,-12.2115888855968,-5.31930849929632,0.759317564853415,15.8984327462056,22.3396217588097
