"","Scenario","Land_Type","year","min","low_1.5*IQR","Q25","median","Q75","hi_1.5*IQR","max"
"1","CURRENT","a) Bioenergy crops",2025,0,0,0,0,0,0,0
"2","UNIFORM30","a) Bioenergy crops",2025,-10.3669158010063,-10.3669158010063,-5.7309268478552,-2.41269737849788,-1.13663250754497,1.62713070633863,1.62713070633863
"3","BIODIV","a) Bioenergy crops",2025,-45.2751066368333,-10.7248148794954,-4.13541039349333,-1.4750357678325,0.261185682832401,3.14990868743979,3.14990868743979
"4","BIODIV30","a) Bioenergy crops",2025,-12.6233445715204,-7.75608977401079,-4.0000406500102,-1.81198327569828,0.124392437303462,2.37457920369453,2.37457920369453
"5","CURRENT","a) Bioenergy crops",2050,96.2528099616999,96.2528099616999,203.131161524203,306.293087617184,465.094906358011,785.718947096012,1063.59480557205
"6","UNIFORM30","a) Bioenergy crops",2050,91.8105834079215,91.8105834079215,179.532700493133,262.82045254397,435.570497422926,774.546014958252,1003.31368994245
"7","BIODIV","a) Bioenergy crops",2050,89.2213664101094,89.2213664101094,182.557987458034,262.602894952005,419.394459638174,579.616785032005,1035.16921288201
"8","BIODIV30","a) Bioenergy crops",2050,89.2213135107074,89.2213135107074,191.748002506222,286.140207531313,452.449324729792,780.380971352201,1030.33908147273
"9","CURRENT","a) Bioenergy crops",2075,105.983529344678,105.983529344678,251.719457758013,363.565031940668,554.073351719007,832.758716318199,1526.72387447281
"10","UNIFORM30","a) Bioenergy crops",2075,99.3514082060202,99.3514082060202,208.72294402488,307.652057594091,494.630639127001,829.222119009213,1431.47741477254
"11","BIODIV","a) Bioenergy crops",2075,95.8407109091841,95.8407109091841,181.02530943789,324.795799966369,491.496499953715,844.699621584018,1475.85387216306
"12","BIODIV30","a) Bioenergy crops",2075,96.1050777151043,96.1050777151043,227.089765560913,318.715078255314,521.817067660733,840.34052127769,1471.51048229948
"13","CURRENT","a) Bioenergy crops",2100,72.1201018977541,72.1201018977541,233.441978161119,296.054388271654,514.267816622217,913.306144398508,1256.1522931966
"14","UNIFORM30","a) Bioenergy crops",2100,40.9624189248287,40.9624189248287,194.24912537626,266.997267171382,487.711875747634,917.613310382983,1171.7081664911
"15","BIODIV","a) Bioenergy crops",2100,60.3563663261125,60.3563663261125,168.839845744784,280.165774073718,483.677185582254,948.813534811473,1210.24281415001
"16","BIODIV30","a) Bioenergy crops",2100,60.7712593617295,60.7712593617295,212.230825234286,280.775270726623,503.402838188486,934.828207989825,1207.743464984
"17","CURRENT","b) Crops",2025,-8.64402443053922,-8.64402443053922,-0.832177840496848,2.27001779923189,4.67627668383066,6.31640511246144,6.31640511246144
"18","UNIFORM30","b) Crops",2025,-9.93776822528639,-9.93776822528639,-1.73969569470226,2.0755835190473,4.41042260886748,5.83066958354584,5.83066958354584
"19","BIODIV","b) Crops",2025,-9.49512712607274,-6.06433481039595,-1.05437563860801,1.87471075734091,4.39501221760785,6.1378301191858,6.1378301191858
"20","BIODIV30","b) Crops",2025,-9.47395775701133,-6.06050537099852,-1.06413266925129,2.18885714731955,4.39631484954016,6.1265000694817,6.1265000694817
"21","CURRENT","b) Crops",2050,-20.9960442610042,-20.9960442610042,-3.26413549008069,8.68884696682138,13.6930940365223,26.5463249213388,26.5463249213388
"22","UNIFORM30","b) Crops",2050,-23.7244527615602,-23.7244527615602,-4.16061159715577,6.86490494951871,12.2758460629745,23.0547519000286,23.0547519000286
"23","BIODIV","b) Crops",2050,-23.0601517639663,-23.0601517639663,-4.10905029251082,3.63173945016293,13.3298017807497,24.4995082464701,24.4995082464701
"24","BIODIV30","b) Crops",2050,-22.9881721017948,-22.9881721017948,-4.12370354248968,7.8848120542869,13.1976204041617,24.6737352245012,24.6737352245012
"25","CURRENT","b) Crops",2075,-23.2495454934438,-23.2495454934438,-2.69606063258523,10.5644830272267,19.1962050667501,51.6182475875599,56.7458181490564
"26","UNIFORM30","b) Crops",2075,-26.2375340086161,-26.2375340086161,-4.19867820218798,9.55113606601271,17.5826874630403,49.5087380317321,49.5087380317321
"27","BIODIV","b) Crops",2075,-25.0283454807627,-25.0283454807627,-4.08526756979835,5.90282008676168,18.6217119205161,52.5761241711026,52.5761241711026
"28","BIODIV30","b) Crops",2075,-25.0181190040566,-25.0181190040566,-3.94497290465035,10.0968617690891,18.5822093758794,46.7734326828203,53.0334113959523
"29","CURRENT","b) Crops",2100,-27.2713758164483,-27.2713758164483,-3.75496473042394,8.18671942354748,18.6709149071894,34.2227124839378,74.6105286911266
"30","UNIFORM30","b) Crops",2100,-30.021423601585,-30.021423601585,-5.06564962466523,7.16367994489698,17.7834042863617,28.2674916885584,64.5988176465833
"31","BIODIV","b) Crops",2100,-28.9829433972222,-28.9829433972222,-5.1281575199718,6.04584646493432,18.0865173644833,31.938264606269,68.8262750863998
"32","BIODIV30","b) Crops",2100,-28.9790150405837,-28.9790150405837,-5.15440387006471,7.70479081190398,18.6121124900714,32.0037048290127,69.5366111751732
"33","CURRENT","c) Forests (Harvested)",2025,-2.32173962202998,-2.32173962202998,6.65141274800641,11.4615612475416,16.0118345957457,23.6456113907022,23.6456113907022
"34","UNIFORM30","c) Forests (Harvested)",2025,-2.71708165060716,-2.71708165060716,6.43072447868166,11.3453467570907,15.8205523002677,23.3622664370204,23.3622664370204
"35","BIODIV","c) Forests (Harvested)",2025,-2.81123959356245,-2.81123959356245,6.83554062476983,10.655455078395,15.9702834908591,23.5655596408554,23.5655596408554
"36","BIODIV30","c) Forests (Harvested)",2025,-2.82001184295944,-2.82001184295944,6.70249014671811,11.2083808116557,15.9579663051985,23.5707012229782,23.5707012229782
"37","CURRENT","c) Forests (Harvested)",2050,-2.56817328783565,-2.56817328783565,17.9411035240823,37.5832164953317,48.6939886981517,89.1540477450898,103.063271214445
"38","UNIFORM30","c) Forests (Harvested)",2050,-2.71094424672182,-2.71094424672182,17.3530288110741,36.5784573937027,48.584018195734,87.526577946775,99.8894407930073
"39","BIODIV","c) Forests (Harvested)",2050,-2.8918724189836,-2.8918724189836,18.7704522223729,36.2708773880473,48.7635235637738,87.7863069468038,101.537288401356
"40","BIODIV30","c) Forests (Harvested)",2050,-2.9662959714882,-2.9662959714882,18.1896021738968,36.6829748351812,48.3731377990813,87.5252235547986,101.905071953021
"41","CURRENT","c) Forests (Harvested)",2075,-5.6720479755492,-5.6720479755492,25.7344083655941,49.3966903797231,66.9175118486656,98.3131519775886,177.660389597735
"42","UNIFORM30","c) Forests (Harvested)",2075,-4.82314087939977,-4.82314087939977,24.4901113285687,48.2397644847069,67.3800536279302,120.515209584102,168.490854337719
"43","BIODIV","c) Forests (Harvested)",2075,-5.21259225526566,-5.21259225526566,26.6996402912932,46.5816811900885,66.767513793949,125.980626356962,172.605278261478
"44","BIODIV30","c) Forests (Harvested)",2075,-5.77378413466797,-5.77378413466797,25.6192407499141,48.4230122925308,66.5275638422168,126.24900013347,174.055983782504
"45","CURRENT","c) Forests (Harvested)",2100,-15.0922690610084,-15.0922690610084,26.5801468269411,54.5542169227997,68.7750362964995,117.175808175753,233.934326694457
"46","UNIFORM30","c) Forests (Harvested)",2100,-15.0173027426622,-15.0173027426622,25.1998669947011,52.0598986369655,69.6685482252086,112.895333407055,218.954097237786
